loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,p_port_10.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.491736079007385,0.0008120997808873653,0.10970330005511642,20.09067146978341,20.390732700005174,20.70750426999293,21.29065326959826,21.60733149992302,21.60733149992302,0.02656749961897731,0.12634539976716042,41.60732849966735,20.026559599675238,41.74066059989855,0.026840599719434977,0.12653409969061613,42.20733989961445,space,1.6876517999917269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,43.95725999958813,0.0005741999484598637,0.09942279988899827,49.95734119974077,5.999323999974877,6.099164499901235,50.207347199786454,50.207347199786454,0.09420959977433085,0.2497367998585105,6.016188699752092,56.27409279998392,56.27409279998392,56.27409279998392,0.07929989974945784,0.21608119970187545,61.97398309968412,62.140842400025576,6.016227399930358,6.116082400083542,68.15730489976704,11.99933600006625,12.099326299969107,68.29051909968257,68.29051909968257,0.032806599978357553,0.13263339968398213,up,2.091098199598491,70.42396469973028,4.659965634346008e-05,0.097732899710536,76.47413259977475,76.47413259977475,0.03078069956973195,0.1479149996303022,5.0,12.467943499796093,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.97385519975796,88.97385519975796,0.015457000117748976,0.11580300005152822,1.0,3.8346686996519566,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.85750849964097,92.85750849964097,0.013631700072437525,0.11414190009236336,1.0,1.934849699959159,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.82409689994529,94.82409689994529,0.009075199719518423,0.09915939997881651,1.0,2.3250602004118264,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.19078689999878,97.19078689999878,0.008672299794852734,0.09923259960487485,1.0,2.0913941003382206,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.32399179972708,99.32399179972708,0.008603599853813648,0.09912290005013347,1.0,1.2249920000322163,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.60737309977412,100.60737309977412,0.009863699786365032,0.11470149969682097,5.0,2.7056752000935376,,,,,,,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.34083310002461,103.34083310002461,0.0012561003677546978,0.09761300031095743,6.0,6.397771299816668,,,,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,109.77390289958566,0.0003751995973289013,0.09699669992551208,115.77391879959032,6.030397699680179,,115.99070920003578,115.99070920003578,0.11496199993416667,0.2136350995860994,6.013664899859577,122.05717839999124,122.05717839999124,122.05717839999124,0.06684619979932904,0.18042599968612194,127.75746539980173,127.95723259961233,6.013658999465406,6.113659899681807,133.95722629968077,12.013645499479026,,134.09057509992272,134.09057509992272,0.013801399618387222,0.11366029968485236,up,1.371014399919659,135.5238937996328,5.740020424127579e-05,0.09774240013211966,141.5406277999282,141.5406277999282,0.009425000287592411,0.11457990016788244,1.0,3.7394308000802994,,,,,,,134.0572241996415,134.0572241996415,141.5406277999282,,,,673,Moral,2024-03-22_14h20.17.563,MoralCondition_v2,2022.2.5,29.994567987769116,
