loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.921959400177002,0.0006169001571834087,0.10853759991005063,20.33451070031151,20.61785464012064,21.03469100035727,21.03469100035727,0.025237599853426218,0.12521809991449118,36.01786880008876,15.008426299784333,15.091743899974972,36.13467830000445,36.13467830000445,0.02582519967108965,0.12529159989207983,space,6.9957819995470345,,,,,,,,,,,,,,,,,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
0,0,0,0,,,,,,,,,,,,,,,,,,,43.18462310032919,0.003954799845814705,0.09851189982146025,49.167771300300956,6.014869300182909,6.098098400048912,49.29746010014787,0.01144720008596778,0.11107390001416206,55.301350499968976,6.015015999786556,55.40123840002343,0.017782199662178755,0.1151903998106718,3.0,3.5649314001202583,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
1,0,1,0,,,,,,,,,,,,,,,,,,,59.00152610009536,0.0010268003679811954,0.0968129001557827,65.00129349995404,6.030066100414842,,65.15126720024273,0.046255100052803755,0.1467364002019167,71.1513046999462,6.013444300275296,71.21800290001556,0.016208500135689974,0.11341670015826821,3.0,1.9652316998690367,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
2,0,2,0,,,,,,,,,,,,,,,,,,,73.2182362000458,0.0003370000049471855,0.09848079970106483,79.23462530039251,6.015262899920344,,79.3512405003421,0.02996449964120984,0.13189209951087832,85.35135899996385,6.031950399745256,85.43468730011955,0.017726299818605185,0.11526589980348945,0.0,3.0983512001112103,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
3,0,3,0,,,,,,,,,,,,,,,,,,,88.5680221002549,0.00023090001195669174,0.09913400001823902,94.58464589994401,6.015888600144535,,94.70122440019622,0.03184240031987429,0.13249380001798272,100.70131340017542,5.999123299960047,100.76792540028691,0.00284019997343421,0.09902299987152219,3.0,2.0639597000554204,6.099158199969679,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
4,0,4,0,,,,,,,,,,,,,,,,,,,102.8683692002669,0.0006988998502492905,0.09690270014107227,108.86785570019856,6.030087999999523,,109.01803420018405,0.04426610004156828,0.14703959971666336,115.01797420019284,6.013535199686885,115.0845487001352,0.016270400024950504,0.11382929980754852,4.0,1.4985083998180926,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
5,0,5,0,,,,,,,,,,,,,,,,,,,116.61841160012409,0.0002133999951183796,0.09929729998111725,122.61813300009817,5.9991414998658,6.099287599790841,122.73456380004063,0.022832899820059538,0.1158026996999979,128.7348538003862,6.016099199652672,128.83476770017296,0.019136399496346712,0.11607889970764518,2.0,1.931046700105071,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
6,0,6,0,,,,,,,,,,,,,,,,,,,130.80159409996122,0.0002401997335255146,0.09896870004013181,136.8013325999491,6.032321299891919,,136.93458720017225,0.03910709964111447,0.13225729996338487,142.9346823003143,6.032290599774569,143.03458290034905,0.03531939955428243,0.13208179967477918,1.0,1.4978203997015953,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
7,0,7,0,,,,,,,,,,,,,,,,,,,144.56828820006922,0.00023789983242750168,0.09919520001858473,150.5679657999426,5.999185299966484,,150.70127660036087,0.030599499586969614,0.13240829994902015,156.7014506002888,5.999120199587196,156.7679278999567,0.002270499709993601,0.09905029973015189,0.0,1.731476299930364,6.099060399923474,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
8,0,8,0,,,,,,,,,,,,,,,,,,,158.53506790008396,0.00048450008034706116,0.09762200014665723,164.55133130028844,6.014268099796027,,164.6679468001239,0.04060379974544048,0.13083510007709265,170.66800290020183,6.030871499795467,170.76793349999934,0.03369999956339598,0.13069039955735207,3.0,1.5980626996606588,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
9,0,9,0,,,,,,,,,,,,,,,,,,,172.40172010008246,0.00047479989007115364,0.09706330019980669,178.40145150013268,6.030565400142223,,178.5512077002786,0.05425920011475682,0.14707780024036765,184.53439840022475,6.013530999887735,184.61777550028637,0.014217599760740995,0.11348669975996017,3.0,1.6337085999548435,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
10,0,10,0,,,,,,,,,,,,,,,,,,,186.28493029996753,0.0006399997510015965,0.09701470006257296,192.30132060032338,6.013767399825156,,192.41864710021764,0.03749959962442517,0.13044969970360398,198.4179898002185,6.030380099546164,198.51795410038903,0.03326029982417822,0.13041599979624152,2.0,1.9981543002650142,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
11,0,11,0,,,,,,,,,,,,,,,,,,,200.55170920025557,0.00022009992972016335,0.09898549970239401,206.55138450022787,5.999138999730349,6.098996100015938,207.05138490023091,0.2602401999756694,0.49915229994803667,,6.015694999601692,212.76799400011078,0.018385099712759256,0.11553539987653494,1.0,2.131701999809593,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
12,0,12,0,,,,,,,,,,,,,,,,,,,214.93467000033706,0.0003854003734886646,0.09750330029055476,220.9513189001009,6.0143932001665235,,221.08458010014147,0.04821190005168319,0.14763389993458986,227.08478619996458,6.014266900252551,227.15136960009113,0.017048100009560585,0.11416909983381629,0.0,1.7648585001006722,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
13,0,13,0,,,,,,,,,,,,,,,,,,,228.9517569001764,0.0006506000645458698,0.0974868000485003,234.96801039995626,6.0137994000688195,,235.08470770018175,0.027705400250852108,0.13070570025593042,241.0847052000463,6.030471600126475,241.18454470019788,0.03325129998847842,0.13050960004329681,0.0,1.7649391000159085,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
14,0,14,0,,,,,,,,,,,,,,,,,,,242.98505070013925,0.000489099882543087,0.09722429979592562,248.9846560000442,6.0304939998313785,,249.16792270028964,0.07568869972601533,0.1804611999541521,255.1680417000316,6.0137786995619535,255.20114470040426,0.01656709983944893,0.11383829964324832,0.0,1.9316277001053095,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
15,0,15,0,,,,,,,,,,,,,,,,,,,257.16807910008356,0.00022119982168078423,0.09892589971423149,263.18469690019265,6.015590199735016,,263.3012325000018,0.03275319980457425,0.13229049975052476,269.3013555002399,6.032225099857897,269.38457800028846,0.018177399411797523,0.1154345995746553,0.0,1.1317715998739004,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
16,0,16,0,,,,,,,,,,,,,,,,,,,270.5516972001642,0.0005842000246047974,0.09725650027394295,276.5512270000763,6.030391999986023,,276.7349660000764,0.0564194000326097,0.18054029997438192,282.73462570039555,6.013904899824411,282.76798900030553,0.01665030000731349,0.11405699979513884,4.0,1.064779399894178,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
17,0,17,0,,,,,,,,,,,,,,,,,,,283.86851180018857,0.0008204001933336258,0.09679190022870898,289.8680064002983,6.030239100102335,,290.01786890020594,0.044554300140589476,0.14690389996394515,296.0180257000029,6.013623999897391,296.0845509003848,0.01624750019982457,0.11372710019350052,3.0,1.0981351002119482,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
18,0,18,0,,,,,,,,,,,,,,,,,,,297.21836110018194,0.0006188000552356243,0.09693480003625154,303.2180076004006,6.030346800107509,,303.38452840037644,0.06303990026935935,0.16348539991304278,309.38467820035294,6.0303350002504885,309.4512814003974,0.03294709976762533,0.1303173997439444,2.0,1.3982683001086116,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
19,0,19,0,,,,,,,,,,,,,,,,,,,310.88492000009865,0.00023930007591843605,0.09919039998203516,316.8844457003288,6.015543799847364,,317.01833020010963,0.030625099781900644,0.13278749957680702,323.01797719998285,5.999125699978322,323.0846772999503,0.002363299485296011,0.09911529952660203,0.0,1.264375299680978,6.099341199733317,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
20,0,20,0,,,,,,,,,,,,,,,,,,,324.38467520009726,0.0007246001623570919,0.09698399994522333,330.38465460017323,6.0304263001307845,,330.51778500014916,0.03699850011616945,0.1303930999711156,336.5180071000941,6.030338999815285,336.61784670036286,0.032889199908822775,0.13045579986646771,2.0,1.031354899983853,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
21,0,21,0,,,,,,,,,,,,,,,,,,,337.68437710031867,0.0001767999492585659,0.09932530019432306,343.68467180011794,5.999431100208312,6.099335700273514,343.8014340000227,0.014358500018715858,0.1164055997505784,349.8012753003277,6.016112099867314,349.91789150005206,0.03629679977893829,0.13278819993138313,3.0,1.7306719003245234,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
22,0,22,0,,,,,,,,,,,,,,,,,,,351.68469549994916,0.0005725002847611904,0.097038300242275,357.68477770034224,6.030541699845344,,357.8347068000585,0.046737299766391516,0.1472176001407206,363.8346228003502,6.013658700045198,363.9011919000186,0.016428600065410137,0.11371769988909364,3.0,1.1650021998211741,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
23,0,23,0,,,,,,,,,,,,,,,,,,,365.10156209999695,0.0002343999221920967,0.09893809957429767,371.11798020033166,6.015690199565142,,371.23460149997845,0.041148699820041656,0.13226369954645634,377.2177875000052,6.032340699806809,377.3344367002137,0.03532199980691075,0.13208869937807322,0.0,0.9980052001774311,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
24,0,24,0,,,,,,,,,,,,,,,,,,,378.36817390006036,0.00028229970484972,0.09909150004386902,384.38483490003273,6.015865399967879,,384.6015424001962,0.09705029986798763,0.23246739991009235,,6.0324349999427795,390.60114770010114,0.0350316995754838,0.132371099665761,1.0,1.1983699998818338,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
25,0,25,0,,,,,,,,,,,,,,,,,,,391.8349187001586,0.00021990016102790833,0.0990658001974225,397.8346703001298,5.999057300388813,,397.95114620029926,0.023965999949723482,0.11576429987326264,403.95119679998606,6.015674400143325,404.0511035001837,0.01842830004170537,0.11559739988297224,4.0,1.1318828002549708,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
26,0,26,0,,,,,,,,,,,,,,,,,,,405.21819799998775,0.0004539000801742077,0.09955039992928505,411.21767360018566,6.015686400234699,6.098950700368732,411.33457359997556,0.01640160009264946,0.11601120000705123,417.33452450018376,6.01578010013327,417.43453370034695,0.01830840017646551,0.11583059979602695,3.0,1.33166170027107,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
27,0,27,0,,,,,,,,,,,,,,,,,,,418.8014309001155,0.00023900019004940987,0.09907789994031191,424.8011855003424,5.999093799851835,6.098763400223106,424.9176688003354,0.018871100153774023,0.11569069977849722,430.91791440034285,6.015907200053334,431.01769680017605,0.018606599885970354,0.11576889967545867,2.0,1.4981724000535905,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
28,0,28,0,,,,,,,,,,,,,,,,,,,432.55159510020167,0.0004882998764514923,0.09727479983121157,438.56781650008634,6.013768299948424,,438.73446860024706,0.08498289994895458,0.18068220000714064,444.7345068003051,6.013771899975836,444.76767330011353,0.017043499741703272,0.11363209970295429,3.0,1.0643096999265254,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
29,0,29,0,,,,,,,,,,,,,,,,,,,445.86806580005214,0.00028849998489022255,0.0990369999781251,451.8844607002102,6.015896399971098,,452.001192800235,0.0355744999833405,0.13261080021038651,458.0011284002103,5.999050999991596,458.06768140010536,-0.00016070017591118813,0.09893589979037642,2.0,1.466931200120598,6.098833300173283,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
30,0,30,0,,,,,,,,,,,,,,,,,,,459.56796690030023,0.0004905001260340214,0.09744210029020905,465.5677922000177,6.030566500034183,,465.7178818001412,0.05415910016745329,0.1474321000277996,471.7178795002401,6.0139338998124,471.78442650008947,0.01651229988783598,0.1137626999989152,0.0,0.9649681998416781,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
31,0,31,0,,,,,,,,,,,,,,,,,,,472.7847633003257,0.0006746998988091946,0.09708719979971647,478.80111180013046,6.014112399891019,,478.91784060001373,0.0310413995757699,0.1304203998297453,484.9177806000225,6.030323499813676,485.0175831001252,0.030930799432098866,0.13020409969612956,4.0,0.7674680999480188,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
32,0,32,0,,,,,,,,,,,,,,,,,,,485.81802450027317,0.00021830014884471893,0.09922110009938478,491.8177432999946,5.999127299990505,6.099202299956232,491.9343865001574,0.015582699794322252,0.11579649988561869,497.9343723002821,6.015828600153327,498.0342585002072,0.01855859998613596,0.11580559983849525,0.0,1.7648706999607384,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
33,0,33,0,,,,,,,,,,,,,,,,,,,499.83441460039467,0.0006115003488957882,0.09722660016268492,505.8510315003805,6.013907000422478,,505.9677936001681,0.027944100089371204,0.130581000354141,511.96767130028456,6.030505400151014,512.067611400038,0.03267809981480241,0.13036700012162328,0.0,1.13205729983747,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
34,0,34,0,,,,,,,,,,,,,,,,,,,513.2345429002307,0.0006291000172495842,0.0971997999586165,519.2343409000896,6.030701699666679,,519.4008570001461,0.0629445998929441,0.16420629993081093,525.401010800153,6.0306582995690405,525.4676361000165,0.033513499423861504,0.13054719986394048,1.0,1.3317753998562694,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
35,0,35,0,,,,,,,,,,,,,,,,,,,526.8343094000593,0.00047949980944395065,0.09672699961811304,532.8509703003801,6.013354399707168,,532.9676300999708,0.029314699582755566,0.1300369999371469,538.9676410001703,6.029972799587995,539.0675882999785,0.032619299832731485,0.12981679942458868,0.0,0.8983726999722421,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
36,0,36,0,,,,,,,,,,,,,,,,,,,540.0009707999416,0.0005241003818809986,0.09709780011326075,546.0009447000921,6.03067160025239,,546.1510262000374,0.051914399955421686,0.14756970014423132,552.1508597000502,6.013954699970782,552.2174064000137,0.015928899869322777,0.11390839982777834,3.0,1.4322903999127448,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
37,0,37,0,,,,,,,,,,,,,,,,,,,553.6842112001032,0.0005594003014266491,0.09670739993453026,559.6841860003769,6.030031800270081,,559.8340934002772,0.05274529987946153,0.1466610999777913,565.8341942001134,6.013343600090593,565.9176974999718,0.03276709979400039,0.13010219996795058,2.0,1.298397600185126,,674,Visual,2024-04-03_11h32.27.711,Visual_Condition_v2,2022.2.5,29.954612732059108,
