Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,Roll_liquid_taste.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,p_port_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.675805089157077,0.0005456991493701935,0.09578279964625835,17.941719699651003,18.15857772966847,18.408426499925554,18.65850543016568,18.941687599755824,0.014339799992740154,0.11275079939514399,33.95852900017053,15.029518299736083,34.05843069963157,0.03210110031068325,0.12939449958503246,6.012770599685609,40.07534260023385,40.14179449994117,40.14179449994117,0.013024900108575821,0.11274430062621832,space,7.320812499150634,47.50843899976462,47.50843899976462,3.7400051951408386e-05,0.09794600028544664,num_9,3.1462224991992116,50.69175983006134,0.0021208003163337708,0.09789500012993813,50.99175690021366,51.47503442941233,51.79178790003061,52.274968730006364,52.59177619963884,52.691875600256026,60.708515799604356,60.70851242979988,0.018051699735224247,0.11469679977744818,61.72503549978137,62.708472799509764,62.875085099600255,63.37504549976438,10.031362599693239,70.82499289978296,0.03367260005325079,70.82499289978296,0.13142869994044304,5.0,6.248554499819875,77.10874839965254,0.002555900253355503,0.09785320051014423,83.1083884993568,83.29146292963996,6.2143540000543,6.314486400224268,84.29176589939743,103.29174162978306,103.29176220018417,26.214522699825466,26.314459400251508,106.3083697995171,106.3083697995171,7.589999586343765e-05,0.09768440015614033,136.30832439940423,30.03105179965496,,,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,136.42492149956524,0.01493110042065382,0.11442920006811619,6.014639000408351,142.42492139991373,142.5248908996582,142.5248908996582,0.01421280112117529,0.11424870043992996,space,4.273324899375439,146.8415427999571,146.8415427999571,4.4899992644786835e-05,0.09830410033464432,num_9,1.7646872997283936,148.6415817297064,0.002521200105547905,0.09811200015246868,148.9415734000504,149.42472103023903,149.74163320008665,150.2249134301208,150.54155519977212,150.6415568999946,158.65821249969304,158.6582180296071,0.017248399555683136,0.1147536002099514,159.69154579937458,160.65843829978257,160.82488169986755,161.32504509948194,10.014552799984813,168.75809550005943,0.016776099801063538,168.75809550005943,0.11469690036028624,3.0,6.098881700076163,174.89173679985106,0.0015978002920746803,0.09906829986721277,180.9082110999152,181.07480752998964,6.215619999915361,6.315682300366461,182.07481569983065,201.07466382971035,201.0747752999887,26.21561409998685,26.315634700469673,204.09161120001227,204.09161120001227,0.0012213001027703285,0.09892699960619211,234.09134660009295,30.032322299666703,202.09136679954827,,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,234.20799450017512,0.01613880041986704,0.11550679989159107,6.0154503006488085,240.2080183001235,240.3079949999228,240.3079949999228,0.0156319011002779,0.11550410091876984,space,1.48186169937253,241.84138469956815,241.84138469956815,3.780052065849304e-05,0.09797860030084848,num_9,3.045179800130427,244.9251869299449,0.0007617995142936707,0.09862190019339323,245.22461239993572,245.70803752979265,246.0078229997307,246.5079452299513,246.82467020023614,246.92462779954076,254.92449699994177,254.92452712981031,-0.000350399874150753,0.11523459944874048,255.941217799671,256.90780219994485,257.10792989935726,257.5914366999641,10.015023400075734,265.0244450997561,0.0008239001035690308,265.0244450997561,0.09840840008109808,5.0,2.8320395005866885,267.89157389942557,0.0030006002634763718,0.09731510002166033,273.9078695997596,274.09116263007746,6.2306805001571774,6.3306772001087666,275.0911344997585,294.07440052991734,294.07448009960353,26.213966000825167,26.31393360067159,297.09116319939494,297.09116319939494,-0.000260000117123127,0.09725760016590357,327.0911683002487,30.030618200078607,295.07440489996225,254.92449699994177,10.098425200209022,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,327.2078331001103,0.014469800516963005,0.11382120009511709,6.013697100803256,333.190839599818,333.2910414999351,333.2910414999351,0.031119801104068756,0.1304756011813879,space,4.6837889989838,338.02437950018793,338.02437950018793,3.989972174167633e-05,0.09805489983409643,num_9,5.277813199907541,343.3409325300716,0.0006296997889876366,0.09958049934357405,343.64081609994173,344.1075416297652,344.42428500019014,344.9074783294462,345.2241735998541,345.30763699952513,353.32441079989076,353.3242837299593,0.016410299576818943,0.11596549954265356,354.32426619995385,355.3075358001515,355.50758740026504,355.9907349999994,10.016143999993801,363.44070910010487,0.0024292003363370895,363.44070910010487,0.0993274999782443,6.0,1.9650761000812054,365.44112399965525,0.0017632003873586655,0.09928230009973049,371.4408805994317,371.62400223007427,6.215473500080407,6.298984000459313,372.6408013999462,391.62397813024,391.6241426002234,26.215700999833643,26.315644199959934,394.62414069939405,394.62414069939405,0.01572280004620552,0.11565480008721352,424.64067870005965,30.032232999801636,392.6406843997538,353.32441079989076,10.099463699385524,6.097050400450826,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,424.77403949946165,0.03297690022736788,0.132184199988842,6.032134500332177,430.77396420016885,430.87399149965495,430.87399149965495,0.032283101230859756,0.1321413004770875,space,2.90835929941386,433.82397369947284,433.82397369947284,4.159938544034958e-05,0.09799249935895205,num_9,1.3742519998922944,435.2572855294682,0.0019736001268029213,0.09812290035188198,435.57383419945836,436.04050142942,436.34048829972744,436.85727403005586,437.1739205997437,437.2406067997217,445.24061319977045,445.24058962957935,0.014906500466167927,0.11479850020259619,446.2405269993469,447.2405811995268,447.4405948994681,447.95718989986926,10.014761299826205,455.3738120999187,0.017715800553560257,455.3738120999187,0.1149685001000762,3.0,2.8980499003082514,458.30752540007234,0.0015698997303843498,0.09934719931334257,464.32397700008005,464.49045293005184,6.215898699127138,6.315906899981201,,484.47393832979725,484.473764100112,26.199194699525833,26.299145199358463,487.4737719995901,487.4737719995901,-0.0007651010528206825,0.09907779935747385,517.4904518993571,30.015891699120402,485.4902959000319,445.24061319977045,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.6236183000728,0.01593919936567545,0.11563439946621656,547.6070026997477,30.015351499430835,30.099194599315524,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,547.7068213997409,0.0009821997955441475,0.09885840024799109,5.999030199833214,553.7067457996309,553.8067611996084,553.8067611996084,-0.0003709997981786728,0.098823600448668,space,2.719526099972427,556.5732896998525,556.5732896998525,4.299916326999664e-05,0.11434669978916645,num_9,1.8332582004368305,558.4402450301684,0.0019576000049710274,0.09759930055588484,,559.2232803299091,559.5400327993557,560.0232558294199,560.3400550996885,560.4233716996387,568.423575299792,568.4233642301522,0.01449539978057146,0.11441870033740997,569.439939099364,570.4400276001543,570.6234855996445,571.1234211996198,10.030806000344455,578.5732531994581,0.034076000563800335,578.5732531994581,0.13077430054545403,3.0,1.7976969005540013,580.4069993998855,0.0015563992783427238,0.09912269935011864,586.4067962002009,586.6066303296946,6.199089199304581,6.299030699767172,587.6232896000147,606.5898004301823,606.5898620998487,26.215687199495733,26.315908399410546,609.6065306998789,609.6065306998789,0.0014805998653173447,0.0989936999976635,639.6064807996154,30.032318899407983,607.5898001994938,568.423575299792,,6.098814100027084,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,639.7398362001404,0.0328965000808239,0.13211939949542284,6.032134199514985,645.7396513996646,645.8396860994399,645.8396860994399,0.032251699827611446,0.1322555998340249,space,2.8786495998501778,648.7730530994013,648.7730530994013,4.1400082409381866e-05,0.09793750010430813,num_9,1.2736318996176124,650.089713629987,0.0018477998673915863,0.0980163998901844,,650.8730117294006,651.17287580017,651.6729301295243,651.9729559002444,652.0731010995805,660.0729359993711,660.0729349299334,0.014728999696671963,0.11466209962964058,661.0895000994205,662.08958659973,662.2729497002438,662.7729219002649,10.031305300071836,670.2232248000801,0.03378130029886961,670.2232248000801,0.13140440080314875,5.0,2.198867999948561,672.4563266001642,0.0028919000178575516,0.09734110068529844,678.4561524996534,678.6561710300855,6.230620699934661,6.3304431000724435,679.672867000103,698.639366429951,698.6394127998501,26.213909700512886,26.313901000656188,701.6394299995154,701.6394299995154,0.013966300524771214,0.11369090061634779,731.6392580997199,30.01374560035765,699.6393134994432,660.0729359993711,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,731.772583199665,0.014127000235021114,0.11374790035188198,6.013733500614762,737.772583199665,737.8725300999358,737.8725300999358,0.013629700988531113,0.1138090007007122,space,3.7662808997556567,741.6725484998897,741.6725484998897,4.37004491686821e-05,0.0972774000838399,num_9,1.4622077997773886,743.1893228298984,0.0019447002559900284,0.09785360004752874,743.4891381999478,743.9891857297159,744.2891907999292,744.7725033300928,745.0890881996602,745.1891967002302,753.189127699472,753.1892940296791,0.0011577000841498375,0.0978054003790021,754.1889809994027,755.1891725994647,755.3891287995502,755.8891711998731,10.014500400051475,763.3056280994788,0.01736370101571083,763.3056280994788,0.11440580058842897,6.0,2.2646869998425245,765.6059731999412,0.0024188999086618423,0.09748889971524477,771.5890025999397,771.8057291300036,6.230930999852717,6.330943299457431,772.8223692001775,791.7889327301643,791.7889644997194,26.214224299415946,26.31429439969361,794.8055961001664,794.8055961001664,-4.470068961381912e-05,0.09748369920998812,824.8222361998633,30.01416299957782,792.7888460997492,753.189127699472,,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,824.9222729001194,0.0148072000592947,0.1140247993171215,6.030676399357617,830.938787699677,831.0388048002496,831.0388048002496,0.030962600372731686,0.13065950013697147,space,3.287356600165367,834.3888900997117,834.3888900997117,4.0699727833271027e-05,0.09807220008224249,num_9,1.6571322996169329,836.0887869295664,0.002065099775791168,0.09804490022361279,836.3887433996424,836.8720220296643,837.1720886994153,837.6720205300487,837.9720986997709,838.0722230002284,846.0720261000097,846.0720620301552,0.014727399684488773,0.11474000010639429,847.072037499398,848.0887513002381,848.2552416995168,848.755386499688,10.014554100111127,856.188544199802,0.0010339999571442604,856.188544199802,0.0979836005717516,3.0,3.0978031996637583,859.3221942000091,0.0029346998780965805,0.0985690001398325,865.3386164996773,865.5052621296607,6.215152200311422,6.315067900344729,866.5218949997798,885.5049959297291,885.4883520994335,26.231646800413728,26.331809800118208,888.4886223999783,888.5218685995787,0.031928000040352345,0.1316390000283718,918.5216907998547,30.031527100130916,886.521874899976,846.0720261000097,10.098002799786627,,,,,,,,,675,Gustatory,2024-04-15_15h05.55.381,Gustatory_Condition_v2,2022.2.5,30.006934554074192,
