Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,Begin_Rinse.stopped,p_port_14.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.093655299209058,0.0005125999450683594,0.09347560070455074,17.345521099865437,17.595588799752296,18.07887749951333,18.362222500145435,18.362222500145435,0.012574899941682816,0.11028859950602055,33.36221109889448,15.026782499626279,33.46228249929845,0.012548599392175674,0.11032750084996223,39.44547309912741,6.010064100846648,39.56225840002298,39.56225840002298,0.010492799803614616,0.11047430150210857,space,8.43274699896574,48.028955299407244,48.028955299407244,7.369928061962128e-05,0.0973019003868103,num_9,6.973301699385047,55.045673798955974,0.002026699483394623,0.09764300100505352,55.345450500026345,55.84551989864558,56.14551409892738,56.6456266997382,56.94557289965451,57.04557049833238,65.04557419940829,65.04557419940829,65.04549950007349,0.0010842010378837585,0.09763919934630394,66.04547409899533,67.06218419969082,67.22897459939122,67.72889399901032,10.014230100437999,75.16213649883866,0.016523800790309906,75.16213649883866,0.11452520079910755,2.0,4.615609100088477,79.81237199902534,0.001994200050830841,0.09816860035061836,85.81222839839756,85.99530369993299,6.214837100356817,6.298370901495218,106.0121296999976,106.01216909848154,26.23160060122609,26.33158920146525,107.02885049954057,109.0288569983095,0.016728701069951057,0.11490970104932785,139.02875199913979,30.031488001346588,,,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,139.1290254984051,0.015567602589726448,0.1152913011610508,145.1454485990107,6.031535202637315,145.2119683995843,145.2119683995843,0.014591002836823463,0.11490350216627121,space,4.550530901178718,149.81214519962668,149.81214519962668,4.070065915584564e-05,0.09801250137388706,num_9,6.606414100155234,156.46208499949427,0.0020991992205381393,0.09800079837441444,156.77868659980595,157.2454120984301,157.54535409994423,158.04539719987662,158.34533770009875,158.462118498981,,166.47877329960465,166.4787304999307,0.017263099551200867,0.1146289985626936,167.4786941986531,168.4954895991832,168.66195119917393,169.17888769879937,10.031309798359871,176.57873359881341,0.016766399145126343,176.57873359881341,0.11440789885818958,5.0,3.73226660117507,180.3456911984831,0.002071000635623932,0.09818180091679096,186.3452547993511,186.54533169995995,6.231425799429417,6.331557501107454,206.52852559853346,206.52869269996881,26.214758900925517,26.31495840102434,207.52857219986618,209.5453439000994,0.0006310008466243744,0.09806410036981106,239.56197309866548,30.014731800183654,209.5453439000994,,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,239.66202149912715,0.015395602211356163,0.11446540057659149,245.67863509990275,6.031478900462389,245.77851969935,245.77851969935,0.031432801857590675,0.13130800239741802,space,1.7279369998723269,247.54544719867408,247.54544719867408,4.510022699832916e-05,0.09797749854624271,num_9,3.7766417991369963,251.37862419914455,0.002057500183582306,0.09767640009522438,251.69525599852204,252.16190499830992,252.47864509932697,252.9617892989889,253.27857830002904,253.36196219921112,261.36195439845324,261.36195439845324,261.3618765996769,0.014611801132559776,0.1145009994506836,262.3785611987114,263.3619683999568,263.5620382986963,264.0619274992496,10.014535101130605,271.4951339997351,0.016456199809908867,271.4951339997351,0.11471150070428848,5.0,4.065619299188256,275.5952205993235,0.003102600574493408,0.09736970067024231,281.59530089981854,281.7951873989776,6.230509500950575,6.330641500651836,301.7785457989201,301.7786730993539,26.214024301618338,26.31381680071354,302.7786570992321,304.7954245992005,-0.00032759830355644226,0.09716630168259144,334.77827729843557,30.01357370056212,304.7954245992005,282.7951742000878,30.096993301063776,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,334.8951935991645,0.030556002631783485,0.13041260093450546,340.8785306997597,6.013876801356673,341.0117609985173,341.0117609985173,0.013900402933359146,0.11387850157916546,space,1.9832332003861666,343.0283937994391,343.0283937994391,7.460080087184906e-05,0.09708790108561516,num_9,3.934347700327635,347.01190169919283,0.0025092996656894684,0.09788629971444607,347.32852139882743,347.7950482985005,348.094991998747,348.6117575990036,348.92834799923,348.9951134994626,356.9951340984553,356.9951340984553,356.99515599962325,0.014584999531507492,0.11452870070934296,,359.0119736995548,359.21174269914627,359.6949347984046,10.014304399490356,367.1116076987237,0.031078200787305832,367.1116076987237,0.13100039958953857,2.0,4.366915000602603,371.511892599985,0.002608099952340126,0.09749989956617355,377.5118048992008,377.7116738000885,6.23059849999845,6.330498598515987,397.71169379930944,397.71159840002656,26.230573900043964,26.330528998747468,398.728285798803,400.711631199345,-0.00023750029504299164,0.09734280034899712,430.7281979992986,30.013858500868082,400.711631199345,378.7284671999514,,10.09763059951365,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,430.82826479896903,0.014537099748849869,0.11374960094690323,436.82832570001483,6.013771399855614,436.9281043000519,436.9281043000519,0.013871900737285614,0.11374860070645809,space,2.266786200925708,439.22829099930823,439.22829099930823,4.3200328946113586e-05,0.09749939851462841,num_9,4.14214039966464,443.42830729875715,0.0026281997561454773,0.09773469902575016,443.728275898844,444.2114090995863,444.52806489914656,445.01142909955234,445.32813609950244,445.41168290004134,453.41141979955137,453.41141979955137,453.41138179991395,0.01430949941277504,0.09753759950399399,454.42800179868937,455.41144199855626,455.6114718988538,456.0946153998375,10.031122898682952,463.54466719925404,0.016288500279188156,463.54466719925404,0.11419449932873249,4.0,4.365633100271225,467.94499390013516,0.002565000206232071,0.09761739894747734,473.9447404984385,474.144627100043,6.230951299890876,6.331045400351286,494.1280882993713,494.12799269892275,26.214247100055218,26.31431739963591,,497.1281153000891,0.014397000893950462,0.1142181996256113,527.1445349995047,30.030787700787187,497.1281153000891,475.1613167989999,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.2612277995795,0.014168500900268555,0.11414300091564655,557.2777602989227,30.03068340010941,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,557.3611146993935,0.015672700479626656,0.11397560127079487,563.3777374997735,6.0306851007044315,563.4777571987361,563.4777571987361,0.03075680136680603,0.13071970082819462,space,15.508154299110174,579.027531599626,579.027531599626,1.1401250958442688e-05,0.08301329985260963,num_9,5.999379301443696,585.0609497001394,0.0007605999708175659,0.09934069961309433,585.361139498651,585.8441685998812,586.1609915997833,586.6609635001048,586.9609875995666,587.0610198993236,,595.0776490997523,595.0775745997205,0.018789300695061684,0.11578980088233948,596.0775805991143,597.0609587989748,597.2608749996871,597.7609652001411,10.015664199367166,605.1775354985148,0.0182265006005764,605.1775354985148,0.115827901288867,2.0,3.398541199043393,608.6110954992473,0.002507399767637253,0.09811810031533241,614.6275603994727,614.7941668985411,6.214587600901723,6.314568400382996,634.7941333988681,634.7940436992794,26.21439759992063,26.297671800479293,635.8108616992831,637.7941335998476,0.014551300555467606,0.11452450044453144,667.8105842992663,30.030920900404453,637.7941335998476,615.8108637984842,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,667.9274093993008,0.014970201998949051,0.11439460143446922,673.9105625990778,6.01425470225513,674.0106973983347,674.0106973983347,0.03182630240917206,0.1311292015016079,space,3.8155946005135775,677.8774033989757,677.8774033989757,5.719996988773346e-05,0.09792590141296387,num_9,4.244755499064922,682.1605731995776,0.0021407995373010635,0.09789079986512661,682.4606173988432,682.9605601990595,683.2772590983659,683.7438141984865,684.0607590992004,684.1439743991941,692.1605879999697,692.1605879999697,692.1605216993019,0.0008915010839700699,0.09783570095896721,693.1770852990448,694.1772648990154,694.3439369983971,694.8271209001541,10.014340799301863,702.2770565990359,0.01770380139350891,702.2770565990359,0.11433720029890537,4.0,1.8645795993506908,704.1775060985237,0.0023638010025024414,0.09758790023624897,710.1938803996891,710.360536599718,6.214062999933958,6.314284600317478,730.3602153996005,730.3436663988978,26.23085810057819,26.347534600645304,731.3770412988961,733.3771076984704,0.030875202268362045,0.13081050105392933,763.3769854996353,30.030728401616216,733.3437748998404,711.377115899697,,,,,,,,6.097741100937128,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,763.493885198608,0.014349902048707008,0.11400690115988255,769.493884800002,6.030583502724767,769.5936794988811,769.5936794988811,0.014026302844285965,0.11413560248911381,space,2.401409100741148,772.0603719986975,772.0603719986975,4.730001091957092e-05,0.09794550016522408,num_9,3.4625955000519753,775.5601595995947,0.0008030999451875687,0.11602559871971607,775.8769191000611,776.3269544990733,776.6270999982953,777.1269763989374,,777.5102558992803,785.5269866995513,785.5269866995513,785.5268286990001,-0.0005745012313127518,0.09953469969332218,786.5267996992916,787.54361849837,787.7267303988338,788.2435890994966,9.999147498980165,795.6434614993632,0.015958400443196297,795.6434614993632,0.11577729880809784,2.0,2.767034899443388,798.4437667988241,0.0015316996723413467,0.09909079968929291,804.4267131984234,804.6434913000091,6.199100399389863,6.299047699198127,824.6265454983338,824.6099052987993,26.2154550999403,26.315751498565078,825.6268126983196,827.6434183996171,0.032336700707674026,0.13230100087821484,857.6599938999861,30.015520000830293,827.6099596992135,805.6600275989622,,10.082329299300909,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,857.759963799268,0.01617470011115074,0.11589000001549721,863.7600835990161,6.0156117007136345,863.859974598512,863.859974598512,0.015914101153612137,0.11570810154080391,space,1.990803599357605,865.8932584989816,865.8932584989816,1.7799437046051025e-05,0.09936060011386871,num_9,3.94945390149951,869.8766603993251,0.00217520073056221,0.09774970076978207,870.1933097988367,870.6598070992156,870.9765847995877,871.4765670990571,871.793248699978,871.8599122986197,879.8765507992357,879.8765507992357,879.8764927985146,0.0009036008268594742,0.0978143010288477,880.876408400014,881.8765121996403,882.0765437986702,882.5765460990369,10.014230800792575,889.9930162001401,0.015798300504684448,889.9930162001401,0.11421490088105202,5.0,2.4993729013949633,892.5268289986998,0.0015075989067554474,0.09938479959964752,898.5264817997813,898.7264408992603,6.199159499257803,6.299067599698901,918.7263174990192,918.7264226991683,26.199009800329804,26.29915739968419,919.7262810990214,921.7430037986487,0.01751900091767311,0.11571460030972958,951.7429000996053,30.01580610126257,,,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,951.8260824996978,0.015723900869488716,0.09891620092093945,957.8429079987109,6.015547601506114,957.9429506994784,957.9429506994784,0.015693500638008118,0.1155897006392479,space,1.4671291001141071,959.4430141989142,959.4430141989142,4.1600316762924194e-05,0.09722539968788624,num_9,3.4397030994296074,962.9428342992439,0.0024187006056308746,0.09807519987225533,963.2595389001071,963.7260617000982,964.0260956995189,964.5427810998633,964.8595305997878,964.9262051992118,972.9261863995343,972.9261863995343,972.9260951990261,0.014780201017856598,0.11471880041062832,973.925998499617,974.9428563993424,975.1261776983738,975.6093307994306,10.010952901095152,983.0222896989435,0.010789701715111732,983.0222896989435,0.11459450051188469,5.0,4.119607601314783,987.1928102001548,0.0022155996412038803,0.09833459928631783,993.1927323993295,993.3928020989522,6.231641599908471,6.331630699336529,1013.3926267998293,1013.3927278984338,26.231680000200868,26.33160820044577,1014.4092804994434,1016.3926988989115,0.0009243004024028778,0.09822370111942291,1046.3923932984471,30.014558400958776,1016.3926988989115,994.4094103984535,,10.094212099909782,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.5092392992228,0.015185300260782242,0.11477010138332844,1076.49232929945,30.01452450081706,,30.09787550009787,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1076.5923994984478,0.0004490017890930176,0.09826530143618584,1082.6091732997447,6.01465630158782,1082.7090639993548,1082.7090639993548,0.014898201450705528,0.11477780155837536,space,1.7736623007804155,1084.5258287992328,1084.5258287992328,4.00003045797348e-05,0.09744280017912388,num_9,4.092308901250362,1088.6757027992978,0.0020732004195451736,0.09776320122182369,1088.9755746982992,1089.4589354993775,1089.7589944992214,1090.2589582988992,1090.5590007994324,1090.6590189989656,1098.6590039990842,1098.6590039990842,1098.6588687991723,0.01448960043489933,0.11441750079393387,1099.6757401991636,1100.6756697986275,1100.8756554983556,1101.3756248988211,10.014450000599027,1108.7922433000058,0.017197001725435257,1108.7922433000058,0.11431330069899559,1.0,3.5983327999711037,1112.4256285987794,0.0029259994626045227,0.09724939987063408,1118.442244399339,1118.6086994988843,6.213769499212503,6.313918799161911,1138.6085646992549,1138.5920850001276,26.23064159974456,26.33049209974706,,1141.6254610996693,0.030517200008034706,0.14729260094463825,1171.6420197989792,30.01371500082314,1141.592153199017,1119.6088385991752,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1171.7420375999063,0.0144749004393816,0.1137096006423235,1177.7419714983553,6.013768900185823,1177.841958899051,1177.841958899051,0.013764001429080963,0.11370410025119781,space,1.4966086000204086,1179.375364098698,1179.375364098698,3.979913890361786e-05,0.09783019870519638,num_9,3.5396191999316216,1182.9752762990072,0.0023866016417741776,0.09805170074105263,1183.2752458993345,1183.758551798947,1184.0586261991411,1184.5585626998916,1184.8586160987616,1184.95861809887,1192.9585376996547,1192.9585376996547,1192.9585186989978,0.014651801437139511,0.11465420015156269,1193.975488198921,1194.958604298532,1195.1753531992435,1195.6752127986401,10.031300600618124,1203.091750498861,0.016577402129769325,1203.091750498861,0.11437340080738068,4.0,3.098978901281953,1206.2254878990352,0.0023598000407218933,0.09799420088529587,1212.2252247985452,1212.4251566996797,6.231471501290798,6.3313734997063875,1232.4083557987585,1232.4086246993393,26.21474920026958,26.314527301117778,1233.4083910994232,1235.4084629993886,0.014653300866484642,0.11450760066509247,1265.4083281997591,30.014506101608276,1235.4084629993886,,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1265.5415138993412,0.015172000974416733,0.11449780128896236,1271.5584148000926,6.031154101714492,1271.658271299675,1271.658271299675,0.03118930198252201,0.1310890018939972,space,1.656344398856163,1273.374921599403,1273.374921599403,5.8200210332870483e-05,0.09794489853084087,num_9,3.9717017002403736,1277.391594099067,0.002073001116514206,0.09803690016269684,1277.7082295995206,1278.1916747989133,1278.508107099682,1278.9915699997916,1279.3080361988395,1279.374953199178,1287.3916349001229,1287.3916349001229,1287.391599999927,0.031474899500608444,0.13134489953517914,1288.4081115983427,1289.3917832989246,1289.5915922001004,1290.0915307998657,10.014647601172328,1297.5247744992375,0.03250200115144253,1297.5247744992375,0.13148810155689716,5.0,3.50003369897604,1301.0585645996034,0.002558700740337372,0.09759540110826492,1307.0581141989678,1307.2579325998202,6.21384690143168,6.3140753004699945,1327.257993899472,1327.258034998551,26.23070190101862,26.33064060099423,1328.258087798953,1330.2747120987624,0.015799202024936676,0.1139576006680727,1360.2912558987737,30.03053350187838,,,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1360.3912530988455,0.031357401981949806,0.13054320216178894,1366.4079323001206,6.013825802132487,1366.474568599835,1366.474568599835,0.013982702046632767,0.1138439029455185,space,1.8082139994949102,1368.3245363999158,1368.3245363999158,3.260001540184021e-05,0.09823330119252205,num_9,4.5656211990863085,1372.941148499213,0.0019680988043546677,0.09788719937205315,1373.2413367982954,1373.741143498756,1374.0579431001097,1374.5244586991146,1374.8411567993462,1374.9411434996873,,1382.9578366987407,1382.957745799981,0.017259100452065468,0.11452220007777214,,1384.974427299574,1385.141137799248,1385.6411744989455,10.0311209987849,1393.0742738991976,0.03415000066161156,1393.0742738991976,0.1312677003443241,2.0,2.1646286994218826,1395.2744001988322,0.0020340997725725174,0.0983927994966507,1401.274404199794,1401.474286299385,6.23171809874475,6.3316631000489,1421.4574620986357,1421.4576963,26.215040899813175,26.314896998926997,,1424.457770999521,0.015133500099182129,0.11476510018110275,1454.4742520991713,30.03162010014057,1424.457770999521,1402.4910166990012,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1454.6075499989092,0.03247520141303539,0.1314081009477377,1460.6074185986072,6.014811299741268,1460.6907541994005,1460.6907541994005,0.0147280003875494,0.11473780125379562,space,1.407718999311328,1462.1575231999159,1462.1575231999159,3.380142152309418e-05,0.09820020012557507,num_9,5.0693827997893095,1467.274125999026,0.0018294993788003922,0.09801500104367733,1467.590821499005,1468.0738971998915,1468.390912398696,1468.8739973997697,1469.1907284986228,1469.257436098531,1477.2571998983622,1477.2571998983622,1477.2571300996467,0.014547700062394142,0.11440850049257278,1478.2571671996266,1479.2572395987809,1479.457283699885,1479.9573778994381,10.014618599787354,1487.3905922994018,0.017689701169729233,1487.3905922994018,0.1144029013812542,6.0,2.8979985006153584,1490.324239898473,0.002377001568675041,0.09819690138101578,1496.3242506999522,1496.5072823001071,6.214611200615764,6.314596500247717,1516.5238596985116,1516.523932499811,26.231257900595665,26.331243101507425,1517.5405620988458,1519.5405315998942,0.016398001462221146,0.11447890102863312,1549.5571028999984,30.03109080158174,,,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.6572428997606,0.03146140091121197,0.1310294009745121,1579.6569638997316,30.030955402180552,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1579.7569608986378,0.03287510201334953,0.13102940283715725,1585.7736390996724,6.014240402728319,1585.8402509987354,1585.8402509987354,0.014439202845096588,0.11422240175306797,space,1.6498142015188932,1587.523457698524,1587.523457698524,4.0300190448760986e-05,0.09708940051496029,num_9,5.639053700491786,1593.206713298522,0.0016459990292787552,0.09855669923126698,1593.5068431999534,1593.9901691993698,1594.2902125995606,1594.7900794988498,1595.0901524983346,1595.1902382988483,1603.206796599552,1603.206796599552,1603.2067182997241,-0.0002263002097606659,0.09848389960825443,,1605.2235095985234,1605.3903233986348,1605.8902920000255,10.014986999332905,1613.30681899935,0.0014543011784553528,1613.30681899935,0.09845400042831898,5.0,2.9646192993968725,1616.3071665987372,0.003228200599551201,0.09761710092425346,1622.323440399021,1622.5066969992592,6.230892701074481,6.330866601318121,1642.4899464996531,1642.4900227990001,26.214152701199055,26.314108001068234,1643.4900490995497,1645.5068512000144,0.00013420172035694122,0.09743740223348141,1675.5065432991832,30.030752701684833,1645.5068512000144,,,10.09839989989996,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1675.639821499586,0.03139650262892246,0.13062160275876522,1681.6566257998347,6.014025002717972,1681.7232347987592,1681.7232347987592,0.0140422023832798,0.11418660171329975,space,1.3834109008312225,1683.156515199691,1683.156515199691,4.0199607610702515e-05,0.09800800122320652,num_9,5.757661800831556,1688.9562871998176,0.0008413996547460556,0.09949159994721413,1689.2563710995018,1689.7397772988304,1690.0566135998815,1690.5398693999275,1690.839805798605,1690.9062782991678,1698.9064540993422,1698.9398246984929,1698.939728299342,0.01620429940521717,0.11608480103313923,1699.9396329987794,1700.9397725984454,1701.1397692989558,1701.6397808995098,9.99928400106728,1709.0563328992575,0.0027892012149095535,1709.0563328992575,0.09917679987847805,1.0,2.864300699904561,1711.9566156994551,0.002745799720287323,0.09772550128400326,1717.9730363991112,1718.1397094989195,6.214196899905801,6.314153600484133,1738.1562246998772,1738.1563054993749,26.23087160103023,26.33081290125847,1739.1561688985676,1741.1562722995877,2.4901703000068665e-05,0.09744670055806637,1771.1729089990258,30.01400440186262,1741.1562722995877,1719.1396299991757,,10.09936710074544,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,1771.2728254999965,0.014633901417255402,0.11400220170617104,1777.2894548997283,6.030638901516795,1777.3894184995443,1777.3894184995443,0.030738601461052895,0.1306743025779724,space,1.1810276992619038,1778.622748799622,1778.622748799622,4.830025136470795e-05,0.09781930036842823,num_9,3.884230401366949,1782.5726845992729,0.0020308010280132294,0.09816800057888031,1782.889354299754,1783.35602069851,1783.6561379991472,1784.1726818999275,1784.4894193988293,1784.556074500084,1792.5560491997749,1792.5560491997749,1792.5559969993308,0.014854500070214272,0.1148242000490427,,1794.572719398886,1794.739207899198,1795.2561869993806,10.031486500054598,1802.7058368995786,0.03436320088803768,1802.7058368995786,0.13129990175366402,4.0,3.19803199917078,1805.939562799409,0.0032934006303548813,0.09835850074887276,1811.9392718989402,1812.1224793998524,6.214672800153494,6.298042599111795,1832.1224933994934,1832.1225441992283,26.21485129930079,26.314752200618386,1833.139185199514,1835.1391635984182,-7.609836757183075e-05,0.09819800034165382,1865.1221276987344,30.0143073014915,1835.1391635984182,1813.1392882000655,30.098170701414347,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,1865.2392221000046,-0.0004861988127231598,0.09793980047106743,1871.2557284999639,6.014590701088309,1871.3556639999151,1871.3556639999151,0.014626901596784592,0.11458070203661919,space,1.6789932996034622,1873.08901809901,1873.08901809901,4.550069570541382e-05,0.09783780016005039,num_9,3.617076799273491,1876.7722949983552,0.001951398327946663,0.09802489914000034,1877.088980499655,1877.5555965995416,,1878.3722790984436,1878.6890194993466,1878.7556486986578,1886.7556413989514,1886.7556413989514,1886.7553846986964,0.014699898660182953,0.11463769897818565,,1888.7388314995915,1888.9388192985207,1889.4390135984868,10.031243799254298,1896.9055711999536,0.0340769998729229,1896.9055711999536,0.1312623992562294,2.0,2.798148300498724,1899.7390784993768,0.0021497998386621475,0.0980616994202137,1905.7555724997073,1905.922152899392,6.214743399992585,6.314677299931645,1925.9220648987218,1925.922162398696,26.21469180099666,26.31462650001049,1926.938755998388,1928.9220979996026,0.014652300626039505,0.1147696003317833,1958.9219981990755,30.014528600499034,1928.9220979996026,1906.938904499635,,,,,,,,,,676,Gustatory,2024-06-05_15h48.05.101,Gustatory_Condition_v2,2022.2.5,29.94474596627884,
