loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.327133429990862,0.0005224999986239709,0.12001229999805219,11.759426299999177,12.025999989996853,12.459540199997718,0.005357699999876786,0.10323200000129873,27.476116099998762,15.019793700001173,27.55937559999802,27.55937559999802,0.0031159000027400907,0.10309920000145212,space,4.833436500000971,,,,,,,,,,,,,,,,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
0,0,0,0,,,,,,,,,,,,,,,,,32.44275989999733,0.001788599998690188,0.09838859999945271,38.45944449999661,6.015059699999256,38.576137899999594,0.03204349999941769,0.1318957000003138,44.57621279999876,6.0317561000010755,44.67596339999727,0.03442910000376287,0.13168160000350326,2.0,3.6483359999983804,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
1,0,1,0,,,,,,,,,,,,,,,,,48.35962010000003,0.00024359999952139333,0.09917069999937667,54.37606389999928,6.015748900001199,54.49278309999863,0.03190370000083931,0.1324573000019882,60.49277479999728,5.999076500000228,60.559320399999706,0.002561400004196912,0.09891370000332245,2.0,1.0976245999991079,6.099019000001135,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
2,0,2,0,,,,,,,,,,,,,,,,,61.69299059999685,0.00024900000062189065,0.09937079999872367,67.6759048999993,5.999113199999556,67.80927669999801,0.014369900000019697,0.11574210000253515,73.80938559999777,6.0157298000012815,73.90936929999953,0.018279800002346747,0.11573660000431119,3.0,7.63185169999997,,6.082293799998297,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
3,0,3,0,,,,,,,,,,,,,,,,,81.5763018999969,0.00025289999757660553,0.09930809999787016,87.59269419999691,6.015903100000287,87.70924849999938,0.038860299999214476,0.13249939999877824,93.70932170000015,5.9993228999992425,93.7759045999992,0.0015734000007796567,0.09912120000080904,0.0,1.1652744000020903,6.099032099999022,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
4,0,4,0,,,,,,,,,,,,,,,,,94.97626499999751,0.00048239999887300655,0.09747739999875193,100.99267150000014,6.014153699998133,101.62605309999708,0.3972810000013851,0.6479206000003614,,6.027197400002478,107.17225229999895,0.013073000001895707,0.09746720000111964,1.0,0.9853762999991886,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
5,0,5,0,,,,,,,,,,,,,,,,,108.20943019999686,0.000607599999057129,0.09711109999989276,114.19281359999877,6.0138620999969135,114.34275759999946,0.030003100000612903,0.1306213999996544,120.34266239999852,6.030309300000226,120.44257739999739,0.033080299999710405,0.13048470000285306,0.0,1.264694800000143,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
6,0,6,0,,,,,,,,,,,,,,,,,121.74281559999872,0.0005030000029364601,0.09725500000058673,127.75928379999823,6.013862200001313,127.94257739999739,0.1059720000012021,0.19725150000158465,133.94260419999773,6.030586900003982,133.97584339999958,0.03380910000487347,0.1303855000041949,1.0,1.7307857999985572,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
7,0,7,0,,,,,,,,,,,,,,,,,135.74280819999694,0.0005254999996395782,0.09726340000270284,141.75925629999983,6.013877600002161,141.87597329999699,0.03080920000138576,0.1306410000033793,147.87593699999707,6.030549800001609,147.97591759999705,0.03292700000383775,0.1304647000033583,2.0,1.1652228999992076,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
8,0,8,0,,,,,,,,,,,,,,,,,149.17613469999924,0.00023389999842038378,0.09919929999887245,155.19273590000012,6.015804200000275,155.3261440999995,0.047836800000368385,0.14939120000053663,161.32589169999846,6.015832500001125,161.3925900999966,0.018230900004709838,0.11587290000170469,2.0,0.6652316999970935,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
