Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.516909050405957,0.0004972999449819326,0.08651659998577088,16.9947587500792,17.49474845000077,17.76112560008187,17.76112560008187,0.019668599939905107,0.11983999994117767,32.76127820007969,15.019877399899997,32.87793230009265,0.005372599931433797,0.10323100001551211,38.877907200017944,6.003136600018479,38.994611700065434,38.994611700065434,0.019910800037905574,0.11981169995851815,space,65.1192066000076,104.16120480000973,104.16120480000973,4.020007327198982e-05,0.09771950007416308,num_9,7.224043699912727,111.44463765004184,0.0022757999831810594,0.09775519999675453,111.74444140004925,112.22784695005976,112.52799870003946,113.04458625009283,113.34450900007505,113.4278304000618,121.4444983000867,121.4444983000867,121.44460685004015,0.001573899993672967,0.09774710005149245,122.44442600000184,123.46116300008725,123.62787800002843,124.14453110005707,10.014280200004578,10.097696500015445,131.54448120004963,0.0007009999826550484,131.54448120004963,0.09771180001553148,2.0,5.414703499991447,136.99464779999107,0.0015685000689700246,0.09931070008315146,142.99446310009807,143.16120885009877,6.199249000055715,6.299214099999517,144.1778353000991,163.1611407500459,163.16110430005938,26.199198300018907,26.299150100094266,164.1778081000084,166.1778115000343,166.1778115000343,0.015956400078721344,0.11581810005009174,196.1775585000869,29.999282400123775,30.09927750006318,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
0,0,0,0,1,0,1,0,,,,,,,,,,,,196.29442000004929,0.000614300137385726,0.09913750016130507,202.29437220003456,5.999097100109793,202.41107120004017,202.41107120004017,0.01588440011255443,0.11591910012066364,space,6.0867356999078766,208.56102610006928,208.56102610006928,8.319993503391743e-05,0.09814519993960857,num_9,1.7690407000482082,210.39462035009637,0.0024080999428406358,0.09801750001497567,210.69429760007188,211.19447515008505,211.4943391000852,211.9776406500023,212.2776123000076,212.37770440010354,220.394345000037,220.394345000037,220.39449775009416,0.0015295000048354268,0.09797779994551092,221.39431710005738,222.41103940003086,222.57767780008726,223.07768760004546,10.014518199954182,10.097927700029686,230.49425170000177,0.0008348999544978142,230.49425170000177,0.09787309996318072,6.0,3.1312533000018448,233.66121900000144,0.003213199903257191,0.09754909994080663,239.6609935000306,239.84431105002295,6.214188499958254,6.3141929999692366,240.84425439999904,259.8443023500731,259.8239246000303,26.210427099955268,26.29368829994928,260.8442391999997,262.8443347000284,262.8443347000284,0.014331100042909384,0.11412459996063262,292.8445963000413,30.01453229994513,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
0,0,0,0,2,0,2,0,,,,,,,,,,,,292.97760820004623,0.014535099966451526,0.11412869999185205,298.9942357999971,6.030730300000869,299.0775789000327,299.0775789000327,0.014303200063295662,0.11404630006290972,space,3.700419000000693,302.82771119999234,302.82771119999234,5.2600051276385784e-05,0.09732900001108646,num_9,3.2945035999873653,306.1778138501104,0.002472700085490942,0.09798399999272078,306.4774556000484,306.9777805500198,307.27766760007944,307.7776281500701,308.077548500034,308.1608799000969,316.1608474000823,316.1608474000823,316.1609296500683,0.014641100075095892,0.13140549999661744,317.1775579000823,318.16083090007305,318.3775404000189,318.89418060006574,10.014568499987945,10.097912000026554,326.2773759000702,0.001626300043426454,326.2773759000702,0.09793640009593219,2.0,2.130592399975285,328.444358900073,0.003021799959242344,0.09782969998195767,334.46083029999863,334.6274926500628,6.231186600052752,6.3311544000171125,335.6440875000553,354.64411335007753,354.62728160002735,26.214334200019948,26.31472849997226,,357.6442192000104,357.6442192000104,0.0003423000453040004,0.09778340009506792,387.6439936000388,30.031060500070453,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
0,0,0,0,3,0,3,0,,,,,,,,,,,,387.7606779000489,0.015227600117214024,0.11448130011558533,393.7438574000262,6.014253600034863,393.84395900007803,393.84395900007803,0.031600500107742846,0.13100970012601465,space,2.6375799999805167,396.54397560004145,396.54397560004145,4.2899977415800095e-05,0.09800849994644523,num_9,5.049405800062232,401.62751835002564,0.0024151999969035387,0.09753999998793006,401.92727159999777,402.4106990500586,402.72733730007894,403.21073685004376,403.52726760006044,403.6273397000041,411.62724950001575,411.62724950001575,411.62738615006674,0.0011747999815270305,0.09774300002027303,412.62720790004823,413.6105331000872,413.810540500097,414.3106165000936,10.01406129996758,10.097399999969639,421.72718510008417,0.0005040999967604876,421.72718510008417,0.09739660006016493,4.0,2.964640000020154,424.7274425000651,0.0029417999321594834,0.09768689994234592,430.72722910006996,430.91057035000995,6.214382999925874,6.297844299930148,431.9272084000986,450.91048525006045,450.9104708000086,26.21450149989687,26.314415799919516,451.92715340002906,453.91048700001556,453.91048700001556,0.014521899982355535,0.11447040003258735,483.910464100074,30.014458499965258,,6.097457000054419,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
0,0,0,0,4,0,4,0,,,,,,,,,,,,484.043715900043,0.014741500024683774,0.11433260003104806,490.0269099000143,6.0142148999730125,490.1270519000245,490.1270519000245,0.031678800005465746,0.13098550005815923,space,2.9543439999688417,493.12702110002283,493.12702110002283,6.370001938194036e-05,0.09813249995931983,num_9,3.338329500053078,496.5104760500835,0.0020763000939041376,0.09797740005888045,496.8269972000271,497.29373915004544,497.5936052000616,498.09364305005874,498.3935365000507,498.4936897000298,506.51046930009034,506.51046930009034,506.51039315003436,0.001636300003156066,0.0979336000746116,507.5271151000634,508.5269445000449,508.6936253000749,509.19362959999125,10.031217599986121,,516.6268945999909,0.01710510009434074,516.6268945999909,0.11442000011447817,5.0,3.8982786999549717,520.5605164000299,0.0026442999951541424,0.09761459997389466,526.5603782000253,526.7435147500364,6.214104500017129,6.297715099994093,527.7435433000792,546.7602722500451,546.7601741000544,26.230925500043668,26.330945699941367,547.7768625000026,549.760182500002,549.760182500002,-0.00013479997869580984,0.09755020006559789,579.7767406000057,30.01418460009154,,6.097476199967787,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.8769138000207,0.014383400091901422,0.11407950008288026,609.8935806000372,30.031042300048284,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
1,0,1,0,0,0,0,0,,,,,,,,,,,,609.9766748000402,0.015789000084623694,0.11402380012441427,615.9766030000756,6.0139984000707045,616.0766121000051,616.0766121000051,0.014077100087888539,0.11400430009234697,space,3.0685463999398053,619.1933345000725,619.1933345000725,5.050003528594971e-05,0.0975911000277847,num_9,1.6320184000069275,620.8600688501028,0.001970799989067018,0.09769479988608509,621.1765995000023,621.6432702500606,,622.4433863500599,622.7432244000956,622.8432986000553,630.8433295000577,630.8433295000577,630.8433316500159,0.014641299960203469,0.11447139992378652,631.8599047000753,632.8432267000899,633.0598801000742,633.5766803000588,10.014350099954754,,640.9764637000626,0.016888199956156313,640.9764637000626,0.11424159992020577,4.0,2.7317917000036687,643.7435658000177,0.0025337999686598778,0.09781459998339415,649.7432029000483,649.9432857501088,6.231073100003414,6.33100669994019,650.9431973000756,669.9434054500889,669.9430991000263,26.230976999970153,26.330951299984008,,,672.9599019000307,0.01531829999294132,0.11427969997748733,702.9763394000474,30.03077980002854,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
1,0,1,0,1,0,1,0,,,,,,,,,,,,703.0763125000522,0.03156620007939637,0.13079610001295805,709.0762850000756,6.030766700045206,709.1596163000213,709.1596163000213,0.014209600049071014,0.11406980000901967,space,2.19370320008602,711.3929255000548,711.3929255000548,3.300001844763756e-05,0.0978752999799326,num_9,2.296727400040254,713.7266626500059,0.0027384000131860375,0.09770619997289032,714.0262088000309,714.5096971500898,714.82641530002,715.326437450014,715.6263158000074,715.7096361001022,723.7263733000727,723.7263733000727,723.7264723500703,-0.0007557999342679977,0.09762610006146133,724.7264381001005,725.726291500032,725.9095533000072,726.4095569000347,10.014315900043584,10.097532800049521,733.8260587000987,0.0003972999984398484,733.8260587000987,0.09764180006459355,2.0,2.5315904000308365,736.3928190000588,0.0018912999657914042,0.09647650003898889,742.4095051999902,742.5762775500771,6.213119899970479,6.313091699965298,743.5761677999981,762.5761100500822,762.5761835000012,26.21322609996423,26.313027300057,763.5760514000431,765.5927446000278,765.5927446000278,0.029738200013525784,0.1298239000607282,795.6093077000696,30.01315050001722,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
1,0,1,0,2,0,2,0,,,,,,,,,,,,795.7093421000754,0.013715900015085936,0.11293610010761768,801.7260297000175,6.029542100033723,801.8259423000272,801.8259423000272,0.029691000119782984,0.12953390006441623,space,4.343990799970925,806.2092999001034,806.2092999001034,4.75000124424696e-05,0.09790519997477531,num_9,1.7286423000041395,807.9927198500372,0.0026753999991342425,0.09807479998562485,808.309288199991,808.7927149500465,809.1092930000741,809.5926858501043,809.9092647000216,809.9759811999975,817.9925845999969,817.9925845999969,817.9928852500161,0.0015879999846220016,0.09799080004449934,818.9924007999944,819.992512900033,820.1759052000707,820.6759496000595,10.014544300036505,10.097976900055073,828.0924658000004,0.0014070000033825636,828.0924658000004,0.09792820003349334,5.0,1.697521400055848,829.8259571000235,0.0015608998946845531,0.09918849996756762,835.8425058000721,836.0093637499958,6.215678999898955,6.299014699994586,837.0090777000878,855.9924563500099,855.9925265000202,26.199242499889806,26.299083999940194,856.9922025999986,859.0091800000519,859.0091800000519,0.015909999958239496,0.11561680003069341,889.0256315000588,30.03232689993456,,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
1,0,1,0,3,0,3,0,,,,,,,,,,,,889.1591203000862,0.033050699974410236,0.13226740004029125,895.17571770004,6.015723000047728,895.2423248999985,895.2423248999985,0.015709000057540834,0.1156431999988854,space,2.438809199957177,897.7422662000172,897.7422662000172,4.1400082409381866e-05,0.09799709997605532,num_9,1.9789132000878453,899.775725650019,0.0024125000927597284,0.09778170008212328,,900.5588935500709,900.8589035000186,901.3589055500925,901.6589173000539,901.7589168000268,909.7588869000319,909.7588869000319,909.7590086500859,0.014772900030948222,0.11476960009895265,910.75886609999,911.775566700031,911.9756858000765,912.4754757999908,10.014579300070181,10.094339500064962,919.8717668000609,0.027707300032489002,919.8717668000609,0.11449320008978248,6.0,2.918160800007172,922.8258262000745,0.0015681999502703547,0.09932199993636459,928.8421400000807,929.0090049500577,6.199071899987757,6.282563099986874,930.0087624000153,948.9921198500087,948.9920572000556,26.199198700021952,26.29917779995594,950.0087206000462,951.9753110000165,952.0086432000389,0.015726200072094798,0.11586969997733831,982.0084594000364,29.999097599997185,30.08225560002029,,,,,,,,678,Gustatory,2024-09-17_11h12.18.040,Gustatory_Condition_v2,2022.2.5,29.948476649391186,
