loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.934277399571146,0.0008498000679537654,0.10965910006780177,16.251674799947068,16.55167389997514,16.851520500029437,17.151777299924287,17.451681099948473,17.73489269997226,18.068288199952804,18.068288199952804,0.008948100032284856,0.10976890008896589,33.084980899933726,15.02645810006652,33.16822430002503,0.02624070004094392,0.1097256001085043,33.635100699961185,space,1.4185641000512987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,35.101676199934445,0.0013696999521926045,0.09847409999929368,41.11849339993205,6.015069299959578,41.4851724000182,41.4851724000182,0.24255349999293685,0.38189870002679527,6.014999600010924,47.41832119994797,47.41832119994797,47.41832119994797,0.08010640006978065,0.21503419999498874,53.11856680002529,53.28495619993191,6.015073199989274,6.114943300024606,59.28496590000577,12.015047600027174,59.41830779996235,59.41830779996235,0.015259700012393296,0.114973200019449,up,1.1624095001025125,60.634974999935366,4.4599990360438824e-05,0.09752509999088943,66.65165229991544,66.65165229991544,66.65165229991544,0.011145099997520447,0.11444749997463077,2.0,3.8539698000531644,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.55180459993426,70.55180459993426,0.014207900036126375,0.11401140002999455,2.0,2.834254499990493,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.41826760000549,73.41826760000549,0.009902900084853172,0.09746520000044256,2.0,1.3553735999157652,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8350898999488,74.8350898999488,0.011618299991823733,0.11416899994947016,2.0,1.7369728999910876,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.60161250003148,76.60161250003148,0.008320199907757342,0.09928389999549836,2.0,0.8584248000988737,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.51828790002037,77.51828790002037,0.011980100069195032,0.11390720005147159,2.0,2.4696587999351323,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.01812209992204,80.01812209992204,0.008538200054317713,0.09904240001924336,2.0,4.3250926999608055,,,,,,,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.38493389997166,84.38493389997166,0.0006990000838413835,0.09917630010750145,6.0,6.666125599993393,,,,,,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,91.08519429992884,0.0002808000426739454,0.09822809998877347,97.06812059995718,6.014591599931009,97.25140609999653,97.25140609999653,0.06222600000910461,0.16481149999890476,6.03140269999858,103.38472929992713,103.38472929992713,103.38472929992713,0.09639150009024888,0.1980262000579387,109.08497740002349,109.28506959998049,6.031573100015521,6.131414800067432,115.28491829999257,12.031512400018983,115.41829399997368,115.41829399997368,0.03157800005283207,0.1313973000505939,down,0.6425802999874577,116.1182981999591,5.650008097290993e-05,0.09790809999685735,,122.13485989999026,122.13485989999026,0.025457400013692677,0.11463279998861253,5.0,3.956711200065911,,,,,,,6.098106599994935,103.25160459999461,103.25160459999461,115.38490860001184,115.38490860001184,,,678,Moral,2024-09-17_10h49.29.192,MoralCondition_v2,2022.2.5,29.974276082780083,
