Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,spit_sound.stopped,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.378619259316473,0.0005526000168174505,0.09416199987754226,18.872504079993814,19.122373699909076,19.389114280045032,19.6556160999462,0.022306099999696016,0.1274250999558717,34.65583449997939,15.010737699922174,34.755773100070655,0.021928199799731374,0.12745539983734488,40.772510800044984,6.027507399907336,40.85591199994087,40.85591199994087,0.010786899831146002,0.11070029973052442,space,6.4241747001651675,47.339157100068405,47.339157100068405,5.4900068789720535e-05,0.09786970005370677,num_9,5.618703200249001,53.005960879893976,0.002115099923685193,0.09788649994879961,53.32245930004865,53.78924377989024,54.08906050003134,54.605890580033886,54.92249169992283,54.98913950007409,62.98930249991827,62.98930249991827,62.98922208002769,0.014613499864935875,0.11434909980744123,64.98911119997501,65.18915660004131,65.68915569991805,10.014309799997136,73.13923899992369,0.017190499929711223,73.13923899992369,0.13128489977680147,5.0,5.014756500022486,78.17281739995815,0.0015453998930752277,0.09970879997126758,84.1893710999284,84.35592757984996,6.215924100019038,6.316023600054905,85.37247140007094,104.33922327989713,104.3391571000684,26.199270699871704,26.299308999907225,105.35582429985516,107.3390897999052,107.3390897999052,-0.0007853000424802303,0.09925050009042025,137.33917329995893,29.99929150007665,,,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
0,0,0,0,1,0,1,0,,,,,,,,,,,,137.48944590007886,0.016729299910366535,0.11595949996262789,143.50580599997193,5.999363699927926,143.57280720002018,143.57280720002018,-0.0003859002608805895,0.09954929980449378,space,3.160823400132358,146.8061536999885,146.8061536999885,1.3699987903237343e-05,0.11531560006551445,num_9,3.207852200139314,150.05592858004383,0.0018894998356699944,0.09812309988774359,150.37247810000554,150.83917007995768,151.15586769999936,151.65603257999754,151.97263809992,152.0223127999343,160.02247520000674,160.05608469992876,160.05589177999644,0.031727700028568506,0.13138199993409216,162.05577740003355,162.2391895998735,162.7391556999646,10.01478959992528,170.15582029987127,0.00142959994263947,170.15582029987127,0.09814579994417727,2.0,4.131106799934059,174.32281089993194,0.0015541999600827694,0.09933919995091856,180.33917329995893,180.4891645799391,6.199234399944544,6.2991873999126256,181.4889785000123,200.50606788001022,200.50600280007347,26.21612919983454,26.31590039981529,201.52249979996122,203.522419200046,203.522419200046,0.0015685998369008303,0.11609510006383061,233.52256800001487,29.9991836999543,6.099218299845234,161.05585359991528,10.098285099957138,30.099008299876004,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
0,0,0,0,2,0,2,0,,,,,,,,,,,,233.62249969993718,-0.00011990009807050228,0.09927809983491898,239.63921629986726,6.015863699838519,239.73915679985657,239.73915679985657,0.016009099781513214,0.11587959970347583,space,1.9864458001684397,241.78914209990762,241.78914209990762,3.929995000362396e-05,0.09812019998207688,num_9,3.8883937001228333,245.7226184800267,0.0021212000865489244,0.09803790017031133,246.02243890007958,246.52254968001506,,247.30594887984915,247.62249569990672,247.72253450006247,,255.73915949999355,255.73925808006896,0.0172861001919955,0.11470840009860694,257.75571130006574,257.90581450005993,258.4058405999094,10.01486110012047,265.83898340002634,0.017314299941062927,265.83898340002634,0.11450279993005097,4.0,2.7315013001207262,268.60564169986174,0.0010818000882863998,0.09910640004090965,274.62251590006053,274.78921837992965,6.2159969001077116,6.2994699000846595,,294.77255957997403,294.7724822999444,26.199364200001583,26.299430600134656,295.7724186000414,297.77247929992154,297.77247929992154,-0.0004920999053865671,0.09943150007165968,327.78912269999273,30.015982000157237,,256.75582870002836,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
0,0,0,0,3,0,3,0,,,,,,,,,,,,327.9224242998753,0.016840700060129166,0.11594199994578958,333.9390386000741,5.999412500066683,334.0057610999793,334.0057610999793,1.219986006617546e-05,0.09942279988899827,space,2.247625700198114,336.30581719987094,336.30581719987094,5.570007488131523e-05,0.09835540014319122,num_9,1.7556132001336664,338.1225929798558,0.00277039990760386,0.09803500003181398,338.4223700000439,338.9057757799048,339.22241339995526,339.7059936798643,340.02242369996384,340.1224334000144,348.1224074999336,348.1224074999336,348.1224021800328,-0.00011030002497136593,0.09805019991472363,350.13906600000337,350.3057679000776,350.8057772999164,10.031490500085056,358.23899880005047,0.017221099929884076,358.23899880005047,0.11463089985772967,4.0,3.8983899999875575,362.17274259985425,0.0025396000128239393,0.09776340005919337,368.1893070999067,368.35579567989333,6.2144219998735934,6.314390500076115,369.3723766000476,388.3556974798441,388.35567219997756,26.21440689987503,26.314354799920693,389.37235389999114,391.37238169997,391.37238169997,8.430005982518196e-05,0.09780100011266768,421.3889742998872,30.014322499977425,6.099227800033987,349.1223627999425,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
0,0,0,0,4,0,4,0,,,,,,,,,,,,421.48897519987077,0.015046800021082163,0.11433449992910028,427.48901310004294,6.014374400023371,427.5890074998606,427.5890074998606,0.014655799837782979,0.11434669978916645,space,2.361158400308341,429.9891337000299,429.9891337000299,4.549999721348286e-05,0.09754809993319213,num_9,1.624256200157106,431.65575497997924,0.0021877000108361244,0.0980312000028789,431.97226599999703,432.4389599799644,,433.2556863800157,433.5724684998859,433.63907100004144,441.638903999934,441.638903999934,441.6393572800327,0.014680900145322084,0.11469710012897849,443.6223152000457,443.85572530003265,444.35557859996334,10.014771500136703,451.7721911999397,0.01673589996062219,451.7721911999397,0.11439220001921058,2.0,2.665733599802479,454.472318300046,0.0015649001579731703,0.09907230013050139,460.4555204999633,460.65563047984614,6.215679000131786,6.3157254999969155,461.65553190000355,480.6555172799155,480.6555446998682,26.21573600010015,26.31566540012136,481.6554990999866,483.6722188999411,483.6722188999411,0.0013967000413686037,0.09903590008616447,513.6721024999861,30.032292400021106,,442.65557329985313,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.8054334998596,0.03255619993433356,0.1322520999237895,543.8054609999526,30.032196500105783,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
1,0,1,0,0,0,0,0,,,,,,,,,,,,543.9053676000331,0.03417989984154701,0.1321650999598205,549.9053076999262,6.032169099897146,550.0053369998932,550.0053369998932,0.032327299704775214,0.1322431997396052,space,1.7199717999901623,551.7720226000529,551.7720226000529,3.929995000362396e-05,0.09783699992112815,num_9,2.3853023000992835,554.2054673799314,0.0017965000588446856,0.09773390018381178,554.5219388999976,554.9887047799305,555.3053494000342,555.8056164798793,556.1052775999997,556.1886322000064,564.2053103998769,564.2053103998769,564.2055532800034,0.0011256001889705658,0.09769730013795197,566.2051571998745,566.3886621999554,566.8886484000832,10.014226900180802,574.3051276998594,0.0007750000804662704,574.3051276998594,0.0975758999120444,2.0,1.8644621998537332,576.2053505999502,0.002753899898380041,0.09752369998022914,582.2052289000712,582.3886784799863,6.213939300039783,6.313974400050938,583.4052226999775,602.3885944800452,602.3885214999318,26.213925699936226,26.313918399857357,603.4051802998874,605.3885536000598,605.3885536000598,0.01398800010792911,0.1139098999556154,635.3884797000792,30.013891299953684,,565.2219650000334,10.097596900071949,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
1,0,1,0,1,0,1,0,,,,,,,,,,,,635.5218006998766,0.014502899954095483,0.11383059993386269,641.5384436999448,6.030474599916488,641.6384409000166,641.6384409000166,0.030605999752879143,0.13050529989413917,space,1.9109555000904948,643.5884811999276,643.5884811999276,3.9499951526522636e-05,0.0979452000465244,num_9,2.056732200086117,645.7052234800533,0.002633800031617284,0.09804650000296533,646.0216097000521,646.4885285799858,646.8051324000116,647.2884779798799,647.6051596000325,647.7052682999056,655.7050862999167,655.7050862999167,655.7051596800331,0.0016475999727845192,0.09802110004238784,657.705088699935,657.9049183998723,658.4217063998803,10.014665799913928,665.8215705999173,0.016714999917894602,665.8215705999173,0.11462189978919923,4.0,2.8667282999958843,668.721677799942,0.0016787000931799412,0.09903770009987056,674.7384893000126,674.90498537994,6.21572869992815,6.315705700078979,675.9050087998621,694.9049975800328,694.904985900037,26.21573009993881,26.315764700062573,695.904982100008,697.9050350000616,697.9050350000616,0.015834199963137507,0.11604550015181303,727.9048671000637,30.01561120012775,,656.7050912000705,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
1,0,1,0,2,0,2,0,,,,,,,,,,,,728.0381277999841,0.016351399943232536,0.11559719988144934,734.054864600068,6.0322104000952095,734.1548983999528,734.1548983999528,0.03236709977500141,0.13227809988893569,space,1.7626092999707907,735.9548925000709,735.9548925000709,3.4800032153725624e-05,0.09800200001336634,num_9,1.7707109001930803,737.7716969799251,0.002091399859637022,0.09809469990432262,738.0714177000336,738.5548043798656,738.8714202998672,739.3715979799629,739.6715569000226,739.7548388000578,747.7550534999464,747.7550534999464,747.7549985799008,0.014931599842384458,0.11469759978353977,749.7714998000301,749.9714635999408,750.4714915999211,10.014673299854621,757.9049490999896,0.01773719978518784,757.9049490999896,0.13133239978924394,4.0,5.1811792000662535,763.10510899988,0.0021923999302089214,0.09821329987607896,769.0880906998646,769.2881844798569,6.214801499852911,6.31478159991093,770.3047704000492,789.2882833800279,789.2880887999199,26.21484909998253,26.314763499889523,790.3047162999865,792.3046907999087,792.3046907999087,0.0004624000284820795,0.09804380009882152,822.3045844999142,30.03135220007971,,748.7548414000776,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
1,0,1,0,3,0,3,0,,,,,,,,,,,,822.421392200049,0.015263399807736278,0.11463699978776276,828.4212595999707,6.014603599905968,828.5044152999762,828.5044152999762,0.01444509974680841,0.09793219971470535,space,2.1805896000005305,830.737895200029,830.737895200029,3.760005347430706e-05,0.09813980013132095,num_9,1.819074200000614,832.6046984799207,0.001986999996006489,0.09807930001989007,832.9045384000055,833.3879318798893,833.7044732000213,834.1878413800616,834.521273399936,834.5879013000522,842.5878697000444,842.5878697000444,842.5879634798505,0.014650000026449561,0.11459580017253757,844.5878655998968,844.7878886999097,845.3045397999231,10.014591000042856,852.7211321999785,0.01711250003427267,852.7211321999785,0.11439360002987087,2.0,1.3316571000032127,854.0880114000756,0.004018800100311637,0.09776900010183454,860.0878109999467,860.2879115799908,6.231063900049776,6.331094400025904,861.3044660000596,880.2674418800045,880.250685099978,26.210656699957326,26.29393759998493,881.2710362998769,883.2546268999577,883.2882574999239,0.03159740008413792,0.13106260006316006,913.3043092000298,30.01424750010483,,843.6045514999423,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
