loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.029036119580269,0.0008000999223440886,0.11409759987145662,14.328725199913606,14.628522719955072,15.228619019966573,15.52851269999519,15.828468619845808,16.145230899797752,16.145230899797752,0.030987699748948216,0.13111739978194237,31.16194639983587,15.014352499740198,31.24502049991861,0.014366299845278263,0.09765539970248938,31.7452737998683,space,1.4927432998083532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,33.27858949988149,0.001347400015220046,0.09808719996362925,39.278676399961114,6.031540700001642,39.59530989988707,39.59530989988707,0.1811015997081995,0.3146118998993188,6.014684199821204,45.578419799916446,45.578419799916446,45.578419799916446,0.07089939969591796,0.19797829980961978,51.278610799927264,51.478563899872825,6.031423899810761,6.131349899806082,57.47864059987478,12.031508899759501,57.578518899856135,57.578518899856135,57.61185159999877,57.61185159999877,0.031621899688616395,0.13145969971083105,down,2.778064399957657,60.445247899973765,2.759997732937336e-05,0.09880529996007681,66.46177429985255,66.46177429985255,66.46177429985255,0.009966699872165918,0.11553009995259345,7.0,4.823187000118196,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.31196710001677,71.31196710001677,0.00871039996854961,0.09919159999117255,1.0,3.25804050010629,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.62861909996718,74.62861909996718,0.011436200002208352,0.11438540020026267,7.0,2.8705521000083536,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.52861919999123,77.52861919999123,0.008788600098341703,0.09912579995580018,1.0,1.6246654000133276,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1950570999179,79.1950570999179,0.00840400019660592,0.0992963002063334,6.0,5.292204600060359,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.54519979981706,84.54519979981706,0.00948019977658987,0.11473399982787669,4.0,3.47257039998658,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04523859987967,88.04523859987967,0.009649400133639574,0.0974679000210017,5.0,3.42227300000377,,,,,,,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.51216729986481,91.51216729986481,0.0024391000624746084,0.09683439997024834,1.0,4.429306200006977,,,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,95.97869869996794,0.0003108999226242304,0.09938919986598194,101.99516099994071,6.016035799868405,102.21169229992665,102.21169229992665,0.1252762998919934,0.23276429995894432,5.999272299930453,108.27867309981957,108.27867309981957,108.27867309981957,0.09063889971002936,0.1995416998397559,113.97845019982196,114.14509949996136,5.99931289977394,6.099268199875951,120.14506099978462,11.999260999727994,120.2785004999023,120.2785004999023,120.2785004999023,120.2785004999023,0.0003507996443659067,0.09930019965395331,down,1.5675293998792768,121.91177629982121,4.779989831149578e-05,0.09796769986860454,,127.94516379991546,127.94516379991546,0.02581219980493188,0.1313397998455912,1.0,2.6069149000104517,,,,,,,6.099251299863681,12.099259799811989,,,,679,Moral,2024-09-24_16h21.13.884,MoralCondition_v2,2022.2.5,29.992975647482726,
