Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,23.731422821804884,0.000559499952942133,0.1158529999665916,24.23436851021834,24.484523700084537,24.75121920988895,25.03439210029319,0.03431819984689355,0.1323636001907289,14.999049799982458,40.03462090017274,15.099018699955195,40.11791140027344,0.015193299856036901,0.11564349988475442,46.11792240012437,6.015698499977589,46.25123149994761,46.25123149994761,0.01578019978478551,0.1490821000188589,space,3.679261100012809,49.984596400056034,49.984596400056034,5.610007792711258e-05,0.09425510000437498,num_9,5.417488100007176,55.46789971007966,0.0024031000211834908,0.0978799001313746,55.784620200283825,56.25117710991763,56.55123100010678,57.06789861028083,57.38458209997043,57.45130359986797,65.46802640007809,65.46802640007809,65.46787231010384,0.001535399816930294,0.11475510010495782,66.4846129999496,67.48460600012913,67.65153850009665,68.15129290008917,10.03123589977622,75.58464320003986,0.016498100012540817,75.58464320003986,0.11469869967550039,6.0,7.1656752997078,82.78492840006948,0.0015532998368144035,0.09930989984422922,88.80131200002506,88.96793850990943,6.215904499869794,6.315900600049645,89.98465680005029,108.95122761013917,108.95149890007451,26.19960210006684,26.29924689978361,109.95128490030766,111.96797219989821,111.96797219989821,0.0159724997356534,0.11596869956701994,141.96802440006286,30.01599369943142,,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,142.10139820026234,0.016631899401545525,0.11598529946058989,148.11804550001398,5.99930809950456,148.18482750002295,148.18482750002295,0.0001956992782652378,0.09945249930024147,space,1.4731890996918082,149.70139680011198,149.70139680011198,4.0899962186813354e-05,0.09801660012453794,num_9,0.8526020003482699,150.61799951004795,0.0020572999492287636,0.09818620001897216,150.93472600029781,151.40126451025716,151.701330000069,152.2011496100109,152.50142450025305,152.58463159995154,160.5846695001237,160.61806740006432,160.6179368101526,0.031555499881505966,0.13147750031203032,161.63473960012197,162.63478100020438,162.81804849999025,163.3182001002133,10.01476200018078,170.71795780025423,0.0011509000323712826,170.71795780025423,0.09818470012396574,5.0,3.0312549001537263,173.78472910029814,0.00392239959910512,0.09731409978121519,179.80140320025384,179.96809771019034,6.213726699817926,6.2971895998343825,180.9845536001958,199.96804401013068,199.96812239987776,26.21401260001585,26.33060309989378,200.98479200014845,202.96812750026584,202.96812750026584,0.014104999601840973,0.11402309965342283,232.98482119990513,30.030720699578524,6.0993382995948195,10.098117100074887,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,233.1016039000824,0.014626899734139442,0.11401789961382747,239.10150420013815,6.014063899405301,239.2015137001872,239.2015137001872,0.014206699561327696,0.11400679964572191,space,14.120511699933559,253.36816269997507,253.36816269997507,4.4300220906734467e-05,0.09804360009729862,num_9,1.0094915996305645,254.43479690994135,0.002337400335818529,0.09811610030010343,254.73479880020022,255.2183094100561,255.53484900016338,256.01796770994554,256.33484920021147,256.4182041999884,264.4181900001131,264.4181900001131,264.4181569098961,0.014814000111073256,0.1147723002359271,265.43484220001847,266.4348432999104,266.6180489999242,267.1348397000693,10.0146883004345,274.53474549995735,0.0007063001394271851,274.53474549995735,0.09799659997224808,5.0,21.365051900036633,295.934963000007,0.0017093000933527946,0.09940169984474778,301.9180995002389,302.1181700100657,6.215910099912435,6.315995099954307,303.1348823001608,322.10148940994407,322.1015780000016,26.19931760011241,26.299356800038368,,325.1183648998849,325.1183648998849,0.01614349987357855,0.11594289960339665,355.11828819988295,30.016021399758756,,10.097991600167006,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,355.25164330005646,0.01615059981122613,0.1161232995800674,361.2682659002021,5.999298799782991,361.3349402002059,361.3349402002059,0.00013289973139762878,0.09932099934667349,space,1.2508635995909572,362.63491850020364,362.63491850020364,1.5200115740299225e-05,0.09965519979596138,num_9,1.5988957001827657,364.26819871007467,0.002121299970895052,0.09788399981334805,364.5849298001267,365.0516581099015,365.35156630026177,365.8515542099718,366.15152510022745,366.23491280013695,374.2515853000805,374.2515853000805,374.2515741099138,0.014480999670922756,0.11445340001955628,375.2515287999995,376.2515858002007,376.451618200168,376.9682487002574,10.014391699805856,384.38483850006014,0.017302399966865778,384.38483850006014,0.11444899998605251,5.0,1.9648562003858387,386.38519280031323,0.0016071000136435032,0.09928860003128648,392.401608500164,392.568183710007,6.215870900079608,6.315856400411576,393.5850134999491,412.55153131033296,412.55185340018943,26.19953600037843,26.299124100245535,413.5514718000777,415.5682512000203,415.5682512000203,0.0158227002248168,0.09923710022121668,445.5849514002912,29.99920539977029,6.099286399781704,,30.09899610001594,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,445.68533529993147,-0.00038560014218091965,0.09972169995307922,451.7016145000234,6.0158625999465585,451.80184940015897,451.80184940015897,0.01599899958819151,0.1158853997476399,space,0.9919517999514937,452.83493910031393,452.83493910031393,5.149981006979942e-05,0.09779659984633327,num_9,1.5915210996754467,454.4848799101543,0.002290199976414442,0.09786369977518916,454.78490190021694,455.268069009902,455.5849759001285,456.0847673100885,456.38494230015203,456.4682685001753,464.46826100023463,464.46826100023463,464.46824690992946,0.014570999890565872,0.11456389958038926,465.4849674999714,466.48495549988,466.6515639000572,467.15163270011544,10.014373199548572,474.6015015998855,0.017342399805784225,474.6015015998855,0.11449269950389862,4.0,1.2646717000752687,475.90185960009694,0.002672799862921238,0.09801570000126958,481.9184590000659,482.0847534100991,6.214375899638981,6.2978852996602654,483.1015174998902,502.08482621018777,502.0850670998916,26.214737500064075,26.314200999680907,503.10154360020533,505.08489160006866,505.08489160006866,0.01456479961052537,0.11453559948131442,535.0848941998556,30.014544299803674,,,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.2182307001203,0.014814199414104223,0.11449499940499663,565.2182927001268,30.014506199397147,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,565.3181767999195,0.01684189960360527,0.11445539956912398,571.3181648002937,6.014630699530244,571.4182106000371,571.4182106000371,0.014410199597477913,0.11443919921293855,space,17.535634400323033,589.001501200255,589.001501200255,3.1599774956703186e-05,0.09956200001761317,num_9,3.696330700069666,592.7514680099208,0.0022168001160025597,0.09796749986708164,593.0514128999785,593.5347421100829,593.834721900057,594.3347584099043,594.6348164002411,594.734848999884,602.7347985999659,602.7347985999659,602.734743110044,0.014606200158596039,0.11455330019816756,603.7347866999917,604.7347842999734,604.9179962999187,605.4348452999257,10.010875800158828,612.8310136999935,0.01077269995585084,612.8310136999935,0.11439590016379952,5.0,11.885944599751383,624.7683566999622,0.0023658000864088535,0.0979649000801146,630.7848804001696,630.951310410304,6.214622099883854,6.314609500113875,631.951385000255,650.947684110282,650.9310524999164,26.21077729994431,26.294162400066853,,653.9514275002293,653.9514275002293,0.014604599680751562,0.1145336995832622,683.9513588999398,30.014578099828213,,10.094149800017476,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,684.0847113998607,0.015213899780064821,0.11452449951320887,690.0846962002106,6.0144640994258225,690.1849082000554,690.1849082000554,0.014710999559611082,0.11451839935034513,space,3.7931725000962615,694.0180484000593,694.0180484000593,4.2100436985492706e-05,0.09799340041354299,num_9,2.7761230999603868,696.8513121103402,0.001930400263518095,0.09815260022878647,697.1513714999892,697.6345834100154,697.9347268999554,698.4345500102733,698.734674999956,698.8346915999427,706.8513279999606,706.8513279999606,706.8512682101224,0.001596200279891491,0.09837310016155243,,708.8679785998538,709.0347541999072,709.5346797001548,10.014679100364447,716.95123529993,0.0011927001178264618,716.95123529993,0.0980281000956893,5.0,6.665026399772614,723.6513721998781,0.001545500010251999,0.09937869990244508,729.6680226000026,729.8345751102548,6.216031699907035,6.316010000184178,730.8346375999972,749.8345818101894,749.8346198000945,26.21600819984451,26.315996900200844,750.8346033999696,752.8346275999211,752.8346275999211,0.016038499772548676,0.11600189981982112,782.8345929998904,30.015976899769157,,10.098057300318033,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,782.9679836998694,0.01664699986577034,0.11594809964299202,788.9845667001791,5.999303199816495,789.0512802000158,789.0512802000158,1.5599653124809265e-05,0.09934059949591756,space,1.9347356003709137,791.0512589002028,791.0512589002028,4.3600331991910934e-05,0.09821900026872754,num_9,1.5829884000122547,792.6846176103223,0.0020704995840787888,0.09808149980381131,792.9846997000277,793.4676771100145,793.7847047001123,794.2847840102855,794.5844379002228,794.6679301001132,802.6846222998574,802.6846222998574,802.6845456102398,0.00146949989721179,0.09805709961801767,803.701175800059,804.7012466001324,804.8680166001432,805.3680675001815,10.014618099667132,812.7845390001312,0.000995599664747715,812.7845390001312,0.09799309959635139,5.0,2.598059699870646,815.4181178999133,0.0015348000451922417,0.09939640015363693,821.4178683999926,821.5844347101171,6.199321300256997,6.299480100162327,822.5845487001352,841.584372510342,841.5845360001549,26.199439800344408,26.29930720012635,842.5845590000972,844.6011609002016,844.6011609002016,0.016026100143790245,0.11600189981982112,874.6011287001893,30.01597459986806,6.099237899761647,10.097948899958283,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,874.7344670002349,0.01671479968354106,0.11595949996262789,880.7344893999398,6.016082699876279,880.8344943001866,880.8344943001866,0.016089499928057194,0.11595649970695376,space,14.967519199941307,895.8511491999961,895.8511491999961,4.540011286735535e-05,0.09808470029383898,num_9,1.7111531998962164,897.6010588101577,0.0018754000775516033,0.0978569001890719,897.90104670031,898.384292809898,898.684335900005,899.1843103101943,899.4844181002118,899.5844372999854,907.5844552000053,907.5844552000053,907.5843280098867,0.014634400140494108,0.11449109995737672,908.601069000084,909.6010703002103,909.7844194001518,910.2676033000462,10.014441499952227,917.7010588999838,0.0008005998097360134,917.7010588999838,0.09775379998609424,5.0,3.698185299988836,921.4346469999291,0.0015112999826669693,0.09956730017438531,927.4343793001026,927.6176534100902,6.215860700234771,6.315917300060391,928.6343779000454,947.6175832102541,947.6176768001169,26.215894100256264,26.31603919994086,948.6343787000515,950.6177369002253,950.6177369002253,0.015966699924319983,0.11632320005446672,980.6176431002095,30.015879000071436,,10.09779669996351,,,,,,,680,Gustatory,2024-11-14_18h45.59.550,Gustatory_Condition_v2,2022.2.5,29.998284099052853,
