Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_1.stopped,taste_sound_2.stopped,taste_sound_3.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,36.578237449983135,0.0005537001416087151,0.10684419982135296,36.84493019990623,37.07813461027108,37.344733600039035,37.57824571006931,37.84094109991565,0.007389400154352188,0.12354720011353493,52.861258199904114,15.023491099942476,52.96133150020614,0.00768589973449707,0.12347739981487393,6.003275299910456,58.96131490031257,59.044675699900836,59.044675699900836,0.006886899936944246,0.12361179990693927,space,11.705631200224161,70.79465930024162,70.79465930024162,1.619989052414894e-05,0.12521599978208542,num_9,2.4997693998739123,73.3112193103414,0.0006641997024416924,0.12910989997908473,74.09455871018581,74.89455101029016,75.29454800020903,83.30762090021744,83.30762090021744,83.29472941015847,0.01237199967727065,0.11237509967759252,84.31163810007274,85.31143600028008,85.50752450013533,86.00759740034118,9.999240399803966,10.09909089980647,93.42805360024795,-3.620004281401634e-05,93.42805360024795,0.13257469981908798,2.0,9.350421099923551,102.81119430018589,0.002046199981123209,0.11475529987365007,108.82423910032958,108.99474091031588,6.21480070007965,6.314836000092328,128.99082651031205,128.9907638002187,26.210981199983507,26.314643300138414,130.00746300024912,131.99084330024198,131.99084330024198,0.011092799715697765,0.13133609993383288,161.99436839995906,30.014593499712646,,,,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,162.11102250032127,0.015045899897813797,0.11457569990307093,6.014571699779481,168.10737580014393,168.20758080016822,168.20758080016822,0.011013599578291178,0.11463679978623986,space,6.878996799699962,175.11100290017202,175.11100290017202,1.3400334864854813e-05,0.09953400027006865,num_9,3.784004700370133,178.92484650989064,0.0006852000951766968,0.10225230036303401,179.71098831011915,180.51117451018655,180.92436830000952,,188.92767270002514,188.9276323099155,0.002968600019812584,0.10237860027700663,189.94450310012326,190.9277086001821,191.12407510029152,191.62761310022324,10.002317700069398,,199.04069770034403,0.003354900050908327,199.04069770034403,0.11525100003927946,4.0,5.066711199935526,204.14440590003505,0.0011257999576628208,0.11573390010744333,210.15725840022787,210.3276623100508,6.215535999741405,6.315517999697477,230.32393980999478,230.32407910004258,26.21202090010047,26.315536099951714,,233.32410890003666,233.32410890003666,0.012092799879610538,0.11543279979377985,263.36098199989647,30.015660099685192,179.24445930030197,180.0276933000423,180.8241270002909,211.34424880007282,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,263.4609880000353,0.016365999821573496,0.14919849950820208,6.032299499493092,269.4776173001155,269.5776452003047,269.5776452003047,0.03242509951815009,0.16558329947292805,space,4.14910089969635,273.76094770012423,273.76094770012423,4.310021176934242e-05,0.13130069989711046,num_9,1.358556400053203,275.16097861011514,0.0025800997391343117,0.11488540004938841,275.9776516099926,276.7609228100162,277.17757999990135,,285.2109130001627,285.1942543102894,0.034623699728399515,0.1646997998468578,,287.24424430029467,287.3775653000921,287.91091539990157,10.014623699709773,,295.2940775998868,0.016472899820655584,295.2940775998868,0.14820259995758533,5.0,7.2993228998966515,302.6278317999095,0.003464799840003252,0.13092469982802868,308.64433920010924,308.8274745102506,6.214181799907237,6.347568599972874,328.8106716102455,328.8273591003381,26.230751200113446,26.364090099930763,,,331.8440515003167,0.015888699796050787,0.14744019974023104,361.86053870012984,30.030623599886894,,,277.0778395002708,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,361.96042830031365,0.03129219962283969,0.1639700997620821,6.013959899544716,367.97725690016523,368.02707900013775,368.02707900013775,0.013815699610859156,0.13061429979279637,space,1.6677140998654068,369.7606130000204,369.7606130000204,4.0499959141016006e-05,0.13154849968850613,num_9,1.4697855999693274,371.26060511027464,0.0019370000809431076,0.13156720018014312,372.0770619101357,372.86044231005945,373.2772290003486,,381.29383350024,381.27721551009455,0.016993900295346975,0.14806170016527176,382.29377980018035,383.3105446998961,383.47721299994737,384.0104825999588,10.031257300172001,,391.4103900003247,0.03421050030738115,391.4103900003247,0.16466790018603206,3.0,6.7646079999394715,398.2108249999583,0.003012700006365776,0.1312861000187695,404.2270518001169,404.4106601099018,6.214713500346988,6.3478218000382185,424.3936405102257,424.41032900009304,26.23111450020224,26.364419999998063,,,427.44365790020674,0.03272269992157817,0.16443820018321276,457.47684459993616,30.0309386998415,371.5771520002745,372.39379430003464,373.17730200011283,405.4270240999758,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,457.5268419003114,0.014912900049239397,0.14764670003205538,6.014451399911195,463.5601637000218,463.6268060998991,463.6268060998991,0.014649299904704094,0.14755359990522265,space,3.8755028997547925,467.54347950033844,467.54347950033844,3.4500379115343094e-05,0.13149020029231906,num_9,2.823210900183767,470.41016521020794,0.0025735003873705864,0.13144110003486276,471.21011281008833,472.0100088100415,472.42679820023477,,480.4602613002062,480.44347281004303,0.03402890032157302,0.16471830010414124,,482.47673129988834,482.64355259994045,483.17670969991013,10.031372800003737,,490.559939800296,0.034145799931138754,490.559939800296,0.16460360027849674,4.0,3.465147400274873,494.0600486001931,0.003701400011777878,0.13096179999411106,500.07665740000084,500.2600509100128,6.21428559999913,6.347540399990976,520.2431619101669,520.2599240001291,26.23085629986599,26.364143599756062,,,523.2931984001771,0.032002999912947416,0.1642337995581329,553.3097696001641,30.014105499722064,470.7267440003343,471.5266515999101,472.3268037000671,501.2765647000633,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.3764464999549,0.014284299686551094,0.14734979951754212,583.3929324001074,30.03050829982385,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,583.4929365999997,0.03235509945079684,0.1638245997019112,6.013818799518049,589.5096007999964,589.5762555999681,589.5762555999681,0.013875299599021673,0.14718939922749996,space,2.6301963003352284,592.2596370000392,592.2596370000392,2.3700296878814697e-05,0.13203389989212155,num_9,2.170608500018716,594.4596281102392,0.0020210002548992634,0.13085000030696392,595.276233710302,596.0594278103206,596.4929050002247,,604.4928815001622,604.4762268103193,0.01690339995548129,0.147543600294739,605.4927861001343,606.5261913002469,606.6928523001261,607.2261991999112,10.014183700084686,,614.5926804002374,0.01705070026218891,614.5926804002374,0.14742140006273985,3.0,3.3980039996095,618.0261315000243,0.0018174001015722752,0.13185140024870634,624.0259060999379,624.2093995101284,6.231827600393444,6.348185300361365,644.2093071098905,644.2261610999703,26.231900200247765,26.36505820043385,645.2259772000834,,647.2593598999083,0.03344229981303215,0.16501029999926686,677.2758657000959,30.01496470021084,594.7762351003475,595.5928561999463,,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,677.3425305001438,0.015637599863111973,0.14830469992011786,6.014884099829942,683.3758204001933,683.4424823001027,683.4424823001027,0.014961499720811844,0.14820019993931055,space,3.5646424000151455,687.0426202001981,687.0426202001981,3.310013562440872e-05,0.13116900017485023,num_9,1.4038092996925116,688.4757126098964,0.000754999928176403,0.13292929995805025,689.2591100101824,690.0591406099963,690.4756720000878,,698.5090827001259,698.4924396099057,0.019169900100678205,0.14965440006926656,,700.5424616001546,700.6590033001266,701.1757752001286,10.016359400004148,,708.6090186000802,0.018985699862241745,708.6090186000802,0.14937009988352656,5.0,2.431572699919343,711.0760503001511,0.00203000009059906,0.1318683000281453,717.1090084002353,717.2590462099295,6.231767600402236,6.365112700033933,737.2552532101515,737.2551770000719,26.211275700014085,26.31505440035835,,,740.2921605999582,0.015421799849718809,0.14848450012505054,770.325454399921,30.01486699981615,688.7923830002546,689.5757848001085,690.3757802001201,718.2757219001651,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,770.3920984999277,0.015478899702429771,0.14825129974633455,6.0146065996959805,776.3919601999223,776.5087367999367,776.5087367999367,0.031716699711978436,0.16484449990093708,space,2.034322699997574,778.6089019002393,778.6089019002393,8.150003850460052e-05,0.13155439961701632,num_9,1.5657065999694169,780.2087814099621,0.0025782999582588673,0.131426100153476,781.0086585101205,781.8085876102093,782.2420423002914,,790.2586886999197,790.2420376101043,0.03391310013830662,0.1646603001281619,,792.2753357999027,792.4422289002687,792.9753646999598,10.03120640013367,,800.3585757003166,0.033730399794876575,800.3585757003166,0.16458059987053275,4.0,4.631760099902749,805.0253642001189,0.0024017002433538437,0.1312720002606511,811.0419593001716,811.2086001103278,6.231151000130922,6.36450960021466,831.2083985101897,831.2251846999861,26.231151500251144,26.364439399912953,832.2251070002094,,834.241802399978,0.016088599804788828,0.14774189982563257,864.2584000001661,30.03093189978972,780.5253878999501,781.3252606000751,,812.2252123001963,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,864.3417452001013,0.014751899987459183,0.14759969990700483,6.030917000025511,870.3582768002525,870.4416569001041,870.4416569001041,0.014482999686151743,0.14754889952018857,space,3.060901500284672,873.5416431999765,873.5416431999765,3.7800054997205734e-05,0.13167210016399622,num_9,1.1289054998196661,874.691632709885,0.0019310996867716312,0.1314109000377357,875.4914563102182,876.3083733100909,876.7082813000306,,884.7416618000716,884.7249227100517,0.03388369968160987,0.14820409985259175,,886.7748859999701,886.9248814000748,887.4582548001781,10.014487399719656,,894.8247295003384,0.017557099927216768,894.8247295003384,0.14782699989154935,5.0,3.4649503002874553,898.3249709000811,0.0022550998255610466,0.13154800003394485,904.3581640999764,904.5082914102356,6.231351200025529,6.364773499779403,924.5079916100483,924.5247484003194,26.23128419974819,26.364738199859858,925.5248354002833,,927.5581380003132,0.0329093998298049,0.16457289969548583,957.5747378002852,30.01441579964012,,,,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
