loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,p_port_8.stopped,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.114222499076277,0.0008537000976502895,0.10677020018920302,12.430192700121552,12.713373619876801,13.030142500065267,13.313423319999128,13.630399500019848,13.91336532011628,14.246835600119084,14.246835600119084,0.00447099981829524,0.1069696000777185,29.2635786999017,15.02361229993403,29.34683409985155,0.007058499846607447,0.10690370015799999,29.81346149975434,space,1.767144000157714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,31.630032000131905,0.0005302000790834427,0.09899850003421307,37.63013690011576,6.032336100004613,37.86338039999828,37.86338039999828,0.10296760033816099,0.23232350032776594,5.999164500273764,6.098968700040132,43.96346809994429,43.96346809994429,43.96346809994429,0.09613069985061884,0.23227440007030964,49.66320930002257,49.829886599909514,6.031989300157875,6.132022799924016,55.83006720012054,12.032260400243104,55.963474799878895,55.963474799878895,0.03260979987680912,0.1322364998050034,up,1.360429999884218,57.363394299987704,3.239978104829788e-05,0.09837300004437566,63.38004609989002,63.38004609989002,63.38004609989002,0.010347299743443727,0.11512399977073073,3.0,14.572366499807686,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.99701160006225,77.99701160006225,0.01155739976093173,0.11583089968189597,2.0,7.838603400159627,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.86341460002586,85.86341460002586,0.008705500047653913,0.09915929986163974,3.0,6.491363400127739,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3967455001548,92.3967455001548,0.010260399896651506,0.09760170010849833,1.0,2.7883937996812165,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.24703519977629,95.24703519977629,0.011473599821329117,0.11593399988487363,2.0,2.638652900233865,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.93017529975623,97.93017529975623,0.010096699930727482,0.11437210021540523,5.0,2.2385716997087,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.21342250006273,100.21342250006273,0.011947699822485447,0.11447690008208156,2.0,5.203764799982309,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.44656990002841,105.44656990002841,0.000739899929612875,0.09927199967205524,7.0,12.60004370007664,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,118.07996030012146,0.00013959966599941254,0.09915449982509017,124.09662610013038,6.015687299892306,124.31356439972296,124.31356439972296,0.12706609955057502,0.23246619990095496,5.9990536998957396,6.099164199549705,130.38010319974273,130.38010319974273,130.38010319974273,0.09193329978734255,0.19923129957169294,136.07997389975935,136.27993590012193,5.999026299454272,6.099132899660617,142.27994709974155,11.999011399690062,142.3798867999576,142.3798867999576,-4.3400563299655914e-05,0.09922809945419431,up,1.0554867004975677,143.48011679993942,5.159992724657059e-05,0.09766239998862147,149.48013689974323,149.48013689974323,149.48013689974323,0.008817699737846851,0.09757929993793368,2.0,3.8900381000712514,,,,,,,142.3798867999576,142.3798867999576,12.099009999539703,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.43005889980122,153.43005889980122,0.0079797999933362,0.11397349974140525,3.0,2.3739936999045312,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.82977299997583,155.82977299997583,0.0071991002187132835,0.0992292002774775,5.0,4.359738800209016,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
