Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.76743290061131,0.000515500083565712,0.0884298998862505,17.030669700354338,17.264290780387817,17.513843399938196,17.74760738024488,18.03061809996143,0.007097200024873018,0.10515329986810684,33.04731470020488,15.021830999758095,33.147319100331515,0.024476699996739626,0.12183349998667836,6.005129899829626,39.164052800275385,39.230658899992704,39.230658899992704,0.005314199719578028,0.10516459960490465,space,6.0773943001404405,45.364135400392115,45.364135400392115,4.9800146371126175e-05,0.09743950003758073,num_9,1.815566100180149,47.230757280346005,0.002338800113648176,0.09779440006241202,47.54744080035016,48.03073367998004,48.347468700259924,48.83069138005376,49.13043610006571,49.197140800300986,57.19731210032478,57.230635500047356,57.230694480333476,0.031063899863511324,0.1310201999731362,58.23066100012511,59.24734410038218,59.41407090006396,59.9139787000604,10.014314299914986,10.09761459985748,67.33057660004124,0.0012619998306035995,67.33057660004124,0.09757829969748855,3.0,7.914169399999082,75.2809771001339,0.001565299928188324,0.0993021996691823,81.28074610000476,81.4638719801791,6.215088399592787,6.3152878996916115,82.46383320027962,101.48073428040371,101.48058420000598,26.231935399584472,26.331961899995804,102.48116770014167,104.49726610025391,0.01599799981340766,0.11525329947471619,134.49712060019374,30.031676499638706,,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,134.59725700039417,0.015842399559915066,0.1152188996784389,6.015584199689329,140.59723870037124,140.69723980035633,140.69723980035633,0.01528169959783554,0.11507939919829369,space,4.642404600046575,145.38060240028426,145.38060240028426,3.5099685192108154e-05,0.09791799960657954,num_9,2.391375800129026,147.81399248037488,0.0024870000779628754,0.09772869991138577,148.13056300021708,148.59720407994465,,149.41395318005235,149.73058600025252,149.79724550014362,157.7973530003801,157.7973530003801,157.79731218013913,0.014553300105035305,0.11438099993392825,,159.81388800032437,159.99724730011076,160.49713080003858,10.014278599992394,10.097614199854434,167.9138629999943,0.0005020000971853733,167.9138629999943,0.11066900007426739,5.0,4.0813158000819385,172.03051239997149,0.0010603000409901142,0.09897870011627674,178.0472003002651,178.21392408022658,6.215919400099665,6.315871899947524,179.2305581001565,198.1971980799921,198.19720040028915,26.19927560025826,26.299219999928027,199.19718120014295,201.2138868002221,0.015983100049197674,0.1158958999440074,231.23050560010597,29.999157099984586,201.2138868002221,30.099154599942267,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,231.33046890003607,0.0007557999342679977,0.09924149978905916,6.015924999956042,237.34726470010355,237.4471451002173,237.4471451002173,0.01617239974439144,0.11582949990406632,space,1.540148800238967,239.04732919996604,239.04732919996604,4.279986023902893e-05,0.09803090011700988,num_9,2.532084499951452,241.61388497995213,0.002208299934864044,0.09791339980438352,241.91362960031256,242.39715617997572,242.6971126003191,243.19730248032138,243.4969332003966,243.59710360039026,251.61381850019097,251.61381850019097,251.61383128035814,0.0012415996752679348,0.09784639999270439,252.63045370019972,253.61391810001805,253.78041080012918,254.26380520034581,10.014517599716783,,261.7303889002651,0.017187699675559998,261.7303889002651,0.11453649960458279,3.0,4.0315602999180555,265.7971959002316,0.003396599553525448,0.09801859967410564,271.7971041002311,271.9971208801493,6.231524999719113,6.331429299898446,272.9970884001814,291.9804474800825,291.980428900104,26.214767099823803,26.31465349998325,292.98035460012034,294.99706359999254,0.00036399951204657555,0.09795739967375994,324.9969810000621,30.03132619941607,294.99706359999254,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,325.13034010026604,0.03207299951463938,0.1312630996108055,6.031313399318606,331.13030890002847,331.2136431001127,331.2136431001127,0.014698199462145567,0.11470739962533116,space,1.5664626001380384,332.8136830003932,332.8136830003932,5.3800176829099655e-05,0.09753600042313337,num_9,2.605473500210792,335.48038018038494,0.002217399887740612,0.09797490015625954,335.79692200012505,336.28035588013006,336.5802907999605,337.0636273800395,337.3803346003406,337.48031060025096,,345.49694780027494,345.4970245799981,0.017157699912786484,0.11460949992761016,346.49690040014684,347.4969273000024,347.66362900007516,348.16341040004045,10.01434320025146,10.09802190028131,355.58017070032656,0.0011356999166309834,355.58017070032656,0.09771709982305765,4.0,3.3645748998969793,358.98047180008143,0.00157919991761446,0.09936259966343641,364.96340750018135,365.1468369803391,6.199135299772024,6.299668499734253,,385.14685598025096,385.14686969993636,26.19931839965284,26.299254599958658,386.14682870032266,388.1635410003364,0.016010699793696404,0.11589349946007133,418.1636300003156,30.016063099727035,388.1635410003364,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,418.2968177003786,0.01656049955636263,0.11584859946742654,6.015950999688357,424.29675670014694,424.3967631999403,424.3967631999403,0.015954099595546722,0.1159091992303729,space,1.0865894998423755,425.530281400308,425.530281400308,5.179969593882561e-05,0.09801309974864125,num_9,1.169050700031221,426.7469914803281,0.0024526999332010746,0.09780299989506602,427.04675660002977,427.5300405799411,427.8467282000929,428.34680248014627,428.6467246999964,428.7301822002046,436.73013340029866,436.73013340029866,436.7300966802053,0.014501799829304218,0.11439889995381236,437.7300857999362,438.73005730006844,438.9300835002214,439.44671729998663,10.014099200256169,10.097923900000751,446.8465377003886,0.0013008997775614262,446.8465377003886,0.09778299974277616,5.0,3.36392919998616,450.2469963999465,0.0015507000498473644,0.09922820003703237,456.26335750008,456.43004958014933,6.215872700326145,6.315893500111997,457.44666270026937,476.4133466799743,476.41332870023325,26.199231600388885,26.299136200454086,477.42995680030435,479.41330850031227,-0.0007696999236941338,0.0991266998462379,509.42987390002236,30.015760600101203,479.41330850031227,30.098967200145125,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.54652980016544,-0.0001742001622915268,0.09901920007541776,539.5631303000264,30.015602899715304,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,539.6631496003829,0.017421599943190813,0.11568249994888902,6.015649099834263,545.6630804999731,545.763105600141,545.763105600141,0.015822699759155512,0.1156322997994721,space,1.6247844002209604,547.4297587000765,547.4297587000765,7.229996845126152e-05,0.09780059987679124,num_9,3.0457676998339593,550.5297976803034,0.002171000000089407,0.09759269980713725,550.8298426000401,551.3131089802831,551.6297855000012,552.1130481800996,552.4297116999514,552.5298582999967,,560.5464000003412,560.5465572803281,0.017112200148403645,0.11423509987071157,,562.5630503003486,562.712923000101,563.229801400099,10.01436229981482,,570.6462432001717,0.017371099907904863,570.6462432001717,0.11418789997696877,3.0,4.59786090021953,575.2803102000616,0.002795599866658449,0.09724869998171926,581.2796610002406,581.4630840803496,6.213661599904299,6.297053100075573,582.4796222001314,601.4629383800551,601.4629277000204,26.21383950021118,26.313621299806982,602.4796101003885,604.4795775003731,-0.0002529001794755459,0.09709119983017445,634.4961307002231,30.013652499765158,604.4795775003731,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,634.5961855002679,0.014390899799764156,0.11366589972749352,6.013643599580973,640.5961155002005,640.6961006000638,640.6961006000638,0.013761699665337801,0.11369669949635863,space,1.93921949993819,642.6963301002979,642.6963301002979,4.699965938925743e-05,0.0980967995710671,num_9,1.1707529998384416,643.9295223803259,0.0020143999718129635,0.0982854999601841,644.2294759000652,644.7130192803219,645.029387100134,645.5127038802951,645.8293693000451,645.9127703001723,653.9126944001764,653.9126944001764,653.9128185800276,0.014823799952864647,0.09823859995231032,654.9294338002801,655.8959461003542,656.1127530001104,656.6127575002611,10.01476819999516,10.098207700066268,664.0292720003054,0.0016770996153354645,664.0292720003054,0.0981840998865664,4.0,1.1976330000907183,665.2629761002026,0.0020537995733320713,0.09799509961158037,671.2458979003131,671.4460634799674,6.214403299614787,6.31462959991768,,691.4459116799757,691.445953800343,26.214396599680185,26.31059639994055,,694.4626162000932,3.3997930586338043e-06,0.09784409962594509,724.4791566003114,30.014414199627936,694.4626162000932,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,724.5791959003545,0.014709699433296919,0.11424829950556159,6.030919099692255,730.5957917002961,730.6959506999701,730.6959506999701,0.031041899230331182,0.1309296996332705,space,1.731170800048858,732.4792221002281,732.4792221002281,4.190020263195038e-05,0.09802990034222603,num_9,1.3092318996787071,733.8458663803525,0.002459299750626087,0.09799099992960691,734.1457806001417,734.6459355802275,734.9457185002975,735.429157480225,735.7290358003229,735.8293425003067,743.8293078001589,743.8293078001589,743.828949479945,0.014956299681216478,0.11468299990519881,744.829224199988,745.8124454999343,746.0291257002391,746.5290799001232,10.014909099787474,,753.9793183002621,0.034321199636906385,753.9793183002621,0.13138459995388985,3.0,3.097883999813348,757.1126427003182,0.003077399916946888,0.09734279988333583,763.1290442999452,763.2957060803659,6.214035599958152,6.31404050020501,764.2956493999809,783.2956629801541,783.2956202002242,26.213961800094694,26.313945699948817,784.3123425003141,786.3122589001432,-5.140015855431557e-05,0.09729079995304346,816.2954856003635,30.013812799938023,786.3122589001432,30.097003299742937,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,816.4122287002392,0.030608399771153927,0.1305065997876227,6.01378189958632,822.3954035001807,822.5122144999914,822.5122144999914,0.031134999822825193,0.13048869976773858,space,1.7078322996385396,824.2788436999545,824.2788436999545,4.5000109821558e-05,0.09792309999465942,num_9,0.9166126996278763,825.2455870803445,0.002261399757117033,0.09818179998546839,825.5454013003036,826.0288936804048,826.3289602999575,826.8287524800747,827.1287718000822,827.2121111000888,835.2121383999474,835.2454463001341,835.2455207799561,0.03137119999155402,0.13133180001750588,,837.2622299003415,837.428779900074,837.9119774000719,10.031307299621403,,845.3787524001673,0.034247299656271935,845.3787524001673,0.13109499961137772,5.0,2.6314016999676824,848.0457476000302,0.002969900146126747,0.09769750013947487,854.0453780000098,854.2454534802586,6.231177000328898,6.330939100123942,,874.2453506799415,874.2452986999415,26.23099200008437,26.33090230030939,,877.2620136002079,0.016025600023567677,0.11425059987232089,907.2785456003621,30.0307629997842,,,,,,,,6.097043799702078,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
