loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.145497039426118,0.0008656000718474388,0.11659190012142062,18.46240619989112,18.712350479792804,19.01230249973014,19.329045679885894,19.645921799819916,19.912358379922807,20.24564869981259,0.0026477999053895473,0.10003309976309538,35.24573879968375,15.000019299797714,35.3457185998559,0.00018399953842163086,0.10012219985947013,35.81239689979702,space,9.361552900169045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,45.22905460000038,0.017291299998760223,0.11496959999203682,51.22907130001113,6.014973999932408,51.545708399731666,51.545708399731666,0.19607080006971955,0.3320297999307513,6.03161760000512,57.54571929993108,57.54571929993108,57.54571929993108,0.09583280002698302,0.23160179983824492,63.245455499738455,63.41236720001325,6.031715900171548,6.131611099932343,69.41236720001325,12.031621300149709,69.54569040006027,69.54569040006027,0.03190260007977486,0.13155769975855947,down,2.0281974002718925,71.61237879982218,4.8199668526649475e-05,0.09589549992233515,77.62950229970738,77.62950229970738,77.62950229970738,0.014920099638402462,0.1123454999178648,1.0,5.332252100110054,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.01250940002501,83.01250940002501,0.010970900300890207,0.11410280037671328,4.0,3.9042027997784317,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.96266099996865,86.96266099996865,0.01147699961438775,0.11409519985318184,1.0,2.7037969999946654,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.69575059972703,89.69575059972703,0.010039899963885546,0.09778769966214895,1.0,1.9554085000418127,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6956269997172,91.6956269997172,0.01017000013962388,0.09764009993523359,1.0,1.5217033000662923,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.26229419978335,93.26229419978335,0.007664000149816275,0.09915899997577071,1.0,1.0259684999473393,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.32903439970687,94.32903439970687,0.008670900017023087,0.0993278999812901,1.0,0.7583307004533708,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.12923120008782,95.12923120008782,0.0007744999602437019,0.09921739995479584,4.0,6.066268800292164,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,101.2293214998208,0.00028689997270703316,0.0977859003469348,107.22910219989717,6.031048899982125,107.47905649989843,107.47905649989843,0.14223150024190545,0.24822410009801388,6.014333100058138,113.52925999974832,113.52925999974832,113.52925999974832,0.09003240009769797,0.19795179972425103,119.22907239990309,119.42906039999798,6.031024899799377,6.130957799963653,125.42908609984443,12.031062699854374,125.56242589978501,125.56242589978501,0.03133299993351102,0.13100839965045452,down,1.803175600245595,127.41244219988585,4.2300205677747726e-05,0.0978081002831459,133.41270889993757,133.41270889993757,133.41270889993757,0.009222500026226044,0.09737540036439896,1.0,3.555986300110817,,,,,,,125.52919670008123,125.52919670008123,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.01241560000926,137.01241560000926,0.006981199607253075,0.09809019975364208,1.0,1.4590622000396252,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.5124035999179,138.5124035999179,0.006942899897694588,0.09830600023269653,1.0,1.4254796002060175,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.9791739997454,139.9791739997454,0.00681010028347373,0.09916450036689639,1.0,1.7933343001641333,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.81240249983966,141.81240249983966,0.0072592999786138535,0.09791040001437068,1.0,0.8584181000478566,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.71233499981463,142.71233499981463,0.007416199892759323,0.09797709994018078,4.0,2.8248380003497005,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.57899949979037,145.57899949979037,0.007631499785929918,0.09771530004218221,1.0,1.7577665001153946,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.37907079979777,147.37907079979777,0.000725800171494484,0.09921659994870424,4.0,5.19971329998225,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,152.61248679971322,0.0003933999687433243,0.09782749973237514,158.59559859987348,6.0140247996896505,158.89579209964722,158.89579209964722,0.16174499969929457,0.28086249995976686,6.014274399727583,164.91234889999032,164.91234889999032,164.91234889999032,0.10234579956158996,0.1975813996978104,170.6124914996326,170.81243290007114,6.030955899506807,6.1309170997701585,176.81249050004408,12.03107909951359,176.9457946997136,176.9457946997136,0.03110979963093996,0.13105229940265417,up,1.363790700212121,178.34585159970447,5.159992724657059e-05,0.097424800042063,184.362414999865,184.362414999865,184.362414999865,0.009846500121057034,0.11414390010759234,1.0,2.505788099952042,,,,,,,176.9124373998493,176.9124373998493,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.91253129998222,186.91253129998222,0.010056400205940008,0.11452710023149848,4.0,2.7721043997444212,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.71240289974958,189.71240289974958,0.007009000051766634,0.09912419971078634,1.0,1.6932455003261566,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.44582160003483,191.44582160003483,0.00674330024048686,0.09895560005679727,1.0,1.826976400334388,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.31239249976352,193.31239249976352,0.00691380025818944,0.09912300016731024,1.0,1.926633999682963,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.27917389990762,195.27917389990762,0.00736460043117404,0.09764020005241036,1.0,1.991186199709773,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.31252279970795,197.31252279970795,0.006009299773722887,0.09878259990364313,1.0,0.827165599912405,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.17912589991465,198.17912589991465,0.0007345997728407383,0.09913259977474809,4.0,3.499543299898505,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
