loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.359088979568332,0.0006398996338248253,0.09807850001379848,16.056299460167065,16.473078900016844,16.473078900016844,-0.0008689002133905888,0.09829569980502129,31.47285100026056,15.031548499595374,31.589526699855924,31.589526699855924,0.014980399515479803,0.11485299980267882,space,3.911813299637288,,,,,,,,,,,,,,,,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
0,0,0,0,,,,,,,,,,,,,,,,,35.556243100203574,0.001691100187599659,0.09849490039050579,41.55613370006904,6.031797900330275,41.70622970024124,0.05044439993798733,0.1487288000062108,6.015116200316697,47.70615789992735,47.772797900252044,0.01805579988285899,0.11501740012317896,2.0,2.497977999970317,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
1,0,1,0,,,,,,,,,,,,,,,,,50.30645349994302,0.0005155997350811958,0.09733380004763603,56.322749600280076,6.013896800111979,56.43952970020473,0.024559499695897102,0.13075859984382987,6.030534599907696,62.42271020030603,62.5227411002852,0.016810199711471796,0.11402519978582859,1.0,4.915035400073975,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
2,0,2,0,,,,,,,,,,,,,,,,,67.47308420017362,0.0004483000375330448,0.09732429962605238,73.48970580007881,6.01407549995929,73.60607000021264,0.03289389982819557,0.1307307998649776,6.030732299666852,79.60613820003346,79.70606510015205,0.03367369947955012,0.13059879979118705,0.0,2.9645548001863062,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
3,0,3,0,,,,,,,,,,,,,,,,,82.70632140012458,0.0005860999226570129,0.09740789979696274,88.72272740025073,6.01400119997561,88.85633430024609,0.035755999851971865,0.14757439959794283,6.013965799473226,94.85610640002415,94.9226275999099,0.0166572998277843,0.1138320998288691,0.0,1.9983862997032702,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
4,0,4,0,,,,,,,,,,,,,,,,,96.95608909986913,0.0006705997511744499,0.09651469998061657,102.95586910005659,6.013338400050998,103.10602780012414,0.04211939964443445,0.14666449977084994,6.013296199962497,109.1060118000023,109.17261440027505,0.015342999715358019,0.11333679966628551,0.0,2.9987682001665235,6.096623999997973,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
5,0,5,0,,,,,,,,,,,,,,,,,112.20628040004522,0.0007047001272439957,0.09718890022486448,118.2226648000069,6.013742700219154,118.355979999993,0.044113699812442064,0.14728960022330284,6.01384470006451,124.35603709984571,124.42255200026557,0.016268400009721518,0.11362749990075827,1.0,1.7317963000386953,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
6,0,6,0,,,,,,,,,,,,,,,,,126.18930289987475,0.00039820000529289246,0.09761370019987226,132.20601390022784,6.014266700018197,132.33949899999425,0.038058700039982796,0.147800600156188,6.014271299820393,138.33928039995953,138.4058094001375,0.01703369989991188,0.11421189969405532,0.0,1.2982290000654757,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
7,0,7,0,,,,,,,,,,,,,,,,,139.73946959991008,0.00045900000259280205,0.09721739962697029,145.73924360005185,6.03037629975006,145.889245999977,0.04881259985268116,0.14728899952024221,6.013753299601376,151.88924110028893,151.95591010013595,0.01631349977105856,0.11426569940522313,0.0,1.4984825998544693,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
8,0,8,0,,,,,,,,,,,,,,,,,153.48941380018368,0.000233400147408247,0.09906639996916056,159.48922799993306,5.999194500036538,159.60581379989162,0.011793400160968304,0.11567449988797307,6.015583100263029,165.5890891002491,165.68912870017812,0.001813999842852354,0.09897049982100725,0.0,0.7982457997277379,6.098859100136906,6.098864300176501,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
9,0,9,0,,,,,,,,,,,,,,,,,166.52277150005102,0.0004516998305916786,0.09730659984052181,172.53918249998242,6.013813599944115,172.6558044999838,0.03503719996660948,0.1307260999456048,6.030429199803621,178.65583120007068,178.75581250013784,0.033279499504715204,0.130360699724406,2.0,3.4979706001468003,,,7150,Visual,2024-10-18_12h12.04.459,Visual_Condition_v2,2022.2.5,30.008096197094687,
