Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,Begin_Rinse.stopped,Finish_rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.97147094970569,0.0004841000773012638,0.09939049975946546,23.23715219972655,23.45355674996972,23.70385369984433,23.95379125000909,24.253719999920577,0.001691299956291914,0.1161532998085022,14.99949389975518,39.270466200076044,15.09946950012818,39.353800899814814,0.01569819962605834,0.11615379992872477,45.35381110012531,6.016286700032651,45.453898599836975,45.453898599836975,0.016253899782896042,0.11613579979166389,space,6.430846199858934,51.920512000098825,51.920512000098825,6.859982386231422e-05,0.09611660009250045,num_9,3.6764863999560475,55.653837650083005,0.0021818000823259354,0.09778399998322129,55.95380889996886,56.43723224988207,56.75380289973691,57.25393834989518,57.63714350014925,65.63714060001075,65.63714060001075,65.63712204992771,0.01450789999216795,0.11423949990421534,66.6537484000437,67.63715189974755,67.83714029984549,68.32040699990466,10.01434800028801,10.09762050025165,75.75368859991431,0.0004960000514984131,75.75368859991431,0.09776239981874824,4.0,3.948031799867749,79.73734850017354,0.0016914000734686852,0.09945959970355034,85.73719049990177,85.90372595004737,6.216099599841982,6.316025599837303,105.90379424998537,105.90388480015099,26.19947519991547,26.29948819987476,108.90390889998525,108.90390889998525,-0.0004704003222286701,0.09946609986945987,138.92049549985677,30.016099399887025,,,,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,139.0538325998932,0.016815499402582645,0.11603729939088225,145.0704749999568,5.999378799460828,145.15382449980825,145.15382449980825,0.016172999516129494,0.1160101993009448,space,3.6109818001277745,148.8205260001123,148.8205260001123,4.0699727833271027e-05,0.0980916996486485,num_9,2.824093600269407,151.6871859501116,0.0023763999342918396,0.09797269990667701,152.00375470006838,152.47049154993147,152.78736309986562,153.27042195014656,153.687200400047,,161.70384449977428,161.70382835017517,0.017516700085252523,0.11468819994479418,,163.7038221997209,163.88738019997254,164.38719550007954,10.031443600077182,,171.80376829998568,0.017176299821585417,171.80376829998568,0.11495519988238811,3.0,5.79867530008778,177.63739569997415,0.002405700273811817,0.09796949988231063,183.63725799974054,183.82042915001512,6.214584700297564,6.314515800215304,203.8371827499941,203.83718639984727,26.231359200086445,26.331221099942923,,206.8539144997485,0.016459899954497814,0.11444259993731976,236.87052279990166,30.031299999915063,153.58716259989887,184.83714850014076,204.83713500015438,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,236.95385779999197,0.015183900017291307,0.11442459980025887,242.95384339988232,6.014673999976367,243.0538793001324,243.0538793001324,0.01474139979109168,0.11452949978411198,space,5.29539560014382,248.38719779998064,248.38719779998064,5.5499840527772903e-05,0.097715700045228,num_9,2.0254819998517632,250.47062565013766,0.002359200268983841,0.09778340021148324,250.78721940005198,251.25385305006057,251.55406880006194,252.07083954988047,252.45437559997663,260.45386839983985,260.45386839983985,260.453866050113,0.014743200037628412,0.13154199998825788,,262.47052090009674,262.6370399999432,263.13726449990645,10.014671999961138,10.09780150000006,270.5704267001711,0.00019539985805749893,270.5704267001711,0.09779280005022883,5.0,4.865244199987501,275.4708929997869,0.0026663998141884804,0.09794940007850528,281.4705028999597,281.6537117501721,6.2146057998761535,6.314651499968022,301.6537765497342,301.65384009992704,26.214704299811274,26.314913999754936,304.6538291000761,304.6538291000761,0.014718399848788977,0.11467529973015189,334.65382150001824,30.014688899740577,252.38744379999116,282.6537341000512,,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,334.7871775999665,0.015302499756217003,0.1147598996758461,340.7872802000493,6.014678399544209,340.88714599981904,340.88714599981904,0.014883099589496851,0.1146276998333633,space,3.3655501999892294,344.2871771999635,344.2871771999635,3.8199592381715775e-05,0.09780459990724921,num_9,18.189341799821705,362.520541950129,0.0020181001164019108,0.09777259966358542,362.8371521998197,363.3037827499211,363.6036549001001,364.1037871497683,364.5205731000751,372.5204568998888,372.5204568998888,372.52068624971434,0.0014065997675061226,0.09815649967640638,373.53709079977125,374.5205334001221,374.7038932000287,375.18706669984385,10.014847799669951,,382.63702580006793,0.01639939984306693,382.63702580006793,0.11440439987927675,4.0,3.032374099828303,385.70405129995197,0.0016020000912249088,0.0993431000970304,391.70357610005885,391.8869016501121,6.2154759000986814,6.2989651998505,411.8869714499451,411.8870971999131,26.215795599855483,26.315711500123143,414.90374149987474,414.90374149987474,0.0014905999414622784,0.09909619949758053,444.92036500014365,30.01574319973588,364.40378959989175,392.8998786001466,412.88703239988536,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,445.0203554001637,0.016472199466079473,0.11566629959270358,451.02056910004467,6.015708699822426,451.1204030001536,451.1204030001536,0.015875899698585272,0.11567459953948855,space,3.7401784998364747,454.90369910001755,454.90369910001755,3.7999823689460754e-05,0.09812689991667867,num_9,2.1493172999471426,457.0871519497596,0.0021832003258168697,0.09794830018654466,457.3870125999674,457.8702109497972,458.18706650007516,458.67035805014893,459.07041019992903,467.0869991001673,467.0869991001673,467.08703465014696,0.001495900098234415,0.09803270036354661,468.0868707001209,469.0870155999437,469.2870000000112,469.7870056000538,10.031211500056088,,477.20354059990495,0.017100200057029724,477.20354059990495,0.11446279985830188,5.0,3.4648605999536812,480.70385990012437,0.001533800270408392,0.0993922003544867,486.70350049994886,486.8869003499858,6.215723300352693,6.3158114003017545,506.8868071497418,506.8869398999959,26.21585340006277,26.31576650030911,509.9035482998006,509.9035482998006,0.0015314002521336079,0.09912300016731024,539.9201857000589,30.01570020010695,458.98692369973287,487.903537100181,507.90356690017506,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0201743999496,0.016067299991846085,0.11567059997469187,570.0367629998364,30.03233309974894,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,570.1367929000407,0.03420739993453026,0.13242519972845912,576.1534426999278,6.0156167997047305,576.2200821000151,576.2200821000151,0.0157470996491611,0.11560949962586164,space,4.9451721999794245,581.2201157999225,581.2201157999225,3.2899901270866394e-05,0.09795520035549998,num_9,1.864687199704349,583.1370321498252,0.0025299000553786755,0.0976358000189066,583.4367150999606,583.9200830501504,584.236728399992,584.7369756498374,585.1367672998458,593.1367335999385,593.1367335999385,593.136785550043,0.03091550013050437,0.13084409991279244,594.1367147997953,595.1367542999797,595.3367733000778,595.8369188001379,10.014008200261742,10.097433000337332,603.2366788997315,0.0001463000662624836,603.2366788997315,0.09749840013682842,4.0,2.831579599995166,606.103655999992,0.0027354001067578793,0.09800769994035363,612.1200632997788,612.2868897500448,6.214665699750185,6.31456289999187,632.2865974497981,632.286778499838,26.214716900140047,26.314561400096864,635.2866592998616,635.2866592998616,0.014688499737530947,0.11451139952987432,665.2867549001239,30.014675999525934,585.0366750000976,613.2866087998264,633.2867066999897,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,665.4199250000529,0.015242999885231256,0.11456559970974922,671.4365709000267,6.031115399673581,671.5366696999408,671.5366696999408,0.0313911996781826,0.13110109977424145,space,2.7966023003682494,674.3866015998647,674.3866015998647,5.699973553419113e-05,0.09793579997494817,num_9,3.4507045997306705,677.9032415500842,0.0024536997079849243,0.09823699994012713,678.2199621000327,678.6865582498722,678.98653679993,679.5032451497391,679.8865672000684,687.8866310999729,687.8866310999729,687.8869174499996,0.015003299806267023,0.11488279979676008,688.9031449998729,689.8867497001775,690.0867329998873,690.5865583000705,10.01489679981023,,698.0198650998063,0.017670199740678072,698.0198650998063,0.11497529968619347,4.0,3.164888000115752,701.2200909000821,0.0023485999554395676,0.09943610010668635,707.2198449000716,707.4032232500613,6.215880899690092,6.315920999739319,727.3863857500255,727.3865068000741,26.199294599704444,26.299300899729133,730.4030828000978,730.4030828000978,0.015872899908572435,0.11586719984188676,760.4030750999227,30.015836399514228,679.8030897998251,,728.3864286998287,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,760.536355599761,0.016513099428266287,0.11578979948535562,766.5363647001795,6.015781399793923,766.6363570000976,766.6363570000976,0.01595179969444871,0.11571989953517914,space,3.2322618002071977,769.9030216997489,769.9030216997489,3.2300129532814026e-05,0.09802020015195012,num_9,2.6541149001568556,772.6197389499284,0.0022006002254784107,0.09801270021125674,772.9363315999508,773.4029885497876,773.7029019999318,774.2029488501139,774.6031369999982,782.6030619000085,782.6030619000085,782.6029854500666,0.014738600235432386,0.1145633002743125,783.6029056999832,784.6196217001416,784.8196661998518,785.3196569997817,10.014431400224566,10.097818200010806,792.7195648001507,0.0011094002984464169,792.7195648001507,0.0978362001478672,5.0,3.664343200158328,796.4198866998777,0.0024953000247478485,0.09763629967346787,802.4363013999537,802.6196889500134,6.230883199721575,6.330882600042969,822.6028037499636,822.6028999001719,26.214247100055218,26.31420709984377,825.602884999942,825.602884999942,0.014261099509894848,0.11418929975479841,855.6194384000264,30.03078189957887,,803.6364641999826,,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,855.7528047999367,0.031490299385041,0.1307658995501697,861.7527505001053,6.030814299359918,861.8527660998516,861.8527660998516,0.030864299274981022,0.13088469952344894,space,3.4077834002673626,865.3028273000382,865.3028273000382,4.449998959898949e-05,0.09774640016257763,num_9,3.029831300023943,868.3695567501709,0.0021104002371430397,0.0981045002117753,868.6861185999587,869.1694427500479,869.4861877001822,869.9693921501748,870.3528619999997,878.3693677000701,878.3693677000701,878.3695057500154,0.0012444998137652874,0.09798800013959408,879.38604449993,880.3860063999891,880.5527738998644,881.0527079999447,10.014407900162041,,888.4859718000516,0.016884699929505587,888.4859718000516,0.11447100015357137,4.0,3.1651424998417497,891.6862339000218,0.001522500067949295,0.099222999997437,897.6860273997299,897.8692756500095,6.2158440998755395,6.315778899937868,917.8691728501581,917.8693793001585,26.215925499796867,26.315732599701732,920.8859151997603,920.8859151997603,0.0016531995497643948,0.09909489983692765,950.8858163999394,30.032373999711126,870.2861033999361,898.8859333000146,918.8859218000434,,,,,,,,7329,Gustatory,2024-10-01_16h28.13.087,Gustatory_Condition_v2,2022.2.5,30.013400963281118,
