loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.01432801107876,0.0008938000537455082,0.1082561002112925,18.346688699908555,18.613413189770654,18.913332799915224,19.213448089780286,19.513300999999046,19.813374189892784,20.12997699994594,20.12997699994594,0.025070699863135815,0.12505780020728707,35.130061300005764,15.02515080012381,35.26342759979889,0.02522239973768592,0.12499039992690086,35.729991799686104,space,2.9169557001441717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,38.69666909985244,0.0012912997044622898,0.0983841996639967,44.696722499560565,6.031827699858695,44.996775900013745,44.996775900013745,0.15501009952276945,0.2985531995072961,6.031698299571872,51.01328089972958,51.01328089972958,51.01328089972958,0.08868949953466654,0.21495689963921905,56.71329949982464,56.87994819972664,6.01505779940635,6.115029699634761,62.87995179975405,12.015058199409395,63.01327309990302,63.01327309990302,0.015200499445199966,0.1149876993149519,up,1.041784600354731,64.09660999989137,5.750032141804695e-05,0.09719420038163662,70.13023359980434,70.13023359980434,0.024964900221675634,0.1305943001061678,2.0,8.623482499737293,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.79665409959853,78.79665409959853,0.010521099902689457,0.11456259991973639,2.0,3.305321699939668,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.12977599957958,82.12977599957958,0.009088000282645226,0.09929409995675087,1.0,6.424796600360423,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.59629329992458,88.59629329992458,0.010497599840164185,0.0976322996430099,4.0,3.0547315003350377,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.71323469979689,91.71323469979689,0.01237859996035695,0.11395800020545721,3.0,2.436026499606669,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.19670549966395,94.19670549966395,0.010965799912810326,0.11543009988963604,3.0,4.505351200234145,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.74650399992242,98.74650399992242,0.01756149996072054,0.11576119996607304,1.0,2.866020199842751,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.64665199955925,101.64665199955925,0.0007158000953495502,0.09927090024575591,4.0,15.799575500190258,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,117.47985020000488,0.00029719993472099304,0.09768899995833635,123.49657089961693,6.01434119977057,123.6634056000039,123.6634056000039,0.06886989995837212,0.1812302996404469,6.014357099775225,129.7635327000171,129.7635327000171,129.7635327000171,0.07050389982759953,0.18121679965406656,135.4631856000051,135.66329139983281,6.014512199442834,6.114350599702448,141.6631889999844,12.014390899799764,141.79680699994788,141.79680699994788,0.014740099664777517,0.11434959946200252,up,1.82543019996956,143.66326229972765,4.060007631778717e-05,0.09795389976352453,149.69661219976842,149.69661219976842,0.026408900041133165,0.13140339963138103,5.0,4.772455900441855,,,,,,,129.66318909963593,129.66318909963593,141.76329899998382,141.76329899998382,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.5135068995878,154.5135068995878,0.008972799871116877,0.11432649986818433,1.0,2.8060774002224207,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.36346039967611,157.36346039967611,0.00875100027769804,0.1147068003192544,2.0,3.5398571002297103,,,,,,,,,,,,,,7329,Moral,2024-10-01_17h36.00.821,MoralCondition_v2,2022.2.5,29.99985900308149,
