Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,Begin_Rinse.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.143802179722115,0.0005322000943124294,0.08574529970064759,17.406602299772203,17.64025646005757,17.89002940012142,18.140037160133943,18.423630999866873,18.423630999866873,0.0036559998989105225,0.10261589987203479,33.423421800136566,15.002543199807405,33.52337139984593,0.004956499673426151,0.10258919978514314,39.523421599995345,6.00259709963575,39.62339029973373,39.62339029973373,0.002515799831598997,0.10253989975899458,space,6.131885700393468,45.80682779988274,45.80682779988274,4.359986633062363e-05,0.09772229986265302,num_9,3.2685790001414716,49.140212459722534,0.0022525996901094913,0.09816959965974092,49.440051899757236,49.94011165970005,50.24008530005813,50.7233935596887,51.04000169970095,51.1400349996984,59.140048099681735,59.140048099681735,59.14011496002786,0.0017462996765971184,0.09799979999661446,60.13999870000407,61.1400125999935,61.34016659995541,61.84003099985421,10.03130149981007,69.25658970000222,0.015378699637949467,69.25658970000222,0.11446809954941273,2.0,5.016966899856925,74.30708019994199,0.002421800047159195,0.0979368002153933,80.30665439972654,80.50681846006773,6.23103170003742,6.331005500163883,100.48994175973348,100.48995399987325,26.214327400084585,26.314326900057495,101.48992609977722,103.48995820013806,103.48995820013806,0.014374400023370981,0.1143269999884069,133.48992009973153,30.014329199679196,,,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,133.62344849994406,0.015036699827760458,0.11427229968830943,139.623235499952,6.0143219996243715,139.72323510004207,139.72323510004207,0.01435679942369461,0.11420529941096902,space,4.960258700419217,144.73997259978205,144.73997259978205,4.1999854147434235e-05,0.09752099961042404,num_9,2.654914299957454,147.43999385996722,0.0023925998248159885,0.11471810005605221,147.73984299972653,148.22322195977904,148.53989790007472,149.02333595999517,149.3398818001151,149.43992279982194,,157.45656770002097,157.45661006006412,0.01623280020430684,0.11460239998996258,,159.43971419986337,159.63971809996292,160.15671100001782,10.01453879987821,167.55668730009347,0.01732600014656782,167.55668730009347,0.11447060015052557,5.0,4.064956900198013,171.65670129982755,0.003212499897927046,0.09769749967381358,177.65651809982955,177.85664805979468,6.230961099732667,6.330906399991363,197.83971685986035,197.83986059995368,26.214359999634326,26.314312199596316,198.83979030000046,200.8565746997483,200.8565746997483,0.00018699979409575462,0.0975928995758295,230.85654009971768,30.03104809951037,,,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,230.9734410000965,0.014935599640011787,0.11426289938390255,236.97305449983105,6.014305899385363,237.08974609989673,237.08974609989673,0.03096039965748787,0.13096859958022833,space,1.6809872998856008,238.82310689985752,238.82310689985752,3.900006413459778e-05,0.09802959999069571,num_9,2.2601425000466406,241.1398448597174,0.0021394002251327038,0.0980702000670135,241.43969299970195,241.92299786000513,242.23970429971814,242.72312675998546,243.0396853000857,243.1230530999601,251.1396375996992,251.1396375996992,251.139927159762,0.0014545000158250332,0.09803020022809505,252.14004939980805,253.1564361001365,253.30622929986566,253.80636329995468,10.014476700220257,261.2396792001091,0.0008433000184595585,261.2396792001091,0.09771070023998618,2.0,3.598017599899322,264.87322519999,0.0024456996470689774,0.09806940006092191,270.87315869983286,271.0731496599037,6.231236499734223,6.331429299898446,291.07310785981826,291.07294959994033,26.23120559984818,26.331240999978036,292.08963689999655,294.0733850998804,294.0733850998804,0.0004774997942149639,0.09784569963812828,324.0729104001075,30.03116159979254,10.097830100450665,272.0895527997054,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,324.2062785997987,0.031738299410790205,0.13110889960080385,330.2229459998198,6.014402099419385,330.27267559990287,330.27267559990287,0.014213299378752708,0.09803259931504726,space,2.7860133005306125,333.12269019987434,333.12269019987434,4.439987242221832e-05,0.09776780009269714,num_9,2.2649243003688753,335.4231085598003,0.0025967000983655453,0.09768400015309453,335.73943879967555,336.205990960123,336.5059394999407,337.00240016006865,337.30236510001123,337.38566219992936,345.37261309986934,345.3892799001187,345.4060096598696,0.013889600057154894,0.09721629973500967,346.4024295997806,347.3858145000413,347.5892969998531,348.072563899681,10.013974399771541,355.5228438000195,-0.00018020020797848701,355.5228438000195,0.09736099978908896,5.0,3.9321494000032544,359.4895886001177,0.001567599829286337,0.09927779994904995,365.489288599696,365.6560738601256,6.199387900065631,6.299401999916881,385.65601525991224,385.6560780000873,26.199405699968338,26.299521999899298,386.6561008999124,388.67271760012954,388.67271760012954,0.016121199820190668,0.1158174998126924,418.67262700013816,30.015926799736917,10.09737280011177,366.65610829973593,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,418.80581049993634,0.016523299738764763,0.11584669956937432,424.8227067999542,5.999383499845862,424.8892238000408,424.8892238000408,-6.240047514438629e-05,0.0991434995085001,space,2.081981100142002,427.0225967997685,427.0225967997685,4.350021481513977e-05,0.09786930028349161,num_9,2.4604671001434326,429.5228654600214,0.002159000374376774,0.09779150038957596,429.8392472998239,430.30595125979744,430.6058036000468,431.12265725969337,431.43926879996434,431.5059218998067,439.5057357000187,439.5057357000187,439.50594106013887,0.014107000082731247,0.09760890016332269,,441.52253869967535,441.72253479994833,442.2057230998762,10.014446000102907,449.62250259984285,0.00013060029596090317,449.62250259984285,0.0975063000805676,4.0,3.331872900016606,452.9895504997112,0.0027573001570999622,0.09756979998201132,458.9892529998906,459.1725738600362,6.214142300188541,6.314239399973303,479.1725969600957,479.1724415998906,26.214176599867642,26.31420660018921,480.18906639982015,482.17238469980657,482.17238469980657,0.014140499755740166,0.11406509997323155,512.1722960998304,30.014000999741256,10.097607500385493,460.1891438998282,6.099156899843365,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.3056727000512,0.014202199876308441,0.11412679962813854,542.3221921999939,30.030704599805176,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,542.4223047001287,0.03248009970411658,0.1306543997488916,548.4388457997702,6.01401549950242,548.5055581000634,548.5055581000634,0.014206299558281898,0.11384289944544435,space,1.9211002001538873,550.4721864000894,550.4721864000894,4.20999713242054e-05,0.09786319965496659,num_9,1.8669206998310983,552.3889319601003,0.0018382002599537373,0.09796190029010177,552.6887687998824,553.1722314597573,553.4721818999387,553.9888591601048,554.288786099758,554.3721801000647,562.3887726999819,562.3887726999819,562.388843260007,0.001316700130701065,0.0978994001634419,,564.3888350999914,564.5721287000924,565.072114800103,10.014406200032681,572.5053445999511,0.017411000095307827,572.5053445999511,0.11441069981083274,6.0,2.6645907000638545,575.205786800012,0.0015851999633014202,0.09944019978865981,581.222041899804,581.3887736599427,6.215752899646759,6.315752599854022,601.3720485598315,601.3719774000347,26.19913429999724,26.298996899742633,602.3886907999404,604.372018400114,604.4053030000068,-0.0008817003108561039,0.09915249980986118,634.4218453997746,30.015678399708122,,582.3887386000715,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,634.5218563000672,0.01637429976835847,0.1156708993948996,640.5218122000806,6.015534799546003,640.6218761997297,640.6218761997297,0.01566119957715273,0.11558379931375384,space,1.644749500323087,642.3051521996967,642.3051521996967,3.729993477463722e-05,0.09803739981725812,num_9,1.97793859988451,644.3385718597565,0.0020594000816345215,0.09796550031751394,644.6384978001006,645.1217909597326,645.4218556000851,645.9218788600992,646.2218073001131,646.3384666997008,654.3384348996915,654.3384348996915,654.3385351600591,0.0014839000068604946,0.09804780036211014,655.3384432001039,656.3384413998574,656.5217925999314,657.0050562000833,10.014492200221866,664.455142899882,0.017617200035601854,664.455142899882,0.11448949994519353,6.0,3.23117239959538,667.7220892999321,0.0029309000819921494,0.09761330019682646,673.7384325000457,673.905114060035,6.214459200389683,6.314240800216794,693.9048807600047,693.9049943997525,26.214240100234747,26.314182800240815,694.9216483999044,696.921646299772,696.921646299772,-0.00042290007695555687,0.09749720012769103,726.9215347999707,30.030786000192165,,674.921741399914,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,727.0548489000648,0.03146900003775954,0.13076209975406528,733.0715060001239,6.014065300114453,733.1382113997824,733.1382113997824,0.014139899984002113,0.11404919996857643,space,1.2411752003245056,734.4381717997603,734.4381717997603,4.860013723373413e-05,0.09716229978948832,num_9,1.5490986998192966,736.0382862600964,0.0021148002706468105,0.09807430021464825,736.3381856000051,736.8216191597749,737.121845100075,737.6381225597579,737.9381466000341,738.0383741999976,746.0381133998744,746.0381133998744,746.0383144600783,0.0014512999914586544,0.09800929995253682,,748.0381713998504,748.2045799000189,748.7047739997506,10.014615000225604,756.15467169974,0.017394700087606907,756.15467169974,0.11447820020839572,2.0,2.9650012999773026,759.1548437997699,0.0016244999133050442,0.09922319976612926,765.1713660000823,765.3214263597038,6.199193799868226,6.299514399841428,785.3213307599071,785.3212774000131,26.19916329998523,26.298962300177664,786.3379063997418,788.338000100106,788.338000100106,0.0158160999417305,0.11579769989475608,818.3544777999632,30.032346499618143,,766.3379967999645,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,818.4878266998567,0.03310559969395399,0.1323749995790422,824.4879058999941,6.032304799649864,824.5877954997122,824.5877954997122,0.03238309966400266,0.1322976998053491,space,1.2713196999393404,825.9213620000519,825.9213620000519,4.739966243505478e-05,0.09771899972110987,num_9,1.5139087000861764,827.4878467598464,0.0017972998321056366,0.09840469993650913,827.7878374997526,828.2711520597804,828.5710577000864,829.0711751601193,829.3711043000221,829.4714318998158,837.471104899887,837.471104899887,837.4711601596791,0.015081199817359447,0.11516259983181953,838.4710882999934,839.4710673997179,839.6711805998348,840.1711073000915,10.014966699760407,847.5876575997099,0.002131899818778038,847.5876575997099,0.09827560000121593,4.0,2.730570000130683,850.3546853996813,0.0022546998225152493,0.09794030012562871,856.3710456998087,856.537588060135,6.214634499978274,6.3147416999563575,876.5376704598311,876.5377257000655,26.21485080011189,26.314702299889177,877.5542727001011,879.5376355000772,879.5376355000772,0.014736299868673086,0.13132189959287643,909.537550999783,30.014716499950737,10.098313299939036,,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
