Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,23.69609925937839,0.000515500083565712,0.0853486000560224,23.960572100244462,24.17726174001582,24.42725419998169,24.69412214034237,24.960509800352156,0.01472239987924695,0.10188429988920689,39.96060810005292,15.001824100036174,40.06062790006399,0.0041507999412715435,0.10184249980375171,46.06063070008531,6.0018301997333765,46.160618300084025,46.160618300084025,0.0018074996769428253,0.10188769968226552,space,6.41509939962998,52.610581800341606,52.610581800341606,4.660012200474739e-05,0.09763870015740395,num_9,2.6047929995693266,55.260621440177786,0.0015883003361523151,0.09757059998810291,55.57721480028704,56.06083704023622,56.360514000058174,56.843957940163094,57.16057220008224,57.243903200142086,65.24390000011772,65.24390000011772,65.24392504016869,0.01444269996136427,0.11420579999685287,66.26059610024095,67.2272030999884,67.44394170027226,67.94386300025508,10.014346499927342,10.09763010032475,75.36049230024219,0.0009461999870836735,75.36049230024219,0.09758959989994764,5.0,5.247630099765956,80.64414730016142,0.0025067999958992004,0.09785589994862676,86.6605323003605,86.82724694027566,6.214469699654728,6.314428299665451,87.82714670011774,106.84387224032544,106.84383360017091,26.231127599719912,26.331085099838674,107.86051980033517,109.8605419001542,0.016274199821054935,0.11440569953992963,139.86041640024632,30.014383499510586,,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,139.96042390028015,0.015126599464565516,0.11447779973968863,145.96066120034084,6.014470199588686,146.06039680028334,146.06039680028334,0.014538299292325974,0.1143804993480444,space,2.834756499622017,148.96043790038675,148.96043790038675,4.369998350739479e-05,0.09795770002529025,num_9,2.7188354996033013,151.74375784029252,0.002766599878668785,0.09804779989644885,152.06039540003985,152.54388614003545,152.86042450042441,153.32690304010174,153.62700510025024,153.74375250004232,161.74388330010697,161.74388330010697,161.7437803401146,0.0015493999235332012,0.098055399954319,162.7603724002838,163.74369640043005,163.94386280002072,164.42694880021736,10.014582499861717,10.097973099909723,171.84363600006327,0.000861200038343668,171.84363600006327,0.09796469984576106,2.0,8.364703699946404,180.24385390011594,0.0025158999487757683,0.0978635000064969,186.26031300006434,186.42705084015614,6.214666199870408,6.31474980013445,187.42706380039454,206.42693794011137,206.42712170025334,26.214856300037354,26.314683199860156,207.42688570031896,209.42695890041068,0.014601199887692928,0.11483650002628565,239.42687480011955,30.01458969991654,209.42695890041068,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,239.56041900021955,0.015261099673807621,0.11460649967193604,245.56019760016352,6.0145743996836245,245.66020460007712,245.66020460007712,0.014652999583631754,0.11459469981491566,space,3.6674809996038675,249.39365650014952,249.39365650014952,3.3200252801179886e-05,0.09853180032223463,num_9,1.2620080998167396,250.69358173995278,0.0018477002158761024,0.09784930013120174,251.01040210016072,251.49352864040992,251.81021809997037,252.27701754034496,252.5767777003348,252.67683610040694,260.6768012000248,260.6768012000248,260.67695644036866,0.014566500205546618,0.11469060042873025,,262.67682960024104,262.89348790002987,263.39346290007234,10.01446030009538,,270.80995340039954,0.017272999975830317,270.80995340039954,0.1143257999792695,5.0,4.231376000214368,275.07715320028365,0.0025264001451432705,0.09776390017941594,281.0767755000852,281.25995064019224,6.214270800352097,6.314380900003016,282.27669400023296,301.25994184012524,301.2600500001572,26.214388200081885,26.314320700243115,302.25992290023714,304.2768382001668,0.00018909992650151253,0.09764420008286834,334.2932539000176,30.0142295002006,304.2768382001668,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,334.39342590002343,0.015017099678516388,0.11408460000529885,340.39322020020336,6.014220200013369,340.4931521001272,340.4931521001272,0.014321399852633476,0.11440319987013936,space,2.3383324998430908,342.8932719002478,342.8932719002478,4.4300220906734467e-05,0.09829259989783168,num_9,1.1223830999806523,344.05993504035285,0.002656599972397089,0.09788500005379319,344.3599174004048,344.86001904034055,345.176461300347,345.64312064000404,345.9599039000459,346.05987540027127,354.0598389999941,354.0598389999941,354.0599015402142,0.0016390001401305199,0.09783980017527938,355.0598225002177,356.0766634000465,356.24319010041654,356.74321070034057,10.014374900143594,,364.17650490021333,0.017522099893540144,364.17650490021333,0.11464999988675117,1.0,11.23130250023678,375.44335700012743,0.002821600064635277,0.1143437996506691,381.426270800177,381.64310204009524,6.230940899811685,6.331013299990445,382.65972600039095,401.64307384011335,401.64315570006147,26.23102180007845,26.330813199747354,402.65967190032825,404.6430634004064,0.0001462996006011963,0.09732789965346456,434.6427596001886,30.0138989998959,404.6430634004064,30.09729229984805,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,434.74292040010914,0.030803199391812086,0.13088159961625934,440.72605779999867,6.013877499382943,440.84285160014406,440.84285160014406,0.0312523995526135,0.13065889943391085,space,4.565041599795222,445.4595115999691,445.4595115999691,4.5800115913152695e-05,0.09795559989288449,num_9,1.1801707996055484,446.69288924015126,0.002437199931591749,0.09818240022286773,447.0094941002317,447.4760749401059,447.7761013000272,448.27618734030983,448.5760906999931,448.67618670035154,456.69280440034345,456.69280440034345,456.6928294403944,0.0012362003326416016,0.09814750030636787,457.70947360014543,458.70947720017284,458.876127100084,459.3927854001522,10.014704199973494,10.097911700140685,466.79266470018774,0.0002597002312541008,466.79266470018774,0.0980830998159945,4.0,2.2987269000150263,469.12608720036224,0.002584099769592285,0.0974415997043252,475.14282640023157,475.3093349403236,6.21407389966771,6.313893599901348,476.3259960003197,495.309128940152,495.2924612001516,26.21385920001194,26.314095699694008,496.3092881003395,498.30935410037637,0.014090999495238066,0.11392209958285093,528.325990700163,30.030718899797648,498.30935410037637,,6.097193699795753,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.4591892003082,0.03077949956059456,0.13077149959281087,30.013891499489546,558.4757313001901,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,558.5422776001506,0.015667899511754513,0.11381379934027791,564.5423614000902,6.0136827994138,564.6423873002641,564.6423873002641,0.01378929940983653,0.11369979940354824,space,3.8532764995470643,568.559045100119,568.559045100119,4.930002614855766e-05,0.09735070029273629,num_9,2.1289150998927653,570.7423827401828,0.002012799959629774,0.09758329996839166,571.0590209001675,571.5256061400753,,572.3255555402022,572.625634000171,572.7256717002019,580.7423302000389,580.7423302000389,580.7423527399544,0.000650700181722641,0.09744379995390773,581.7589704003185,582.7422883003019,582.9088872000575,583.4089200003073,10.010307100135833,10.093714400194585,590.8217193000019,0.010153399780392647,590.8217193000019,0.0973433000035584,4.0,2.902021400164813,593.7756755002774,0.00157589977607131,0.09926019981503487,599.7586990999989,599.9590285402257,6.2156467996537685,6.315734399948269,600.9755407003686,619.9587385403458,619.9587912000716,26.215623499825597,26.315560199785978,620.9587773000821,622.9587842002511,0.015605699736624956,0.11554899951443076,652.9753179000691,30.032121299766004,622.9587842002511,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,653.1088165002875,0.032881499733775854,0.13207719940692186,659.1253209002316,6.0153766996227205,659.1919754003175,659.1919754003175,0.015576399397104979,0.11535459943115711,space,2.3110979995690286,661.5586553001776,661.5586553001776,4.12999652326107e-05,0.09816089970991015,num_9,0.7450909996405244,662.3420941401739,0.0016037002205848694,0.11502010002732277,662.6585429003462,663.1254202402663,663.4251661002636,663.9251925400924,664.2251885002479,664.3252735002898,672.3252140004188,672.3252140004188,672.3252830403392,0.014823699835687876,0.11479549994692206,,674.3252418003976,674.5084738000296,675.0085826003924,10.014605700038373,10.097972800023854,682.4417750001885,0.00048159994184970856,682.4417750001885,0.09798859991133213,2.0,2.431866900064051,684.9084939002059,0.003362799994647503,0.09764070017263293,690.9088608999737,691.0917680403684,6.231127200182527,6.3312029000371695,692.1084985001944,711.0918109403458,711.0917495000176,26.214365200139582,26.314207300078124,712.1084076003172,714.0917347003706,0.014371699653565884,0.11430729972198606,744.1082589002326,30.030885899905115,714.0917347003706,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,744.2249561999924,0.014878999907523394,0.13086329959332943,750.2415869999677,6.030808699782938,750.3415342001244,750.3415342001244,0.031071399804204702,0.13079609954729676,space,2.282087699510157,752.6749320002273,752.6749320002273,6.780028343200684e-05,0.09801460010930896,num_9,1.1969386995770037,753.9083192400169,0.002584900241345167,0.098076400347054,754.2083424003795,754.6916356403847,755.0083317002282,755.4916723403614,755.8083205004223,755.8915312001482,763.8915101001039,763.8915101001039,763.8915553400759,0.014582700096070766,0.11454920005053282,764.9082518001087,765.9081823001616,766.0916531002149,766.5914938002825,10.014529699925333,,774.0246576000936,0.016906300093978643,774.0246576000936,0.11433769995346665,5.0,1.5985893001779914,775.6584626999684,0.001519900280982256,0.09949589986354113,781.6583692003042,781.824917640118,6.199338000267744,6.299219999928027,782.8246116000228,801.8414628403727,801.8413880001754,26.21583310002461,26.3157875998877,802.8581166001968,804.8413814003579,0.015840800013393164,0.1157078999094665,834.8410211000592,30.015354999806732,804.8413814003579,30.09870699979365,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,834.9579076999798,6.919959560036659e-05,0.09882769966498017,840.97459420003,6.015546599868685,841.074679300189,841.074679300189,0.015628299675881863,0.11553739989176393,space,2.556496699806303,843.6745007000864,843.6745007000864,5.059968680143356e-05,0.0980744999833405,num_9,1.6529614995233715,845.3911796403584,0.0020932997576892376,0.09814709983766079,845.69114930043,846.1745055402164,846.4744392000139,846.9744336400647,847.274382899981,847.374521500431,855.3910752004012,855.3910752004012,855.3911259402987,0.0014184997417032719,0.09808140015229583,856.3910194002092,857.4078982002102,857.5744560002349,858.0744082001038,10.014565099962056,,865.507700400427,0.017258699983358383,865.507700400427,0.114650699775666,1.0,3.864983699750155,869.4080701000057,0.002397499978542328,0.0980698000639677,875.4243224002421,875.5910390401725,6.214665399864316,6.314500099979341,876.5909349001013,895.5908665401396,895.5909270001575,26.21461939997971,26.314557100180537,896.5908692004159,898.6075733001344,0.0003033997491002083,0.09790130006149411,928.6074877004139,30.031162099912763,898.6075733001344,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
