loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.733718319796026,0.0007513002492487431,0.10066200001165271,17.14711399981752,17.41397329000756,17.830458200071007,17.830458200071007,0.01758220000192523,0.11767429998144507,32.83062000013888,15.017734600231051,32.963918999768794,32.963918999768794,0.017747200094163418,0.1177026997320354,space,7.002275900449604,,,,,,,,,,,,,,,,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
0,0,0,0,,,,,,,,,,,,,,,,,,40.01386919990182,0.0015406999737024307,0.09841289976611733,46.030536300037056,6.015077299904078,46.147092499770224,0.028917099814862013,0.1317174998112023,52.147421800065786,6.031772599555552,52.246999899856746,0.03442439949139953,0.13158109970390797,2.0,4.614959499798715,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
1,0,1,0,,,,,,,,,,,,,,,,,,56.89742729999125,0.00023909984156489372,0.09937109984457493,62.88031279994175,6.01568750012666,63.11394409975037,0.10758049972355366,0.21603329991921782,,6.015830100048333,69.11455880012363,0.0185116995126009,0.11576739978045225,0.0,1.5983225000090897,6.099101800005883,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
2,0,2,0,,,,,,,,,,,,,,,,,,70.7473435997963,0.0002422998659312725,0.09907810017466545,76.7638062001206,6.015705400146544,76.88049130002037,0.03283469984307885,0.13246179977431893,82.88055859971792,5.999327099882066,82.94711960013956,0.0032090996392071247,0.09929879987612367,0.0,1.9300775001756847,,6.098969100043178,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
3,0,3,0,,,,,,,,,,,,,,,,,,84.91395929967985,0.0005969000048935413,0.09722039988264441,90.93046269984916,6.013653900008649,91.06361870002002,0.05394289968535304,0.1470371000468731,97.06368729984388,6.013544399756938,97.13040299993008,0.01478419965133071,0.1133972997777164,2.0,7.099644499830902,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
4,0,4,0,,,,,,,,,,,,,,,,,,104.2640583999455,0.000515300314873457,0.11397430021315813,110.28036049986258,6.014097700361162,110.39727189997211,0.03806320019066334,0.13084600027650595,116.39698639977723,6.030607100110501,116.4970201998949,0.03317740000784397,0.1308297999203205,0.0,1.9319352000020444,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
5,0,5,0,,,,,,,,,,,,,,,,,,118.46379349986091,0.00042929966002702713,0.09791799960657954,124.48028420004994,6.0146484998986125,124.5968781998381,0.03816669946536422,0.13118719961494207,130.59693280002102,6.031184799503535,130.69691359996796,0.033829199615865946,0.13114629965275526,0.0,1.8650169000029564,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
6,0,6,0,,,,,,,,,,,,,,,,,,132.5971065997146,0.0002202000468969345,0.09897019993513823,138.5969076999463,6.032272099982947,138.74722749972716,0.059864699840545654,0.14887489983811975,144.74688680004328,6.015615999698639,144.81345580006018,0.01824349956586957,0.1156685994938016,0.0,1.0985091999173164,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
7,0,7,0,,,,,,,,,,,,,,,,,,145.94711160007864,0.00022569997236132622,0.09917300008237362,151.96355490013957,6.015825300011784,152.08010869985446,0.02915599988773465,0.13241810025647283,158.08019719971344,5.999048700090498,158.14681519987062,0.0024399999529123306,0.09893620014190674,0.0,1.164269800297916,,6.099082500208169,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
8,0,8,0,,,,,,,,,,,,,,,,,,159.34712309995666,0.0005099000409245491,0.09707960020750761,165.3635686999187,6.013972400221974,165.4801066997461,0.03316000010818243,0.13042799988761544,171.48021150007844,6.030425400007516,171.5800854996778,0.033305800054222345,0.13020400004461408,1.0,2.8312816000543535,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
9,0,9,0,,,,,,,,,,,,,,,,,,174.4469169001095,0.00025369971990585327,0.09929149970412254,180.46357839973643,6.015894199721515,180.58009709976614,0.03209699969738722,0.13250189973041415,186.58010309981182,5.999071199912578,186.6467478997074,0.0024557998403906822,0.09900589985772967,0.0,1.2644055001437664,,6.099128499627113,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
