Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.543575059529395,0.0004998003132641315,0.09240760002285242,17.808925699908286,18.025419039744882,18.308929899707437,18.525519739929585,18.79214289970696,18.79214289970696,0.005376000422984362,0.09284850023686886,33.792224999982864,15.02591250045225,33.92569010006264,0.02836410002782941,0.12609439995139837,39.925619299989194,6.0258725001476705,40.025602699723095,40.025602699723095,0.025959200225770473,0.12588110007345676,space,9.58044459996745,49.659054399933666,49.659054399933666,3.0399765819311142e-05,0.09834680007770658,num_9,4.170119199901819,53.89232083978131,0.0018562995828688145,0.09775029961019754,54.19224300002679,54.675693939998744,54.99237019987777,55.475544939842074,55.79220979986712,55.89222660008818,63.89225200004876,63.89225200004876,63.89223253969103,0.001452199649065733,0.09774999972432852,64.89220630005002,65.9089021999389,66.05873339995742,66.55885009979829,10.014434999786317,10.097632999997586,73.99213259993121,6.54999166727066e-05,73.99213259993121,0.09769489988684654,5.0,8.582063999958336,82.6090724999085,0.0028562000952661037,0.09770170040428638,88.62552629970014,88.79222344011069,6.214351700153202,6.314343900419772,89.82569540012628,108.80884453989566,108.80884529976174,26.231043600011617,26.33102160040289,109.80882530007511,111.80884720012546,111.80884720012546,0.03111519990488887,0.1309608002193272,141.79191169980913,30.014005600009114,30.0973837999627,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,141.8920336998999,0.014218700118362904,0.0974130998365581,147.90880370000377,6.030996799934655,148.008613999933,148.008613999933,0.014098099898546934,0.11441079992800951,space,6.492669000290334,154.54212079988793,154.54212079988793,4.719989374279976e-05,0.0979360998608172,num_9,4.167004100047052,158.75898613976315,0.002475900109857321,0.09811190003529191,159.05871339980513,159.5419493397698,159.84197690011933,160.34198163971305,160.6587501000613,160.74212649976835,168.7420985000208,168.7420985000208,168.7421453400515,0.014446999877691269,0.11440970003604889,169.7421252001077,170.75878869974986,170.94209189992398,171.45879830000922,10.031040099915117,,178.89205439994112,0.033942699898034334,178.89205439994112,0.13116419967263937,2.0,4.898093999829143,183.82566379988566,0.002876400016248226,0.09769750013947487,189.84206809988245,190.02542054010556,6.230503600090742,6.330502700060606,191.0421164999716,210.00873533971608,210.00870539993048,26.213843000121415,26.31363210035488,,213.008683799766,213.008683799766,0.013820999767631292,0.11388170020654798,243.02537509985268,30.03057559998706,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,243.14199429983273,0.014314199797809124,0.11372740007936954,249.15862839994952,6.030457699671388,249.2419902998954,249.2419902998954,0.01370839960873127,0.113688999786973,space,3.899956999812275,253.19198929984123,253.19198929984123,4.009995609521866e-05,0.0980612002313137,num_9,3.4694721000269055,256.72530533988026,0.0023771999403834343,0.09782110014930367,257.0419513997622,257.50858253994954,257.80862649995834,258.30863833995534,258.60863689985126,258.7086251997389,266.7252805996686,266.7252805996686,266.7253055401146,0.0014364002272486687,0.0979809002019465,267.742023000028,268.7251907000318,268.9084148998372,269.4252582998015,10.031320000067353,,276.8585016001016,0.03418490011245012,276.8585016001016,0.13123989989981055,5.0,3.4648148003034294,280.3587531000376,0.0019278000108897686,0.09917940013110638,286.3418267997913,286.5252673398703,6.19910000031814,6.299254300072789,287.54189309990034,306.5418504398316,306.54185219993815,26.215774400159717,26.315699900034815,307.54179879976436,309.55851439991966,309.55851439991966,0.0011554998345673084,0.09908069996163249,339.57509719999507,30.01564700016752,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,339.6751468000002,0.01636729994788766,0.11578239966183901,345.69179419986904,6.03227089997381,345.7917867000215,345.7917867000215,0.03247389988973737,0.13232169998809695,space,3.74931830028072,349.5751318996772,349.5751318996772,3.329990431666374e-05,0.09776189969852567,num_9,2.238745499867946,351.8584592399187,0.002216099761426449,0.09807119984179735,352.1584105999209,352.6418596399948,352.94170959992334,353.44165463987736,353.7417449997738,353.84187099989504,361.8417691998184,361.8417691998184,361.8417201397009,0.01475329976528883,0.11468279967084527,362.85836059972644,363.8417110000737,364.0418294998817,364.5583978998475,10.01453259959817,,371.9917486999184,0.01730289962142706,371.9917486999184,0.1314206998795271,5.0,3.9150060997344553,375.9252959000878,0.0016028997488319874,0.09933160012587905,381.9250143999234,382.0917963400483,6.199161699973047,6.299099499825388,383.09161589993164,402.10845013996584,402.108288299758,26.21580549981445,26.31578220007941,403.1082838997245,405.10830010008067,405.10830010008067,0.015848099719733,0.11568239983171225,435.10819739988074,30.01571309985593,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,435.24155629985034,0.0163651998154819,0.11568029969930649,441.2247035000473,6.015654499642551,441.32493139989674,441.32493139989674,-0.00025410065427422523,0.09934649942442775,space,5.144445400219411,446.52508229995146,446.52508229995146,3.4300144761800766e-05,0.09826900018379092,num_9,1.3683412000536919,447.9581543399021,0.0023574000224471092,0.0981505997478962,448.2583286999725,448.74145544003693,449.05810889974236,449.54132743980733,449.8414996000938,449.94145809998736,457.94144999980927,457.94144999980927,457.94143603984264,0.014815699774771929,0.11478659976273775,458.9581128000282,459.9581356998533,460.15810199966654,460.67481159977615,10.014748899731785,,468.07474080007523,0.017200499773025513,468.07474080007523,0.11485529970377684,2.0,2.765162399969995,470.8750245999545,0.0024606999941170216,0.09792169975116849,476.8748590000905,477.0580912400968,6.21457239985466,6.314569599926472,478.05807709973305,497.0580053400248,497.0582034001127,26.214765899814665,26.31453419988975,498.05789549974725,500.0580209000036,500.0580209000036,0.014629299752414227,0.11449659941717982,530.0745283998549,30.03109289938584,,6.098945499863476,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.2079608999193,0.03144809929654002,0.13106709951534867,30.014288199599832,560.2243782998994,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,560.2911092997529,0.015676199458539486,0.11432799929752946,566.2910821000114,6.014268299564719,566.3910472998396,566.3910472998396,0.01449299929663539,0.114264699164778,space,3.550448200199753,569.974231199827,569.974231199827,3.910018131136894e-05,0.09701019991189241,num_9,1.5689239003695548,571.6077546399086,0.0027287001721560955,0.0979029000736773,571.9077328997664,572.3909285400063,572.6910602999851,573.207846239768,573.5076007000171,573.5910689998418,581.6078225998208,581.6078225998208,581.6077244399115,0.0012652999721467495,0.09786729980260134,,583.6076716999523,583.8076976998709,584.2909567998722,10.01441719988361,10.098034999798983,591.7076447997242,0.002201099880039692,591.7076447997242,0.09802290005609393,5.0,2.996379100251943,594.7410976998508,0.0024926001206040382,0.09813750023022294,600.7576496000402,600.9242773396894,6.214771100319922,6.314780300017446,601.9409536998719,620.9241570398211,620.9243426998146,26.214845000300556,26.314777800347656,621.9410480000079,623.941088499967,623.941088499967,0.0006200000643730164,0.09801780013367534,653.9239169997163,30.014353400096297,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,654.0574789000675,0.015298899728804827,0.114557099994272,660.0572897996753,6.031086599919945,660.1574615999125,660.1574615999125,0.0145860998891294,0.11452959990128875,space,4.519700599834323,664.7407574998215,664.7407574998215,4.2300205677747726e-05,0.09792580036446452,num_9,1.9046244998462498,666.6907899399288,0.002396899741142988,0.09815829992294312,666.990635199938,667.4739429397508,667.7907811999321,668.2740868400782,668.5907298997045,668.6907286997885,,676.7073601000011,676.707408540044,0.017427099868655205,0.11481070006266236,,678.7240756996907,678.890686399769,679.3906664997339,10.014659499749541,,686.8072238997556,0.017450399696826935,686.8072238997556,0.11464659962803125,2.0,2.1981485998257995,689.0410346998833,0.0015832004137337208,0.09924350026994944,695.0406625997275,695.2073101397604,6.19929590029642,6.2991397003643215,696.2073869998567,715.2071953398175,715.2072101999074,26.199245600029826,26.29916870035231,,718.2072208998725,718.2072208998725,-0.0007099001668393612,0.09915800020098686,748.2071142001078,29.999150299932808,30.09891470009461,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,748.3404159001075,-0.0004767002537846565,0.09910590015351772,754.3235657997429,6.015588799957186,754.4405224998482,754.4405224998482,-0.0001042000949382782,0.09919199999421835,space,10.396719499956816,764.8736930000596,764.8736930000596,4.409998655319214e-05,0.09825559984892607,num_9,3.2759602000005543,768.1904058396816,0.0021285000257194042,0.09798699989914894,768.5069438996725,768.9903364396654,769.2902929997072,769.7735622400418,770.0903451996855,770.19038429996,778.1903087999672,778.1903087999672,778.1903271396644,0.0012552998960018158,0.09809969970956445,779.1902872999199,780.1903598997742,780.3736462998204,780.8739265999757,10.010874999687076,10.097841199953109,788.2900696997531,0.0006028995849192142,788.2900696997531,0.09778239950537682,5.0,3.098398400004953,791.423814999871,0.003479599952697754,0.09749130019918084,797.4235801999457,797.6068181401118,6.213956099934876,6.297289100009948,798.6068404996768,817.6068346398882,817.6068412000313,26.21408350020647,26.31417779996991,,820.6068401997909,820.6068401997909,0.014115999918431044,0.11404859973117709,850.6233564000577,30.03061129990965,,6.099074900150299,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,850.7566065001301,0.03128569992259145,0.13056589988991618,856.7733323997818,6.013908699620515,856.8399930000305,856.8399930000305,0.013982399832457304,0.11399509944021702,space,2.5249275001697242,859.38978460012,859.38978460012,1.0599847882986069e-05,0.09965099999681115,num_9,1.2552340002730489,860.7066919399425,0.0020330999977886677,0.09807380009442568,861.0065945000388,861.4898093399592,861.8066417998634,862.2899087398313,862.6065793996677,862.6899870997295,870.7066093999892,870.7066093999892,870.7066604398191,0.001240200363099575,0.09808380017057061,,872.7065874999389,872.9066101000644,873.3899137000553,10.014617200009525,10.098040600307286,880.8064210000448,0.001506200060248375,880.8064210000448,0.09788350015878677,6.0,3.9307268001139164,884.7734747999348,0.0019868998788297176,0.09839250007644296,890.7897540000267,890.956370339822,6.214945700019598,6.298255799803883,891.9564751000144,910.9731084397994,910.9732256000862,26.23173790005967,26.331663199700415,911.989838599693,913.9731191997416,913.9731191997416,0.0007347995415329933,0.09824819955974817,943.9896597997285,30.01482449984178,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
