loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.84098761798814,0.0005262000486254692,0.1197652998380363,13.55413731019944,13.987282300367951,0.020229899790138006,0.13644929975271225,15.019862200133502,29.003893400076777,29.053867800161242,29.053867800161242,0.0030756997875869274,0.10303610004484653,space,3.287549499422312,,,,,,,,,,,,,,,,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
0,0,0,0,,,,,,,,,,,,,,,,32.38739430019632,0.0014638998545706272,0.11608019983395934,5.9997626999393106,38.42068880004808,38.52074980037287,0.031167299952358007,0.16634240001440048,5.999826199840754,44.554096300154924,44.62066220026463,0.03569649951532483,0.16641639964655042,2.0,7.215094100218266,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
1,0,1,0,,,,,,,,,,,,,,,,51.87067100033164,0.0004555000923573971,0.13021390000358224,6.030043400358409,57.904176600277424,58.00414040032774,0.02647319994866848,0.1633664001710713,6.0300584002397954,64.03732780041173,64.10383639996871,0.030490600038319826,0.16303159995004535,0.0,3.4670597999356687,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
2,0,2,0,,,,,,,,,,,,,,,,67.60412050038576,0.00024659978225827217,0.13260219991207123,6.015944399870932,73.62058930005878,73.73735530022532,0.028508799616247416,0.16584909986704588,6.032282299827784,79.75370620004833,79.82053370028734,0.01633419981226325,0.14899299992248416,0.0,3.0002967002801597,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
3,0,3,0,,,,,,,,,,,,,,,,82.85379880014807,0.00023820018395781517,0.11554550006985664,6.015575800091028,88.85373850027099,88.98720630025491,0.03384409984573722,0.1656013997271657,6.032241200096905,95.0038753002882,95.07065040012822,0.016727099660784006,0.1490411995910108,2.0,4.866544499993324,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
4,0,4,0,,,,,,,,,,,,,,,,99.97069470025599,0.00015869969502091408,0.11578559968620539,5.999059499707073,105.97044160030782,106.22047050017864,0.1143390997312963,0.2825459996238351,6.015740599948913,,112.18713590037078,0.016869699582457542,0.1490665995515883,1.0,3.366656399797648,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
5,0,5,0,,,,,,,,,,,,,,,,115.58742710016668,0.0001781000755727291,0.11564139975234866,6.015701700001955,121.5870985002257,121.72043600026518,0.025522899813950062,0.16564029967412353,5.999149599578232,127.73700230009854,127.80389170022681,0.016229999717324972,0.1491928999312222,2.0,3.166927999816835,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
6,0,6,0,,,,,,,,,,,,,,,,131.0038072001189,0.0005049998871982098,0.11500310013070703,6.011537400074303,137.0167008000426,137.15369549999014,0.044451499823480844,0.18188560009002686,6.015012199990451,143.1703861001879,143.22038020007312,0.015752799808979034,0.14829379972070456,2.0,3.1005347999744117,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
7,0,7,0,,,,,,,,,,,,,,,,146.3539876001887,0.0001520998775959015,0.11563039990141988,6.015725600067526,152.35370620014146,152.48708690004423,0.04282679967582226,0.16555529972538352,6.0322864996269345,158.50360650010407,158.57059520017356,0.016460899729281664,0.14894899958744645,1.0,3.1667797998525202,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
8,0,8,0,,,,,,,,,,,,,,,,161.77048660023138,0.00026930030435323715,0.11602620035409927,6.0153429000638425,167.77035580016673,167.9000797001645,0.0446985000744462,0.1450836001895368,6.015562000218779,173.90367380017415,173.98700410034508,0.015975399874150753,0.14875779999420047,1.0,3.467160100117326,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
9,0,9,0,,,,,,,,,,,,,,,,177.48718960024416,0.0005156002007424831,0.11392500018700957,6.014020400121808,183.48693779995665,183.60017480002716,0.0320334997959435,0.1472090999595821,6.013832400087267,189.62022759998217,189.7035993002355,0.015082099940627813,0.1473666001111269,1.0,2.3332317997701466,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
10,0,10,0,,,,,,,,,,,,,,,,192.07033680006862,0.0002125999890267849,0.11574999988079071,6.015613599680364,198.0702309999615,198.18324970034882,0.023285499773919582,0.13236809987574816,5.999209200032055,204.18707920005545,204.28698370000347,0.01655569951981306,0.14898299984633923,0.0,3.100304899737239,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
11,0,11,0,,,,,,,,,,,,,,,,207.42029950022697,0.0002965000458061695,0.13220869982615113,6.011727300006896,213.43358900025487,213.55376629997045,0.02509049978107214,0.1654758001677692,6.032212499994785,219.57013470027596,219.63686150033027,0.01622929982841015,0.14867560006678104,3.0,2.9669808000326157,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
12,0,12,0,,,,,,,,,,,,,,,,222.63688840018585,0.00017769960686564445,0.11527329962700605,6.0116935996338725,228.65000890009105,228.7701693000272,0.043024399783462286,0.16529639950022101,6.031971999909729,234.78678640024737,234.8535674000159,0.016164099797606468,0.1487479996867478,0.0,3.4336492996662855,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
13,0,13,0,,,,,,,,,,,,,,,,238.3204316003248,0.00017370004206895828,0.11561079975217581,6.015265800058842,244.32034680014476,244.50380460033193,0.08085459982976317,0.21534369979053736,6.015316399745643,,250.53688340028748,0.0163265997543931,0.14863159973174334,0.0,2.0667542000301182,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
14,0,14,0,,,,,,,,,,,,,,,,252.63682020036504,0.00014750007539987564,0.11527270032092929,6.032084600068629,258.6534186000936,258.7497944002971,0.027732999995350838,0.12841340014711022,6.01543250028044,264.77006180025637,264.85345320031047,0.016279499977827072,0.14863740000873804,1.0,2.199988900218159,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
15,0,15,0,,,,,,,,,,,,,,,,267.08685640012845,0.00015170034021139145,0.11542090028524399,6.011703100055456,273.09983520023525,273.20354790007696,0.025143000297248363,0.14867160003632307,6.015367600135505,279.2200335999951,279.3034574002959,0.01594230020418763,0.14868459990248084,0.0,2.6006928998976946,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
16,0,16,0,,,,,,,,,,,,,,,,281.9367955001071,0.00016609998419880867,0.11579609988257289,5.999213600065559,287.9497634000145,288.03307930007577,0.005872800014913082,0.132487699855119,5.999128399882466,294.0533164003864,294.15336090000346,0.016663899645209312,0.14916939986869693,0.0,1.6335221999324858,6.095459000207484,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
17,0,17,0,,,,,,,,,,,,,,,,295.8200195003301,0.0002728002145886421,0.11558900028467178,6.015649400185794,301.81684950040653,301.9329942003824,0.03047070000320673,0.13242379995062947,6.032481399830431,307.9367066002451,308.036829800345,0.01663989992812276,0.1489133001305163,2.0,2.200078200083226,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
18,0,18,0,,,,,,,,,,,,,,,,310.27002739999443,0.00023540016263723373,0.11558199999853969,6.011768199969083,316.28301420016214,316.38308100029826,0.02081619994714856,0.13214890006929636,6.03213099995628,322.38662150036544,322.486679200083,0.01646439963951707,0.148826299700886,0.0,2.500079700257629,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
19,0,19,0,,,,,,,,,,,,,,,,325.0199327999726,0.00017040036618709564,0.1159161003306508,5.999148200266063,331.0199288004078,331.19971900014207,0.07398999994620681,0.1992969000712037,6.0323049002327025,337.20327060017735,337.2365586999804,0.016373800113797188,0.14897699980065227,0.0,1.2337595000863075,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
20,0,20,0,,,,,,,,,,,,,,,,338.5034624002874,0.0002343999221920967,0.11528859985992312,6.011600899975747,344.5161780002527,344.61997260013595,0.02188749983906746,0.14865679992362857,6.015237699728459,350.63647400029004,350.71986469998956,0.01621849974617362,0.14873069943860173,0.0,1.400043800007552,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
21,0,21,0,,,,,,,,,,,,,,,,352.15333650028333,0.00029140012338757515,0.11513769999146461,6.015031500253826,358.15312519995496,358.27007480012253,0.0252618002705276,0.14844859996810555,6.015175899956375,364.2864280999638,364.36988310003653,0.016110099852085114,0.1484129000455141,0.0,1.500148800201714,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
22,0,22,0,,,,,,,,,,,,,,,,365.9031917001121,0.00015139998868107796,0.11559699987992644,6.01199849974364,371.91973530035466,372.0364918000996,0.030470899771898985,0.16556559968739748,6.032706799916923,378.0530459000729,378.11992530012503,0.01634439965710044,0.14891949947923422,0.0,1.4333647000603378,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
23,0,23,0,,,,,,,,,,,,,,,,379.58658790029585,0.00015670014545321465,0.11575180012732744,6.011881600134075,385.59931540023535,385.7030865000561,0.021633900236338377,0.1491554002277553,6.032384300138801,391.70303310034797,391.80314770014957,0.016308399848639965,0.14890829985961318,2.0,1.8335405001416802,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
24,0,24,0,,,,,,,,,,,,,,,,393.66978080011904,0.0002033999189734459,0.11562819965183735,6.0155254998244345,399.66961680026725,399.80311900004745,0.03225309960544109,0.1655689999461174,6.032139199785888,405.81959370011464,405.8863030001521,0.016288899816572666,0.14914779970422387,0.0,1.8839965001679957,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
25,0,25,0,,,,,,,,,,,,,,,,407.8029880002141,0.00016620010137557983,0.11579679977148771,5.999141399748623,413.8029206003994,413.9160400000401,0.023999199736863375,0.13242379995062947,5.999055199790746,419.9195497003384,420.0197503003292,0.016468599904328585,0.14906359976157546,0.0,1.4669293002225459,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
26,0,26,0,,,,,,,,,,,,,,,,421.5197215001099,0.0004341001622378826,0.11501820012927055,6.015177299734205,427.51994720008224,427.6364738000557,0.024190499912947416,0.1446616998873651,6.031794799957424,433.63615720020607,433.73629110027105,0.015913999639451504,0.14836509991437197,0.0,1.4002664000727236,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
27,0,27,0,,,,,,,,,,,,,,,,435.1695344001055,0.00033430010080337524,0.11499219993129373,6.015008700080216,441.16947940038517,441.40281590027735,0.09565089968964458,0.26519429963082075,6.0316490000113845,,447.40297000017017,0.032577299512922764,0.1651131995022297,0.0,1.2669507996179163,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
28,0,28,0,,,,,,,,,,,,,,,,448.7028380003758,0.0002991002984344959,0.11525230016559362,6.015380100347102,454.7028483999893,454.8159217000939,0.019861800130456686,0.12835210002958775,6.015212200116366,460.8362116003409,460.91943769995123,0.01632109982892871,0.1485147001221776,0.0,1.0000881999731064,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
29,0,29,0,,,,,,,,,,,,,,,,461.9529647002928,0.00016300007700920105,0.11571309994906187,6.012067900039256,467.9657225003466,468.06939480034634,0.02651109965518117,0.14908149978145957,6.015668499749154,474.0863973000087,474.1694829002954,0.016654899809509516,0.1490486995317042,0.0,0.8669404000975192,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
30,0,30,0,,,,,,,,,,,,,,,,475.0693928003311,0.00017020013183355331,0.11582130007445812,6.012116599828005,481.08245010022074,481.20279600005597,0.0355358999222517,0.1657515000551939,5.999128200113773,487.21927969995886,487.28603630000725,0.016735299956053495,0.1490181996487081,2.0,1.866733499802649,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
31,0,31,0,,,,,,,,,,,,,,,,489.1859644004144,0.00019249971956014633,0.11544919991865754,6.015342799946666,495.18594920029864,495.2991244001314,0.019078699871897697,0.12852489994838834,6.032453399617225,501.3025648002513,501.4026455003768,0.01622719969600439,0.14882459957152605,1.0,1.7340782000683248,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
32,0,32,0,,,,,,,,,,,,,,,,503.16936400020495,0.00024509988725185394,0.1155101996846497,6.015392799861729,509.1691821999848,509.28228919999674,0.031196399591863155,0.12860019970685244,6.015412999782711,515.3026627004147,515.3858932000585,0.016393499448895454,0.14882109966129065,0.0,1.3668222003616393,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
33,0,33,0,,,,,,,,,,,,,,,,516.7859788001515,0.00022349972277879715,0.11530910013243556,6.015329099725932,522.7859192001633,522.9359516003169,0.05542989959940314,0.1820028000511229,6.015179899986833,528.9524012999609,529.0024605002254,0.01579159963876009,0.14853489957749844,2.0,1.3004056001082063,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
34,0,34,0,,,,,,,,,,,,,,,,530.3361244001426,0.00045449985191226006,0.131190599873662,6.0145084001123905,536.3526392001659,536.4694450004026,0.029282200150191784,0.1642462001182139,6.030873700045049,542.4857425000519,542.5524829002097,0.015696699731051922,0.14750399999320507,0.0,1.3995932000689209,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
35,0,35,0,,,,,,,,,,,,,,,,543.986330000218,0.00022080028429627419,0.13264650013297796,5.9992311000823975,550.0192619999871,550.4860657001846,0.25460699992254376,0.5327734998427331,6.015856900252402,,556.1988507001661,0.014562900178134441,0.14902970008552074,0.0,1.4024205999448895,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
36,0,36,0,,,,,,,,,,,,,,,,557.6358811003156,0.0008189002983272076,0.13039940036833286,6.030269000213593,563.6691789003089,563.769294500351,0.028270400129258633,0.16338220005854964,6.030201300047338,569.8024865002371,569.8690333999693,0.03287380002439022,0.163599600084126,1.0,1.4649706999771297,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
37,0,37,0,,,,,,,,,,,,,,,,571.3692169999704,0.00038800016045570374,0.13239100016653538,5.999061500187963,577.4024759000167,577.5190657000057,0.050170499831438065,0.1824321998283267,6.015669499989599,583.5524613000453,583.585636000149,0.018370799720287323,0.14891669992357492,0.0,1.7647923999466002,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
38,0,38,0,,,,,,,,,,,,,,,,585.3860296001658,0.000529400072991848,0.13052849983796477,6.030556300189346,591.4191250000149,591.5690860999748,0.08878559991717339,0.21376430010423064,6.013883300125599,,597.602323200088,0.016260699834674597,0.14706959994509816,1.0,0.9317827997729182,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
39,0,39,0,,,,,,,,,,,,,,,,598.569164799992,0.0004786001518368721,0.1304608997888863,6.013807300012559,604.5856483001262,604.7022729003802,0.028563200030475855,0.16400890005752444,6.030438399873674,610.7356647001579,610.8022111002356,0.03262809989973903,0.16370699973776937,2.0,1.1319593996740878,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
40,0,40,0,,,,,,,,,,,,,,,,611.9689842001535,0.0006915000267326832,0.13050560001283884,6.030169799923897,618.0022631003521,618.1190119003877,0.04260529996827245,0.18020399985834956,6.013560299761593,624.1522687999532,624.1855903002433,0.01621839962899685,0.1467269998975098,1.0,1.0314147002063692,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
41,0,41,0,,,,,,,,,,,,,,,,625.2526104003191,0.00044839968904852867,0.13129709986969829,6.031146099790931,631.28552830033,631.4022335000336,0.04802389955148101,0.1811230997554958,6.014577999711037,637.4358614999801,637.4690304002725,0.017196599394083023,0.14773989981040359,0.0,0.9980546003207564,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
42,0,42,0,,,,,,,,,,,,,,,,638.5022055003792,0.0007837000302970409,0.13056160043925047,6.030371400061995,644.5354705001228,644.6522079999559,0.04942520009353757,0.18045279989019036,6.013702400028706,650.6853432003409,650.7187052001245,0.014409699942916632,0.14685390004888177,2.0,1.1338690998964012,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
43,0,43,0,,,,,,,,,,,,,,,,651.8856585002504,0.0002313000150024891,0.1324362000450492,5.99901399994269,657.9019393003546,658.0689437002875,0.06733529968187213,0.21584359975531697,6.0157808996737,,664.101917100139,0.018296099733561277,0.14903679955750704,2.0,2.231653700117022,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
44,0,44,0,,,,,,,,,,,,,,,,666.3687904002145,0.00017510028555989265,0.13262930000200868,6.015907899942249,672.3685363000259,672.5020308000967,0.03186800004914403,0.16615490010008216,5.999030800070614,678.5353268999606,678.601888500154,0.035524699836969376,0.16577439988031983,2.0,1.131404499989003,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
45,0,45,0,,,,,,,,,,,,,,,,679.7690614000894,0.0006200000643730164,0.13028449984267354,6.013567099813372,685.7853055000305,685.9351813001558,0.06526399962604046,0.19693159963935614,6.030274499673396,691.9686075001955,692.0019367001951,0.03290849970653653,0.16353159956634045,1.0,1.2648475002497435,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
46,0,46,0,,,,,,,,,,,,,,,,693.3019306999631,0.0006463001482188702,0.13034769985824823,6.013722500298172,699.3185743000358,699.8519638003781,0.2716419999487698,0.58030050015077,6.030280299950391,,705.5314949001186,0.03292039968073368,0.14302749978378415,1.0,1.0317501001991332,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
47,0,47,0,,,,,,,,,,,,,,,,706.6020623999648,0.0005103000439703465,0.13056029984727502,6.013842700049281,712.6185321002267,712.7351586003788,0.035432899836450815,0.16389720002189279,6.030490099918097,718.7682606000453,718.8183503001928,0.015249999705702066,0.14722750009968877,1.0,0.9995077000930905,,7461,Visual,2025-02-19_19h29.17.628,Visual_Condition_v2,2022.2.5,59.77625750419384,
