Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,Begin_Rinse.stopped,Finish_rinse.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.925020601600409,0.0005588997155427933,0.08429909963160753,16.421944610681386,16.921951610501857,17.188442500308156,17.188442500308156,0.0175199992954731,0.11805070005357265,32.188708200119436,15.017846199683845,32.321993900462985,0.01992730051279068,0.11780999973416328,38.32197829987854,6.017776399850845,38.42200310062617,38.42200310062617,0.017942900769412518,0.11783240083605051,space,10.772261499427259,49.238667900674045,49.238667900674045,4.730001091957092e-05,0.09776320029050112,num_9,5.778923999518156,55.07219611005858,0.0019658003002405167,0.09773019980639219,55.37192590069026,55.855524310749026,56.155278800055385,56.65533801065758,56.95525130070746,57.05523720011115,65.07210200000554,65.07210200000554,65.07216741042211,0.0017473995685577393,0.09794170036911964,67.07186520006508,67.2720292005688,67.77197210025042,10.014226200059056,10.097655000165105,75.17177020013332,0.0007229000329971313,75.17177020013332,0.09782150015234947,3.0,6.9814078994095325,82.18864320032299,0.0025557996705174446,0.09698579926043749,88.18863240070641,88.37185181016102,6.21337949950248,6.296876899898052,108.37179051050916,108.35516420006752,26.213342299684882,26.296882399357855,111.37194790039212,111.37194790039212,0.01365629956126213,0.11356399953365326,141.38874550070614,30.030370299704373,,,,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
0,0,0,0,1,0,1,0,,,,,,,,,,,,141.50526909995824,0.014022499322891235,0.1137010995298624,147.52189080044627,6.0302607994526625,147.60525610018522,147.60525610018522,0.013663199730217457,0.11355139967054129,space,6.916633299551904,154.55524150002748,154.55524150002748,3.989972174167633e-05,0.09759739972651005,num_9,4.270040599629283,158.8886434099637,0.0022081006318330765,0.09781599976122379,159.2052469002083,159.68859491022303,160.00541880074888,160.47178851058706,160.77179010026157,160.8718993999064,168.87192689999938,168.87192689999938,168.87183551015332,0.014735800214111805,0.11458879988640547,170.88851509988308,171.08859810046852,171.6052080001682,10.014539300464094,,179.00521800015122,0.017162500880658627,179.00521800015122,0.11497110035270452,3.0,7.732130800373852,186.7719566002488,0.0024771997705101967,0.09788759984076023,192.77184259984642,192.95508211003616,6.214285399764776,6.297850000672042,212.95524361068382,212.95515369996428,26.21441400051117,26.314391400665045,215.95516550075263,215.95516550075263,0.014452200382947922,0.11445659957826138,245.95510710030794,30.014386899769306,169.8718664003536,193.98850509990007,213.97175960056484,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
0,0,0,0,2,0,2,0,,,,,,,,,,,,246.08844000007957,0.015096600167453289,0.11431780084967613,252.1050968002528,6.0310161001980305,252.1884213006124,252.1884213006124,0.014364500530064106,0.11431880109012127,space,3.9495816994458437,256.1884635007009,256.1884635007009,6.369967013597488e-05,0.09800099954009056,num_9,5.373595499433577,261.6051523107104,0.0025522997602820396,0.09768310002982616,261.90504680015147,262.3884719106369,262.7050882000476,263.18838671026754,263.5050891004503,263.5716170007363,271.58841770049185,271.58841770049185,271.58848281009125,0.014643900096416473,0.11470609996467829,273.60504900012165,273.7716452004388,274.2717146007344,10.01458999980241,,281.72163720056415,0.01754500064998865,281.72163720056415,0.11458040028810501,3.0,4.614621000364423,286.3717716000974,0.0025030001997947693,0.09812789969146252,292.3716951003298,292.5550161105581,6.214553199708462,6.314558699727058,312.554891610425,312.55500819999725,26.21458869986236,26.314547000452876,315.5716463001445,315.5716463001445,0.0005051000043749809,0.0979469995945692,345.571477400139,30.014399900101125,272.6050442000851,293.55496430024505,313.5715715000406,30.09771419968456,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
0,0,0,0,3,0,3,0,,,,,,,,,,,,345.6716025006026,0.031291999854147434,0.13109249994158745,351.6547265006229,6.014258800074458,351.77164669986814,351.77164669986814,0.03177320025861263,0.13111660070717335,space,3.677947700023651,355.4882395006716,355.4882395006716,3.569945693016052e-05,0.09806489944458008,num_9,3.7057352997362614,359.2549599100836,0.0028224000707268715,0.09800009988248348,359.55485319998115,360.03817111058163,360.3548758998513,360.8382576107048,361.1551074003801,361.2549251001328,369.2548674000427,369.2548674000427,369.2548931100406,0.0013175997883081436,0.09795589931309223,371.27148920018226,371.4381889998913,371.93818670045584,10.014765199273825,,379.3714004000649,0.017448799684643745,379.3714004000649,0.11428770050406456,3.0,4.297884699888527,383.70508840028197,0.0031940005719661713,0.09716000035405159,389.7215919001028,389.90483851069587,6.230512199923396,6.330563500523567,409.9047732100822,409.9047515001148,26.23052880074829,26.330512800253928,412.90475540049374,412.90475540049374,-0.0002691997215151787,0.09731370024383068,442.92132780048996,30.013888300396502,370.25485080014914,390.9048239002004,410.9047640999779,,6.097629399970174,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
0,0,0,0,4,0,4,0,,,,,,,,,,,,443.02127350028604,0.014421800151467323,0.11374300066381693,449.03797490056604,6.030369000509381,449.1379645001143,449.1379645001143,0.03047650121152401,0.1303793005645275,space,1.7836630996316671,450.9712998000905,450.9712998000905,2.5600194931030273e-05,0.09885049983859062,num_9,4.894003299996257,455.9046912099235,0.0020874999463558197,0.09794359933584929,456.204651100561,456.68802271028983,457.0045910999179,457.48799341069537,457.80464129988104,457.9046328002587,,465.9212244004011,465.92130501000213,0.017336099408566952,0.1312728999182582,467.9379274006933,468.0879261000082,468.5879604006186,10.014589400030673,10.09794919937849,476.00445710029453,0.0014142002910375595,476.00445710029453,0.09804309997707605,3.0,4.165326500311494,480.20451920013875,0.003324899822473526,0.0975144999101758,486.2212275005877,486.3878393107094,6.214019499719143,6.297463899478316,506.38783580986785,506.38779280055314,26.21405819989741,26.31409559957683,509.38771090004593,509.38771090004593,0.014005899429321289,0.11406159959733486,539.3877044999972,30.014008400030434,,487.4044832000509,507.4044047007337,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.5210269000381,0.014278699643909931,0.11397940013557673,569.5209805006161,30.0138900000602,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
1,0,1,0,0,0,0,0,,,,,,,,,,,,569.6209783004597,0.01594220008701086,0.11384990066289902,575.6211049007252,6.01382530014962,575.7210309002548,575.7210309002548,0.013949000276625156,0.11384460050612688,space,3.2486559003591537,579.0209715999663,579.0209715999663,3.879982978105545e-05,0.09761409927159548,num_9,4.284376199357212,583.3543125101365,0.0026743998751044273,0.09789909981191158,583.6544065000489,584.1542651102878,584.454194500111,584.9376353099011,585.2542858999223,585.3542061001062,593.3541745999828,593.3541745999828,593.3542774104513,0.0016833003610372543,0.09791409969329834,595.3541935998946,595.5375391002744,596.0376334004104,10.031126599758863,,603.487336399965,0.034004200249910355,603.487336399965,0.1309167006984353,2.0,6.398183500394225,609.921182400547,0.0022708000615239143,0.09813890047371387,615.920772000216,616.1208231103607,6.2315254006534815,6.348080400377512,636.1040751104243,636.1040451005101,26.214707200415432,26.314729200676084,639.1040299003944,639.1040299003944,0.014717300422489643,0.11469070054590702,669.1206077001989,30.031290200538933,594.3541946001351,,,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
1,0,1,0,1,0,1,0,,,,,,,,,,,,669.2539285998791,0.03196430020034313,0.13134900014847517,675.253917700611,6.031225600279868,675.3539161002263,675.3539161002263,0.031327701173722744,0.13124800100922585,space,2.4315879996865988,677.8206010004506,677.8206010004506,3.4300610423088074e-05,0.09800020046532154,num_9,3.4053946994245052,681.2872970103286,0.002322300337255001,0.09766520000994205,681.6039978004992,682.070589210745,682.3872358007357,682.8705125105568,683.1872239001095,683.2705482998863,691.2705378001556,691.2705378001556,691.270387510676,0.01452220045030117,0.11440750025212765,693.2705767005682,693.4705876000226,693.9706228002906,10.031089500524104,,701.4038941999897,0.01511290017515421,701.4038941999897,0.11443380080163479,3.0,5.1336619993671775,706.5705861002207,0.0015608994290232658,0.09912170004099607,712.5704447003081,712.7538974107243,6.216046799905598,6.316058999858797,732.7370499101468,732.7370532006025,26.199209899641573,26.299215500243008,735.7538555003703,735.7538555003703,0.016049599274992943,0.11595869995653629,765.7702629007399,29.99905399978161,692.2872206000611,,733.7537454999983,30.099058900028467,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
1,0,1,0,2,0,2,0,,,,,,,,,,,,765.8703113002703,0.00036429986357688904,0.0990498997271061,771.8702750001103,5.999037999659777,771.970237900503,771.970237900503,-0.00022369995713233948,0.09900350030511618,space,1.5271300002932549,773.5539013007656,773.5539013007656,4.400033503770828e-05,0.0982230007648468,num_9,3.592177400365472,777.1870002103038,0.0020968997851014137,0.0978713994845748,777.4868983998895,777.9869225098752,778.2870328007266,778.7701927105896,779.0701534003019,779.1534040002152,787.153541800566,787.1869091000408,787.1869162105955,0.0312975998967886,0.1311866994947195,789.1868718005717,789.3703135000542,789.8701937003061,10.01442959997803,10.097852800041437,797.2867427002639,0.0013015000149607658,797.2867427002639,0.09788279980421066,2.0,4.430808000266552,801.7537381006405,0.0028520002961158752,0.09769169986248016,807.7534498004243,807.9366953101941,6.230976699851453,6.330958000384271,827.9367238105275,827.9367401003838,26.21426980011165,26.31423920020461,830.9535329006612,830.9535329006612,3.9599835872650146e-05,0.09754579979926348,860.9533769004047,30.0309207001701,788.2037551002577,808.9534769002348,828.9533948004246,,6.099031000398099,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
1,0,1,0,3,0,3,0,,,,,,,,,,,,861.0699732005596,0.014768300577998161,0.11407919973134995,867.0703413998708,6.031103000044823,867.1702728001401,867.1702728001401,0.01469390094280243,0.11408310011029243,space,1.6236819000914693,868.8365797000006,868.8365797000006,4.0599144995212555e-05,0.09796539973467588,num_9,3.7331520998850465,872.6033042100258,0.0020472006872296333,0.09759930055588484,872.9032713007182,873.3865650099702,873.7030995003879,874.2032697106712,874.5030912999064,874.5865385001525,882.5864414004609,882.5864414004609,882.5865607102402,0.014132500626146793,0.09754050057381392,884.6032020999119,884.786539000459,885.2865519998595,10.01404340006411,,892.719797800295,0.016836000606417656,892.719797800295,0.11434090044349432,2.0,3.9650457007810473,896.7197759002447,0.004312099888920784,0.09739079978317022,902.7364333001897,902.9032232099213,6.214009599760175,6.3140030996873975,922.902970210556,922.9031961001456,26.21414479985833,26.313914299942553,925.9197364998981,925.9197364998981,-0.0002776002511382103,0.09726439975202084,955.9196425005794,30.03058939985931,883.6031991001219,,923.9029692001641,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
