Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Roll_liquid_taste.stopped,p_port_5.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.157598445005714,0.000518798828125,0.10187329910695553,20.639928549714387,20.889835499227047,21.156554950587452,21.439681200310588,0.020521899685263634,0.11835809983313084,15.001796999946237,36.45649950020015,36.523094000294805,0.003908298909664154,0.10181600041687489,42.52309349924326,6.001696499064565,42.62310219928622,42.62310219928622,0.0018394999206066132,0.10175600089132786,space,11.030115202069283,53.6897535007447,53.6897535007447,3.680028021335602e-05,0.0977563988417387,num_9,5.539750799536705,59.28993634898215,0.0021382998675107956,0.09787129983305931,59.58967009931803,60.07304854895919,60.38976000063121,60.87301334943622,61.18974220007658,61.28984620049596,69.30639399960637,69.30651265028864,0.017624100670218468,0.11446420103311539,70.32311669923365,71.30638179928064,71.4731021001935,71.97309049963951,10.014239201322198,10.097704200074077,79.38958469964564,0.0010611005127429962,79.38958469964564,0.09753770008683205,4.0,5.014182100072503,84.44003370031714,0.002473600208759308,0.09818780049681664,90.43974170088768,90.62291114982217,6.214467700570822,6.3146193996071815,91.63972040079534,110.6229084489867,110.62299720011652,26.21448089927435,26.31448549963534,111.63992740027606,113.63969649933279,113.63969649933279,0.00011599995195865631,0.09778800047934055,143.65641020052135,30.014369200915098,,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
0,0,0,0,1,0,1,0,,,,,,,,,,,,143.75629960000515,0.015092600136995316,0.11437380127608776,149.7729874998331,6.031027600169182,149.8729909993708,149.8729909993708,0.03129500150680542,0.13107910193502903,space,4.148435002192855,154.0729839000851,154.0729839000851,3.5000964999198914e-05,0.09788079932332039,num_9,3.1238212008029222,157.23970364984126,0.0020602997392416,0.09789609909057617,,158.02298015002162,158.33960290066898,158.83964804951103,159.1396191995591,159.22296850010753,167.23962390050292,167.2396577505395,0.0011844001710414886,0.09800659865140915,,169.2563160005957,169.42294969968498,169.9396269991994,10.031396798789501,,177.35614809952676,0.017251599580049515,177.35614809952676,0.11453559994697571,5.0,3.8652232997119427,181.2563988007605,0.0015978999435901642,0.09932620078325272,187.27293710038066,187.43961424957962,6.215947899967432,6.315694399178028,188.4396144002676,207.4395457489416,207.43968359939754,26.215949799865484,26.315756300464272,208.43949959985912,210.4395563006401,210.4395563006401,0.015831800177693367,0.115794001147151,240.43948929943144,30.015810700133443,167.23962390050292,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
0,0,0,0,2,0,2,0,,,,,,,,,,,,240.5728398002684,0.016502201557159424,0.11571440100669861,246.589502800256,5.999016601592302,246.65616700053215,246.65616700053215,-0.0003398992121219635,0.09902630187571049,space,3.125078000128269,249.83947299979627,249.83947299979627,4.98015433549881e-05,0.09776450134813786,num_9,3.0532050989568233,252.93951855059714,0.002764100208878517,0.09804859943687916,253.23936549946666,253.72269565071912,254.03951489925385,254.52285284940154,254.8394501004368,254.93948250077665,262.93950019963086,262.93944175001235,0.001716500148177147,0.09800090081989765,263.93933800049126,264.95611450076103,265.1228040996939,265.6227707993239,10.014652600511909,,273.0561407003552,0.016496900469064713,273.0561407003552,0.11481000110507011,3.0,4.032439600676298,277.1229870002717,0.0016850009560585022,0.0994878001511097,283.1394135002047,283.289382349886,6.1993418000638485,6.299335500225425,284.28942530043423,303.2893698496744,303.28939240053296,26.19937689974904,26.29931460134685,304.28935139998794,306.3060059994459,306.3060059994459,0.0160359013825655,0.1159514021128416,336.3226254992187,29.999261001124978,262.93950019963086,6.099002800881863,30.09943490102887,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
0,0,0,0,3,0,3,0,,,,,,,,,,,,336.42262749932706,0.0007848013192415237,0.09923560172319412,342.4393077995628,6.015877101570368,342.53928120061755,342.53928120061755,0.016064902767539024,0.11591590195894241,space,3.2182548996061087,345.8059631995857,345.8059631995857,3.929995000362396e-05,0.0981505997478962,num_9,3.502808900550008,349.3726354504004,0.0028265994042158127,0.09807099960744381,349.6725328993052,350.155942950584,350.47261250019073,350.9725720493123,351.2726975996047,351.3559009991586,359.37260299921036,359.3725569492206,0.0013823006302118301,0.09812930040061474,360.3892097994685,361.3892071992159,361.5558826997876,362.05589359998703,10.031385600566864,,369.5057858005166,0.03411010093986988,369.5057858005166,0.1311924997717142,5.0,1.8646494001150131,371.4062189999968,0.002472899854183197,0.09792299941182137,377.3891169000417,377.58944184910507,6.214854398742318,6.314556499943137,378.58908290043473,397.6058148501441,397.6058143004775,26.231291599571705,26.331185899674892,398.6225521992892,,400.6224598996341,0.016303399577736855,0.11453519947826862,430.60555849969387,30.01447580009699,359.37260299921036,,30.097982799634337,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
0,0,0,0,4,0,4,0,,,,,,,,,,,,430.7057342994958,-0.0006669983267784119,0.09776770137250423,436.7055357992649,6.014419801533222,436.80567130073905,436.80567130073905,0.031687501817941666,0.13109160028398037,space,1.5196385998278856,438.37234929949045,438.37234929949045,3.499910235404968e-05,0.09821810014545918,num_9,4.010095601901412,442.4390262497589,0.0021647997200489044,0.09803089872002602,442.73887309990823,443.2389926502481,443.5392013993114,444.0222671499476,444.3223058003932,444.4223167002201,452.43926999904215,452.4389534501359,0.0015165004879236221,0.09807620011270046,453.4389704000205,454.4389584995806,454.6389402002096,455.13892539963126,10.014554899185896,10.097871098667383,462.5391038004309,0.00031460076570510864,462.5391038004309,0.0977644994854927,3.0,2.498810799792409,465.07223749905825,0.0015682987868785858,0.09916579909622669,471.0722221005708,471.2392024492845,6.199186500161886,6.2991551999002695,472.238820200786,491.2555422505364,491.2554756999016,26.21577189862728,26.315763698890805,492.2723072990775,494.2721788007766,494.2721788007766,0.0015810001641511917,0.09885269962251186,524.272060200572,30.0323489010334,452.43926999904215,6.0975750014185905,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.405387699604,0.0324156004935503,0.13217169977724552,30.015408800914884,554.3884826991707,30.098910700529814,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
1,0,1,0,0,0,0,0,,,,,,,,,,,,554.471942299977,0.0014072004705667496,0.11566740088164806,560.4886313006282,6.015489500015974,560.5885863993317,560.5885863993317,0.015643801540136337,0.1155003011226654,space,4.1770504005253315,564.8219175990671,564.8219175990671,4.060007631778717e-05,0.09768110141158104,num_9,1.967467000707984,566.8386150507256,0.0021020006388425827,0.0978236012160778,567.1385596003383,567.6385769492015,,568.4385892489925,568.7383914999664,568.8219408001751,576.8218419998884,576.821689149551,0.014522699639201164,0.11457359977066517,577.821709100157,578.8051171991974,579.0386002007872,579.5385199002922,10.014334401115775,,586.9550602007657,0.017300400882959366,586.9550602007657,0.11438830010592937,5.0,3.1647040005773306,590.1554747000337,0.0025335997343063354,0.09776460006833076,596.13832440041,596.3551505507901,6.231038300320506,6.330902799963951,597.3717461992055,616.3384024502709,616.3383891992271,26.21427039988339,26.314287399873137,,619.3550327997655,619.3550327997655,8.839927613735199e-05,0.09752709977328777,649.3715939000249,30.014092100784183,576.8218419998884,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
1,0,1,0,1,0,1,0,,,,,,,,,,,,649.4716053996235,0.014872200787067413,0.11409270018339157,655.4716193992645,6.014209199696779,655.5718000996858,655.5718000996858,0.014254700392484665,0.11418190039694309,space,3.8016598001122475,659.4380645006895,659.4380645006895,3.689900040626526e-05,0.0981220006942749,num_9,3.208064900711179,662.6882884504273,0.0020266007632017136,0.09812760166823864,662.988180000335,663.4714041503146,663.7881614007056,664.2882354503497,664.5881494004279,664.6715348996222,672.6882141996175,672.6882290506735,0.0013164002448320389,0.09806180000305176,,674.704839900136,674.8881567008793,675.3883388005197,10.014723001047969,,682.8048149999231,0.016887400299310684,682.8048149999231,0.11461990140378475,3.0,2.4653222989290953,685.3049718998373,0.0018047001212835312,0.09917799942195415,691.3214255999774,691.4882430491969,6.215911200270057,6.315765900537372,692.4880749993026,711.4880198502913,711.4880439005792,26.215720299631357,26.31558210030198,712.4879487995058,714.4880101997405,714.4880101997405,0.015706799924373627,0.11569149978458881,744.5045679006726,30.0321939997375,672.6882141996175,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
1,0,1,0,2,0,2,0,,,,,,,,,,,,744.6214899998158,0.01610400155186653,0.11554020084440708,750.621210899204,6.015640500932932,750.7212214004248,750.7212214004248,0.01561020128428936,0.1155214011669159,space,3.7878362014889717,754.5545700006187,754.5545700006187,3.709830343723297e-05,0.09809799864888191,num_9,3.498692002147436,758.0879334492608,0.0017037000507116318,0.09832490049302578,758.3878582995385,758.8711979502812,759.1711685005575,759.6712293496355,759.9710933994502,760.0713845994323,768.0711362008005,768.0709999503567,0.014915701001882553,0.114792600274086,769.0711080990732,770.0543491002172,770.2711628004909,770.7711254991591,10.014598101377487,10.098296001553535,778.1878302004188,0.001362701877951622,778.1878302004188,0.09798800200223923,4.0,2.331436699256301,780.5546090006828,0.0025065001100301743,0.09769650176167488,786.5711077991873,786.7377725506201,6.214350400492549,6.314402600750327,787.7376617006958,806.7543551495298,806.7544229999185,26.231067901477218,26.331350101158023,807.7710183002055,,809.7710251994431,0.016010601073503494,0.11434350162744522,839.7708956990391,30.014120200648904,768.0711362008005,,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
1,0,1,0,3,0,3,0,,,,,,,,,,,,839.8708592001349,0.01487870141863823,0.11422920227050781,845.8540464006364,6.013870801776648,845.9374064002186,845.9374064002186,0.014363402500748634,0.11396980285644531,space,2.6838457006961107,848.654160099104,848.654160099104,4.2499974370002747e-05,0.09738809987902641,num_9,3.735316401347518,852.4544839506968,0.0016347989439964294,0.09841839969158173,852.7709988001734,853.2372808495536,853.5374097004533,854.0373624490574,,854.4374694991857,862.4374554995447,862.4374872503802,0.015005799010396004,0.11493339948356152,863.4373534992337,864.4374288003892,864.6374539006501,865.1374603994191,10.014885099604726,,872.5705862008035,0.01693829894065857,872.5705862008035,0.1147645004093647,4.0,2.2989266011863947,874.9042569994926,0.0015774015337228775,0.09925520047545433,880.9207272995263,881.0873290507122,6.215776700526476,6.315731899812818,882.0874503999949,901.08731804993,901.0874921008945,26.215873800218105,26.31566660106182,902.0872840993106,904.0872738994658,904.0872738994658,0.015789302065968513,0.11562740057706833,934.1038377992809,30.032242400571704,862.4374554995447,6.097209801897407,,,,,,,,8576,Gustatory,2024-06-14_14h17.39.498,Gustatory_Condition_v2,2022.2.5,30.01079787645974,
