loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.766065671481194,0.0005548000335693359,0.10975539870560169,16.182228999212384,16.482459509931505,16.89872550033033,16.89872550033033,0.015473099425435066,0.10994759947061539,31.915542900562286,15.026563799008727,32.01558740064502,32.01558740064502,0.026649000123143196,0.1265134010463953,space,7.470658900216222,,,,,,,,,,,,,,,,,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
0,0,0,0,,,,,,,,,,,,,,,,,,39.5321935005486,0.0006374996155500412,0.09950369969010353,45.53222190029919,5.999558700248599,6.099584000185132,45.648721899837255,0.012070400640368462,0.11617260053753853,51.648856399580836,6.016251601278782,51.74904439970851,0.01885630190372467,0.11636420153081417,1.0,3.1983068007975817,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
1,0,1,0,,,,,,,,,,,,,,,,,,54.98221720010042,0.00024300068616867065,0.09890099987387657,60.998930498957634,6.015742300078273,,61.13237369991839,0.03817720152437687,0.14933090098202229,67.13216819986701,6.015705700963736,67.19894020073116,0.017130300402641296,0.1156041007488966,0.0,2.2329852003604174,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
2,0,2,0,,,,,,,,,,,,,,,,,,69.4658867996186,0.00022970139980316162,0.09905949980020523,75.46549890004098,6.032325200736523,,75.59877550043166,0.02847830019891262,0.13227550126612186,81.58207770064473,6.032330801710486,81.68201160058379,0.01693030074238777,0.11573450081050396,0.0,2.0665051005780697,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
3,0,3,0,,,,,,,,,,,,,,,,,,83.78245189972222,0.00022280029952526093,0.09953049942851067,89.79890289902687,6.015777500346303,,89.91539720073342,0.031209399923682213,0.13242390006780624,95.91553680039942,5.999108601361513,95.9988583996892,0.018115101382136345,0.11582980118691921,3.0,2.3653052002191544,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
4,0,4,0,,,,,,,,,,,,,,,,,,98.3989301007241,0.00025200098752975464,0.09927100129425526,104.41549300029874,6.015760799869895,,104.54870240017772,0.05402360111474991,0.1491008009761572,110.54884810000658,6.015778001397848,110.61542630009353,0.01836230233311653,0.11568180099129677,2.0,4.3317374009639025,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
5,0,5,0,,,,,,,,,,,,,,,,,,114.98247949965298,0.0002347007393836975,0.09915640018880367,120.98210700042546,5.999174900352955,6.0991639997810125,121.09862219914794,0.014633599668741226,0.11585929989814758,127.09875470027328,6.016001900658011,127.19874379970133,0.0184968002140522,0.11572100035846233,0.0,1.9982371013611555,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
6,0,6,0,,,,,,,,,,,,,,,,,,129.23238950036466,0.00048059970140457153,0.09702550061047077,135.23223700001836,6.030547000467777,,135.3826269991696,0.04469829984009266,0.14747600071132183,141.38218550011516,6.013877799734473,141.44871629960835,0.014776701107621193,0.11371240019798279,3.0,4.766566200181842,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
7,0,7,0,,,,,,,,,,,,,,,,,,146.24909090064466,0.00024150125682353973,0.09914870001375675,152.26540089957416,6.015749201178551,,152.38205249980092,0.030802501365542412,0.13235080055892467,158.38206000067294,6.032500201836228,158.4819162003696,0.0351095013320446,0.13241460174322128,0.0,1.8313076999038458,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
8,0,8,0,,,,,,,,,,,,,,,,,,160.34890019893646,0.0005231015384197235,0.09729130007326603,166.34877729974687,6.030759101733565,,166.49858310073614,0.04621780104935169,0.14748590067029,172.49878709949553,6.0139718018472195,172.56537470035255,0.016534002497792244,0.11383870244026184,2.0,2.731896299868822,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
9,0,9,0,,,,,,,,,,,,,,,,,,175.3323618993163,0.0002397000789642334,0.09922200068831444,181.33198729902506,5.9990357998758554,6.099004801362753,181.46539779938757,0.027760500088334084,0.13229830004274845,187.46529980003834,5.99904060177505,187.53196590021253,0.002376401796936989,0.09886740148067474,0.0,2.4308700002729893,6.09895340166986,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
10,0,10,0,,,,,,,,,,,,,,,,,,189.99890490062535,0.0005616992712020874,0.09721279889345169,195.9987509995699,6.030571699142456,,196.14857479929924,0.04744750075042248,0.1473568007349968,202.1487012989819,6.014009200036526,202.21535179950297,0.01657780073583126,0.11390750110149384,1.0,2.964739700779319,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
11,0,11,0,,,,,,,,,,,,,,,,,,205.21567129902542,0.00061819888651371,0.0968730989843607,211.21527989953756,6.0301935989409685,,211.3318562991917,0.021946599707007408,0.11356239952147007,217.3319431003183,6.013459399342537,217.43187410011888,0.016165200620889664,0.11337330006062984,1.0,1.2651287000626326,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
