Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.151154601480812,0.0004877997562289238,0.0904413997195661,14.41652029985562,14.64995351973921,14.899818199686706,15.133375119697302,15.399803400039673,15.399803400039673,0.023668999783694744,0.12380609987303615,30.399907399900258,15.023836500011384,30.51690289983526,0.010521499905735254,0.10715579986572266,36.49980189977214,6.006968399975449,6.090292899869382,36.5999513999559,36.5999513999559,0.02441429952159524,0.12388299964368343,space,6.233898099977523,42.86660869978368,42.86660869978368,3.50000336766243e-05,0.09541440010070801,num_9,4.318644699640572,47.233106419723484,0.0014353999868035316,0.11561649991199374,47.54990929970518,48.03330512000248,48.34993059979752,48.83328361976892,49.149987099692225,49.21670700004324,57.216608399990946,57.216608399990946,57.21659971987829,0.015708799939602613,0.11563179967924953,58.216538900043815,59.21658700006083,59.416572500020266,59.8997891000472,10.01201989967376,10.098919599782676,67.33323229989037,0.002118899952620268,67.33323229989037,0.09913599956780672,7.0,7.147822499740869,74.51658680010587,0.003942800220102072,0.09694400010630488,80.53325909981504,80.69993911990896,6.213527400046587,6.313439399935305,81.69990140013397,100.71657151989639,100.71659490000457,26.230262800119817,26.33024050015956,101.71650870004669,103.71658839983866,103.71658839983866,-0.0008013998158276081,0.09693920006975532,133.7332310997881,30.013565400149673,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,133.83326469967142,0.013926600106060505,0.11356319999322295,139.8164919000119,6.013348399661481,6.096769199706614,139.9166286997497,139.9166286997497,0.03085519978776574,0.1301984000019729,space,3.316582900006324,143.2667216998525,143.2667216998525,4.239985719323158e-05,0.09781910013407469,num_9,3.2784575996920466,146.5832784197293,0.0012793997302651405,0.09858059976249933,146.89978799968958,147.36650001984088,147.6665559001267,148.166587619856,148.46651959978044,148.56661569979042,156.5832639997825,156.5832639997825,156.58325951993464,0.0018734000623226166,0.0985471997410059,157.61659239977598,158.56642269995064,158.7666682996787,159.26657239999622,10.014983200002462,10.09854679973796,166.68316379981115,0.002068299800157547,166.68316379981115,0.09846789995208383,7.0,4.197499900124967,170.91684419987723,0.001585099846124649,0.09917609998956323,176.9332196000032,177.09991032006218,6.215838700067252,6.3157803998328745,178.09990529995412,197.09993561990558,197.09994939994067,26.215882000047714,26.31579460017383,198.11695430008695,200.1166158998385,200.1166158998385,0.0015337998047471046,0.09912610007449985,230.11666580010206,29.99910939997062,30.099140499718487,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,230.2166071999818,0.0004361998289823532,0.09910709969699383,236.21656979992986,5.999111299868673,6.099231099709868,236.3166151996702,236.3166151996702,-2.0600389689207077e-05,0.0991067998111248,space,3.956175900064409,240.33324950002134,240.33324950002134,4.479987546801567e-05,0.0978561001829803,num_9,1.6354899001307786,242.01661921972408,0.0017934995703399181,0.0980479996651411,,242.79983702003955,243.10010629985482,243.61657391982152,243.91654209978878,244.0173177998513,252.01656039990485,252.01656039990485,252.01663382006808,0.0015112999826669693,0.09823339991271496,253.0166637999937,254.01660559978336,254.19989869976416,254.71677909977734,10.014673999976367,10.09810289973393,262.1165632000193,0.0008328994736075401,262.1165632000193,0.09818149963393807,3.0,7.564997800160199,269.7165626999922,0.0026793000288307667,0.09728460013866425,275.7332643000409,275.89980571977793,6.2138710003346205,6.297341100405902,276.9165093000047,295.8997316200286,295.88312819972634,26.213853500317782,26.313964100088924,296.89985030004755,298.89971749996766,298.89971749996766,0.013772400096058846,0.0970121999271214,328.91642009979114,30.03054150007665,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,329.04995679995045,0.03140399977564812,0.13083270005881786,335.049856999889,6.030631300061941,,335.13318050000817,335.13318050000817,0.013948999810963869,0.1139342999085784,space,4.323923300020397,339.49987570010126,339.49987570010126,3.660004585981369e-05,0.09791390039026737,num_9,1.076604699715972,340.6331784197129,0.002215899992734194,0.09808490006253123,340.94984899973497,341.41641381969674,341.716407999862,342.2163846197538,,342.6165594998747,350.6165096000768,350.6165096000768,350.6166629198007,0.014826199971139431,0.1147867999970913,351.6163792000152,352.6164861000143,352.81649999972433,353.29969660006464,10.031453700270504,,360.7663384997286,0.034483800176531076,360.7663384997286,0.13122620014473796,3.0,3.997866800054908,364.8000481999479,0.002371199894696474,0.09929270017892122,370.7828848999925,370.9829090198502,6.215498100034893,6.298743300139904,371.982975800056,390.98297752002253,390.98310009995475,26.215733299963176,26.315673999954015,391.99978299997747,393.999797699973,393.999797699973,0.001550499815493822,0.09901619981974363,424.0163977998309,30.01587149966508,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,424.11641319980845,0.01647319970652461,0.11564719956368208,430.11640359973535,6.015898999758065,,430.2163642998785,430.2163642998785,0.01580199971795082,0.11552829947322607,space,3.6884980998001993,433.94972359994426,433.94972359994426,4.42001037299633e-05,0.09785229992121458,num_9,1.282836299855262,435.2830471199006,0.00217329990118742,0.0979949003085494,435.5997199998237,436.0663581199944,,436.866227620095,437.1663719997741,437.2663565999828,445.28305449988693,445.28305449988693,445.28300881972535,0.0010200003162026405,0.09795190021395683,446.299627199769,447.2829915001057,447.4830013997853,447.9661795999855,10.014579300303012,,455.399567599874,0.017754700034856796,455.399567599874,0.11446350021287799,3.0,3.164535599760711,458.60001259995624,0.0015396997332572937,0.09957899991422892,464.61634089984,464.7828348197974,6.199030899908394,6.28251209994778,465.79963879985735,484.76623511994256,484.76626589987427,26.199195299763232,26.299015999771655,,487.76626159995794,487.76626159995794,-0.0007552001625299454,0.09936039987951517,517.7828138000332,30.015747799538076,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.9161696000956,0.015808299649506807,0.11576219974085689,547.9328843997791,30.032349899876863,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,548.0160908000544,0.016760599799454212,0.13230389961972833,554.0168449999765,6.015748499426991,,554.1163105000742,554.1163105000742,0.015885799657553434,0.11562979966402054,space,3.740222899708897,557.8994041997939,557.8994041997939,3.1400006264448166e-05,0.09814610006287694,num_9,0.9175838995724916,558.866103119962,0.0018152999691665173,0.09787920024245977,559.1660217000172,559.6494139198214,559.9494358999655,560.4660530200229,560.7828708998859,560.8494090000167,568.8495032996871,568.8495032996871,568.8493856199086,0.014730900060385466,0.11452060006558895,569.882735399995,570.849396399688,571.0325555996969,571.5326028997079,10.014498200267553,,578.9826885997318,0.01720150001347065,578.9826885997318,0.11433760030195117,3.0,3.5000350000336766,582.5160052999854,0.001816099975258112,0.09862920036539435,588.5326729998924,588.6993525198661,6.215227900072932,6.315244399942458,589.6994668999687,608.6993095197715,608.6992498999462,26.215184700209647,26.31522099999711,609.6992426998913,611.7159501998685,611.7159501998685,0.0011481000110507011,0.0985300000756979,641.7325479998253,30.015253100078553,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,641.8325208998285,0.015864199958741665,0.11519429972395301,647.832571499981,6.015145099721849,,647.9326559999026,647.9326559999026,0.015272499993443489,0.1151143996976316,space,3.012134799733758,650.9991715000942,650.9991715000942,4.150019958615303e-05,0.09773229993879795,num_9,1.0652486998587847,652.0992150197737,0.0019922000356018543,0.09797249967232347,652.3991471999325,652.8824687197805,653.1990966000594,653.6825223200024,653.9991788999178,654.099171299953,,662.1158396000974,662.1158264198341,0.017321599647402763,0.11454039998352528,,664.1157228997909,664.2656871001236,664.7658425997943,10.014581599738449,,672.2157211001031,0.017311199568212032,672.2157211001031,0.11455019982531667,3.0,3.7983769001439214,676.0493156998418,0.0016119000501930714,0.0991960996761918,682.0492845000699,682.2156306200661,6.199168599676341,6.282629099674523,683.215732099954,702.2156848197803,702.215719900094,26.199305299669504,26.2993366997689,,705.2323694997467,705.2323694997467,0.015962799545377493,0.11593379965052009,735.2154494998977,30.01573329977691,30.099060299806297,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,735.34894109983,0.00030899979174137115,0.09916999936103821,741.3489604997449,5.99912909977138,6.099153699353337,741.4489343999885,741.4489343999885,-3.380049020051956e-05,0.09913019929081202,space,2.887631199788302,744.3824915997684,744.3824915997684,3.91998328268528e-05,0.09776619961485267,num_9,1.1543665998615324,745.5823072197848,0.0021784002892673016,0.0981014003045857,745.8989500999451,746.3656032199972,,747.1655865198002,747.4655174999498,747.5655944999307,755.5822438998148,755.5822438998148,755.5822389198468,0.001203400082886219,0.09804810024797916,756.5989649998955,757.5989314001054,757.7655432997271,758.2656232998706,10.03132429998368,,765.7321961997077,0.034412600100040436,765.7321961997077,0.1479949001222849,5.0,2.814505200367421,768.5658803000115,0.0015765000134706497,0.09921439969912171,774.5655545000918,774.7323821199127,6.199100399855524,6.282476199790835,775.7488456997089,794.7321375201457,794.7321542999707,26.199167700018734,26.2990778000094,795.7487952997908,797.7487344997935,797.7487344997935,0.01576989982277155,0.11576249962672591,827.748795399908,30.015799299813807,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,827.8820357997902,0.016325599513947964,0.11577209969982505,833.8819939000532,6.015618099365383,,833.9819708000869,833.9819708000869,0.01578829949721694,0.11562519939616323,space,2.8832770995795727,836.8986828001216,836.8986828001216,3.100000321865082e-05,0.09769470011815429,num_9,1.03763879975304,837.9987671201118,0.002283200155943632,0.09813030017539859,838.298629200086,838.7818963199854,839.0985952001065,839.5819431201555,839.8986450997181,839.9986108997837,847.9986315998249,847.9986315998249,847.9986104199663,0.0010637002997100353,0.09792380034923553,849.0152745000087,850.0152610000223,850.1819600998424,850.6820626999252,10.014454800169915,10.097869800403714,858.0984855000861,0.0015202001668512821,858.0984855000861,0.09781070007011294,6.0,4.263957499992102,862.3984527997673,0.001071699894964695,0.09955690009519458,868.3987545999698,868.565108720027,6.199419799726456,6.282802800182253,869.5650520999916,888.5650039196946,888.5649655996822,26.199407199863344,26.282967099919915,889.5651098000817,891.5817678999156,891.5817678999156,0.01618489995598793,0.0995575999841094,921.5817215996794,30.01619439991191,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
