Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,p_port_18.stopped,Begin_Rinse.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.80369749921374,0.0004555999767035246,0.1160397999919951,23.067875100066885,23.30117590003647,23.567853400018066,23.801314200041816,24.084507500054315,24.084507500054315,0.014728999929502606,0.11604620004072785,14.999587999889627,39.10120719997212,15.099341599969193,39.16777390008792,0.00230229995213449,0.09936139988712966,45.1678667999804,5.999323999974877,6.099275599932298,45.267925600055605,45.267925600055605,-5.410029552876949e-05,0.09933149977587163,space,7.561233999906108,52.88447539997287,52.88447539997287,6.0300109907984734e-05,0.10013530007563531,num_9,10.280236199963838,63.20123640005477,0.0018225000239908695,0.09784980001859367,63.517854100093246,64.00118390005082,64.3178787000943,64.78439679997973,65.08465680014342,65.18451680010185,73.18449170002714,73.18449170002714,73.18452599993907,0.014529400039464235,0.11445909994654357,75.20114310015924,75.38449640013278,75.8845367000904,10.014307199977338,83.33462770003825,0.017337999772280455,83.33462770003825,0.1309573999606073,3.0,3.2480518999509513,86.60152100003324,0.0015400999691337347,0.09941270016133785,92.61790210008621,92.78448010003194,6.215962500078604,6.315989100141451,112.76775450003333,112.76777509995736,26.199297900078818,26.29938290012069,113.7677207000088,115.76779230008833,115.76779230008833,-0.0006624998059123755,0.0993240000680089,145.7843855000101,30.015908100176603,,,,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,145.9177222000435,0.01659839996136725,0.11586140003055334,151.91770460014232,6.015844299923629,,152.01766140013933,152.01766140013933,0.016003699973225594,0.1157948998734355,space,1.6269503999501467,153.6843371000141,153.6843371000141,2.3300061002373695e-05,0.09903580020181835,num_9,2.1052392998244613,155.85106230014935,0.002677900018170476,0.09803130012005568,156.167687300127,156.65129239996895,156.96770670008846,157.45109049999155,157.76791310007684,157.83437520009466,165.83435170003213,165.83435170003213,165.8342347999569,0.014764900086447597,0.11481010005809367,167.81751950015314,168.0344593001064,168.55096819996834,10.014722800115123,175.95082360017113,0.0013910999987274408,175.95082360017113,0.09787399997003376,5.0,3.4809214000124484,179.46795310010202,0.0026585999876260757,0.09813029994256794,185.467742000008,185.6676763999276,6.231289899908006,6.3312190000433475,205.66761639993638,205.66762670013122,26.23130499990657,26.331219000043347,206.6675901999697,,208.68444039998576,0.01633909996598959,0.11453079991042614,238.68416550010443,30.014510500011966,166.8509764999617,10.098000800004229,186.6675309999846,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,238.7843369001057,0.015339999925345182,0.11460599978454411,244.80084779998288,6.031111099990085,,244.90083070006222,244.90083070006222,0.031429899856448174,0.13112869975157082,space,1.2878167999442667,246.23429649998434,246.23429649998434,2.0799925550818443e-05,0.09859089995734394,num_9,1.6665938997175545,247.9343326999806,0.0021346001885831356,0.11416700016707182,248.25077289994806,248.73443470010534,249.0508141000755,249.51745639997534,249.81741830008104,249.9341490000952,257.9342678000685,257.9342678000685,257.93404740002006,-0.0009160998743027449,0.1141068001743406,259.9508056000341,260.11743370001204,260.6008013000246,10.014017699984834,268.0470563999843,0.012765000108629465,268.0470563999843,0.1392624001018703,4.0,3.5522462998051196,271.6342279999517,0.00200009997934103,0.0983426000457257,277.6340689000208,277.8341345000081,6.2315693001728505,6.331304300110787,297.8173855000641,297.81734900013544,26.214824000140652,26.31488210009411,,300.83399459999055,300.83399459999055,0.0007833000272512436,0.09816330019384623,330.85063310014084,30.01479330006987,258.9674663001206,,278.8507147000637,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,330.9506236000452,0.015586799941956997,0.1147668999619782,336.9672362001147,6.0314202001318336,,337.06726719997823,337.06726719997823,0.03161439998075366,0.13140770001336932,space,1.393562600016594,338.50061360001564,338.50061360001564,3.900006413459778e-05,0.09793100017122924,num_9,2.6479555999394506,341.2006113999523,0.0022127998527139425,0.09809329989366233,341.51716629997827,341.9838004000485,342.30065280012786,342.7838650001213,343.10056550009176,343.18399489996955,351.20052630011924,351.20052630011924,351.20057999994606,0.0013841998297721148,0.09802209981717169,353.2005394999869,353.4005277999677,353.90055479994044,10.014777899952605,361.30033050011843,0.0015996997244656086,361.30033050011843,0.09814659995026886,5.0,2.5644006999209523,363.9007065000478,0.0016308000776916742,0.09937010006979108,369.9171339001041,370.08371879998595,6.215682900045067,6.315826900070533,390.08369629993103,390.0838971999474,26.215943600051105,26.315715899923816,391.1004616001155,393.10043870005757,393.10043870005757,0.001706999959424138,0.09897330007515848,423.1003056000918,29.999013799941167,352.2004849000368,10.098128200042993,371.10049520013854,30.099075500154868,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,423.2003023000434,0.0005073000211268663,0.09904949995689094,429.20031560002826,6.032347599975765,,429.3336388000753,429.3336388000753,0.032386799808591604,0.13227169984020293,space,0.7112654997035861,430.10025859996676,430.10025859996676,4.720012657344341e-05,0.09768550004810095,num_9,1.5131166998762637,431.6669876000378,0.0022710999473929405,0.09805219992995262,431.96679940004833,432.4502016999759,432.7504734999966,433.2670023001265,433.5668695999775,433.66694399993867,,441.6837089001201,441.68363550002687,0.017417199909687042,0.11470889998599887,443.68360939994454,443.85023850016296,444.3502154001035,10.01466349978,451.78337480011396,0.017346999840810895,451.78337480011396,0.1145890997722745,3.0,2.098299500066787,453.91718029999174,0.00218260008841753,0.09830810013227165,459.91685430007055,460.11688879993744,6.214691300177947,6.298224900150672,480.1001327999402,480.1001210999675,26.21489610010758,26.314866800094023,481.10009249998257,483.100072799949,483.100072799949,0.014837500173598528,0.11478300020098686,513.099970899988,30.014723500004038,442.71691239997745,,461.1166970001068,30.09801960014738,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.2167704999447,-0.0009675999172031879,0.09794160001911223,543.2332053000573,30.014591600047424,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,543.333337200107,0.01603689999319613,0.11459310003556311,549.3165780000854,6.014643899863586,6.097792999818921,549.4165103000123,549.4165103000123,0.031843199860304594,0.13119829981587827,space,1.2201066999696195,550.6831855999772,550.6831855999772,3.3899908885359764e-05,0.09788419981487095,num_9,1.6494024000130594,552.3666014999617,0.0019196998327970505,0.09785309992730618,552.6666677000467,553.1499171000905,553.4498384001199,553.9665379999205,554.2664336999878,554.3665088000707,562.3664667999838,562.3664667999838,562.366516500013,0.000993699999526143,0.09783390001393855,564.3664369999897,564.5497689000331,565.0497735000681,10.014400399988517,572.4662880999967,0.0011087998282164335,572.4662880999967,0.09757339977659285,3.0,3.1644894999917597,575.6666474000085,0.0015710999723523855,0.09922609990462661,581.6830627000891,581.83309249999,6.199209799990058,6.299270699964836,601.8332289999817,601.8330088001676,26.199185200035572,26.29911829996854,602.849549600156,604.8496546000242,604.8496546000242,0.01590060000307858,0.11577320005744696,634.866200900171,30.03243719995953,563.3663811001461,10.09770269994624,582.8497697999701,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,634.9997680999804,0.033145499881356955,0.1323577999137342,641.0162009999622,6.015630399808288,,641.0828482001089,641.0828482001089,0.01594269974157214,0.11567209986969829,space,1.3467292999848723,642.482808199944,642.482808199944,3.9899954572319984e-05,0.09781230008229613,num_9,1.4019313999451697,643.9495294000953,0.0020952001214027405,0.09817620017565787,644.2494965000078,644.7495482999366,645.0494558000937,645.5328379001003,645.8494830001146,645.9494849001057,,653.9661414001603,653.9661580999382,0.017643500119447708,0.11471720016561449,655.9663958000019,656.1328054999467,656.6494505000301,10.014759100042284,664.066357200034,0.01818959997035563,664.066357200034,0.1145097000990063,4.0,1.4640943000558764,665.5663054001052,0.001716699916869402,0.09932329994626343,671.5826962001156,671.7493139000144,6.215640399837866,6.2991752999369055,691.7456881001126,691.7289297000971,26.21205940004438,26.29903869982809,692.7491536999587,694.7491415000986,694.7491415000986,0.015523599926382303,0.09871420008130372,724.7659444001038,30.032413499895483,654.9661008999683,,672.7659599001054,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,724.8825304000638,0.016225999919697642,0.11559009994380176,730.8824638000224,6.015567799797282,,730.9825142000336,730.9825142000336,0.015734699787572026,0.11557049979455769,space,0.8381851997692138,731.8825183000881,731.8825183000881,4.830001853406429e-05,0.09823050000704825,num_9,2.0982021000236273,734.0325267999433,0.002625300083309412,0.09804959991015494,734.3491114999633,734.8156896999571,735.1156896001194,735.6158334999345,,736.0157610999886,744.0157849001698,744.0157849001698,744.0158341000788,0.014787399908527732,0.11472740001045167,746.0324314001482,746.1989939000923,746.6823011001106,10.014564000070095,754.1322574999649,0.00032359990291297436,754.1322574999649,0.09782319981604815,5.0,2.8651857001241297,757.0325492001139,0.0026054000481963158,0.1144934999756515,763.0323652001098,763.2323787000496,6.231201600050554,6.331113300053403,783.2325607999228,783.232386900112,26.231230600038543,26.331109300022945,784.248957300093,786.2322847000323,786.2322847000323,0.00028920010663568974,0.09771250002086163,816.2487858000677,30.014250400010496,,10.09782229992561,764.249000800075,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,816.3487939001061,0.014929099939763546,0.11421839985996485,822.3654704000801,6.030939199961722,,822.4487590000499,822.4487590000499,0.014393199933692813,0.11420209985226393,space,1.9160361997783184,824.4154668000992,824.4154668000992,5.010003224015236e-05,0.09796970011666417,num_9,0.5736408999655396,825.0488503000233,0.0016703999135643244,0.09854959999211133,825.3486971000675,825.8488384000957,826.1488559001591,826.6320154999848,826.9489576001652,827.0488018000033,,835.0655086000916,835.0654436999466,0.017724799923598766,0.11511989985592663,837.0653797001578,837.2319128001109,837.7487201001495,10.015107800019905,845.1485246000811,0.0004203999415040016,845.1485246000811,0.09830559976398945,3.0,2.1992269998881966,847.3821265001316,0.0015055001713335514,0.099184799939394,853.3986514001153,853.5654402000364,6.2157123000361025,6.3157637000549585,873.582044800045,873.5819210000336,26.199074200121686,26.299037200165913,874.5986250999849,876.5818549999967,876.5818549999967,0.0013261002022773027,0.0989652001298964,906.5984178001527,30.01553690014407,836.0654170999769,10.098279000027105,854.5652832000051,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
