loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,45.829344120249154,0.0006454000249505043,0.11176640004850924,46.50942192007788,46.94275569985621,0.014094999991357327,0.11171679990366101,61.95953579992056,15.028437499888241,62.05953780002892,62.05953780002892,0.02857989980839193,0.12844869983382523,space,5.900507300160825,,,,,,,,,,,,,,,,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
0,0,0,0,,,,,,,,,,,,,,,,67.99283690005541,0.0015066999476402998,0.09743289998732507,73.99282309995033,6.030795799801126,74.15987759991549,0.06475049979053438,0.16422529984265566,6.0307036999147385,80.15948330005631,80.22604330000468,0.033657899824902415,0.13054339960217476,1.0,3.6646867999807,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
1,0,1,0,,,,,,,,,,,,,,,,83.92648839997128,0.0005312000866979361,0.09707290004007518,89.94292579987086,6.0139025000389665,90.07645579986274,0.030565999913960695,0.14740230003371835,6.013798600062728,96.07617709995247,96.14274889999069,0.015677299816161394,0.11375239980407059,1.0,2.3827218001242727,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
2,0,2,0,,,,,,,,,,,,,,,,98.55982259986922,0.0004401998594403267,0.09736779984086752,104.57613170007244,6.013899100013077,104.6929228999652,0.025706499814987183,0.13064089976251125,6.030647999839857,110.69278979999945,110.79297020006925,0.03340099984779954,0.13045369973406196,0.0,1.0648589998017997,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
3,0,3,0,,,,,,,,,,,,,,,,111.89313509990461,0.00024649989791214466,0.09901559981517494,117.89267909992486,6.015382299898192,118.00942989997566,0.016366599826142192,0.11583319981582463,6.015564999775961,123.99290800001472,124.09296589996666,0.001726699760183692,0.09884429979138076,0.0,1.4982832001987845,6.0986866999883205,6.0988310996908695,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
4,0,4,0,,,,,,,,,,,,,,,,125.62638919986784,0.00022769998759031296,0.09896010020747781,131.62625620001927,5.999099800130352,131.74266880005598,0.014222800033167005,0.11574680008925498,6.015764300012961,137.7428285998758,137.8426800998859,0.017924599815160036,0.11566699994727969,0.0,1.5319444998167455,6.099089700030163,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
5,0,5,0,,,,,,,,,,,,,,,,139.40948090003803,0.0007380000315606594,0.09645089996047318,145.4261419000104,6.0131431999616325,145.55940099991858,0.0509746999014169,0.14641519985161722,6.013151399791241,151.5595213000197,151.62612250004895,0.01587039977312088,0.11313239973969758,0.0,1.4317445000633597,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
6,0,6,0,,,,,,,,,,,,,,,,153.09319050004706,0.0002764998935163021,0.09877959988079965,159.09281040006317,6.031982799991965,159.22607379988767,0.033233199967071414,0.13191529992036521,6.031924499897286,165.22626650007442,165.30937310005538,0.017967299791052938,0.11505709984339774,1.0,1.5648024999536574,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
7,0,7,0,,,,,,,,,,,,,,,,166.9097120000515,0.0005032999906688929,0.09732920001260936,172.9262820999138,6.0139273998793215,173.04269700008444,0.031210499815642834,0.13064739992842078,6.030605499865487,179.0428144999314,179.12603779998608,0.016219199867919087,0.11370759969577193,0.0,1.631885299924761,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
8,0,8,0,,,,,,,,,,,,,,,,180.79268419998698,0.0002544999588280916,0.09906419995240867,186.7889757999219,6.01222230005078,186.92594520002604,0.040326999966055155,0.13241109997034073,6.000291700009257,192.90932019986212,193.00937770004384,0.0168440998531878,0.11662069987505674,0.0,1.100091999862343,6.095402900129557,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
9,0,9,0,,,,,,,,,,,,,,,,194.14267299999483,0.00018960004672408104,0.09903819998726249,200.12597330007702,5.9991484000347555,200.2428103000857,0.032664200058206916,0.13265560008585453,5.999220200115815,206.22604699991643,206.32624859991483,0.0161892999894917,0.11604039999656379,0.0,1.3998066999483854,6.0824514999985695,6.082653099903837,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
10,0,10,0,,,,,,,,,,,,,,,,207.75952219986357,0.00017090002074837685,0.09900389984250069,213.74255610001273,6.015641700010747,213.87225209991448,0.015439099865034223,0.11197589989751577,5.999051699880511,219.87588780000806,219.95923010003753,0.0002627996727824211,0.09898859984241426,0.0,1.266469599911943,6.098928299965337,6.098963999887928,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
11,0,11,0,,,,,,,,,,,,,,,,221.25933569995686,0.00016549997963011265,0.09917810000479221,227.24267759989016,5.999146099900827,227.34259689995088,0.015848999843001366,0.11577369971200824,5.99910039990209,233.32589540001936,233.44267049990594,0.015902399783954024,0.11572379968129098,2.0,1.8998324999120086,6.082578899804503,6.08246329985559,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
12,0,12,0,,,,,,,,,,,,,,,,235.37598269991577,0.0002218000590801239,0.09903010004200041,241.3723649000749,6.011941500008106,241.49264819989912,0.02189779980108142,0.11564439977519214,6.015659999800846,247.47596030007116,247.57601339998655,-1.4100223779678345e-05,0.09907969972118735,1.0,2.4001796999946237,6.099169499939308,6.098946099868044,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
13,0,13,0,,,,,,,,,,,,,,,,250.00922470004298,0.00018090009689331055,0.09916370012797415,256.0056704999879,6.012114400044084,256.1260615999345,0.012949599884450436,0.11587610002607107,6.015872200019658,262.10916809993796,262.2093006998766,-5.100015550851822e-05,0.09912639996036887,0.0,1.4666544999927282,6.099101700121537,6.0991676999256015,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
14,0,14,0,,,,,,,,,,,,,,,,263.70926190004684,0.0004189999308437109,0.09792849980294704,269.70565390004776,6.011121999938041,269.82600999996066,0.01498729968443513,0.1146539996843785,6.014673699857667,275.8092700999696,275.90928859985434,0.03136769961565733,0.13134949980303645,1.0,2.3333190998528153,6.097877299878746,6.097862699767575,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
15,0,15,0,,,,,,,,,,,,,,,,278.27614849992096,0.00023690005764365196,0.09887700015679002,284.25920769991353,6.015503500122577,284.492606600048,0.02528449986129999,0.21561930002644658,6.015460999915376,,290.4926938000135,0.016752999974414706,0.11551299993880093,2.0,1.966477100038901,6.095330100040883,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
16,0,16,0,,,,,,,,,,,,,,,,292.49272729991935,0.00015570013783872128,0.0991559000685811,298.48893260001205,6.012173500144854,298.6594513000455,0.06846460001543164,0.16603379999287426,5.99925130000338,304.6425966999959,304.69266379997134,0.001364199910312891,0.09925199975259602,0.0,1.6991189999971539,6.099200600059703,6.099274900043383,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
17,0,17,0,,,,,,,,,,,,,,,,306.426012000069,0.00018880004063248634,0.09851290006190538,312.40926770004444,6.015222200192511,312.53903519990854,0.033989999908953905,0.11151909991167486,6.01527570001781,318.52586629986763,318.6259349999018,0.0003465998452156782,0.09843449993059039,0.0,1.0991731998510659,,6.098482900066301,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
18,0,18,0,,,,,,,,,,,,,,,,319.75917279999703,0.0001417999155819416,0.09910059999674559,325.75919350003824,6.012187700020149,325.8759741000831,0.016929299803450704,0.11572259990498424,6.015842599794269,331.8591010000091,331.9592857998796,1.4999881386756897e-05,0.09923359984531999,0.0,1.0667026999872178,6.099035099847242,6.099041499895975,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
19,0,19,0,,,,,,,,,,,,,,,,333.05917749996297,0.00014819996431469917,0.09925119997933507,339.0426232998725,5.9992859999183565,339.1554698999971,0.009274199837818742,0.09601959981955588,5.999266899889335,345.1425087999087,345.2424705999438,0.015926699619740248,0.11591979977674782,0.0,1.1000051000155509,6.095655099954456,6.082503999816254,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
20,0,20,0,,,,,,,,,,,,,,,,346.37580629996955,0.000215600011870265,0.09891379997134209,352.3722012999933,6.011874800082296,352.47605159995146,0.00525519996881485,0.09903749986551702,6.015558799961582,358.45913999993354,358.575773099903,0.001329499762505293,0.09890529979020357,0.0,1.298657099949196,6.095313400030136,6.09897549985908,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
21,0,21,0,,,,,,,,,,,,,,,,359.90912629989907,0.0001898000482469797,0.09911900013685226,365.89246749994345,5.99926170008257,366.08881719992496,0.0726511999964714,0.19931220007129014,5.9993100999854505,372.1092103999108,372.1092103999108,0.0009949998930096626,0.09939999994821846,1.0,1.2328081999439746,6.082437000004575,6.099270900012925,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
22,0,22,0,,,,,,,,,,,,,,,,373.37606809986755,0.0002272001001983881,0.09873450011946261,379.37212459999137,6.011717300163582,379.4924528999254,0.01399499992839992,0.11537729995325208,6.0154301999136806,385.47568219993263,385.5758658000268,-0.0006719001103192568,0.09867949993349612,0.0,1.533575699897483,6.094972599996254,6.098564499989152,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
23,0,23,0,,,,,,,,,,,,,,,,387.1426259998698,0.00014200014993548393,0.09878080012276769,393.138783399947,6.011732200160623,393.25906459987164,0.012077399995177984,0.11552829993888736,6.015512499958277,399.2423308000434,399.3425936999265,-0.00045250006951391697,0.09880249993875623,0.0,1.4668715000152588,6.098788300063461,6.098809199873358,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
24,0,24,0,,,,,,,,,,,,,,,,400.8424762999639,0.0003339999821037054,0.09832959994673729,406.825646399986,6.014996600104496,406.9424216998741,0.00862569990567863,0.09841590002179146,6.015003399923444,412.925661199959,413.042328099953,0.0003817998804152012,0.09851649985648692,0.0,1.0988159999251366,6.098304599989206,6.098429200006649,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
25,0,25,0,,,,,,,,,,,,,,,,414.175935999956,0.00015339977107942104,0.09923929977230728,420.17210659990087,6.012141099898145,420.39252520003356,0.07107519987039268,0.215853399829939,6.015845399815589,,426.3923420999199,0.016460699727758765,0.11592659959569573,0.0,1.2336490999441594,6.095463699894026,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
26,0,26,0,,,,,,,,,,,,,,,,427.65918169985525,0.00019150017760694027,0.09897240018472075,433.64224369986914,5.9991019000299275,433.77568749990314,0.006118600023910403,0.11581069999374449,6.015775999985635,439.7589366999455,439.85908639989793,0.00019069993868470192,0.09927619993686676,0.0,1.0331852999515831,6.0824345999863,6.099090300034732,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
27,0,27,0,,,,,,,,,,,,,,,,440.9256857999135,0.00016649998724460602,0.09922099998220801,446.90891680005006,5.999088200042024,447.042461700039,0.017911399947479367,0.11574939987622201,6.015982299810275,453.02571389987133,453.1256875998806,0.0009293996263295412,0.0994706996716559,0.0,1.1660068000201136,6.0826171999797225,6.099262399831787,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
28,0,28,0,,,,,,,,,,,,,,,,454.32567370007746,0.00020709983073174953,0.09914970002137125,460.3424589999486,6.015932099893689,460.45907399989665,0.038713299902155995,0.1328003997914493,5.999239599797875,466.45916590001434,466.5257045000326,0.002428599866107106,0.0992116997949779,0.0,1.431216900004074,,6.09925809991546,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
29,0,29,0,,,,,,,,,,,,,,,,467.99263549991883,0.0003869000356644392,0.0991272998508066,473.99242440005764,5.9990614000707865,474.1090490000788,0.024691299768164754,0.11569059989415109,6.01572829997167,480.1091398000717,480.20890529989265,0.018403399735689163,0.11587999970652163,0.0,1.2648303997702897,6.099061999935657,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
30,0,30,0,,,,,,,,,,,,,,,,481.5094234999269,0.00047729979269206524,0.09780809981748462,487.52572809997946,6.014185199979693,487.64229109999724,0.0371242999099195,0.13087009987793863,6.030886499909684,493.6255089000333,493.72553759999573,0.014494699658825994,0.11383219971321523,0.0,1.4006278000306338,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
31,0,31,0,,,,,,,,,,,,,,,,495.1589128000196,0.0002840999513864517,0.0989971999078989,501.1421721999068,6.015549100004137,501.2923868999351,0.029471399961039424,0.13246199977584183,6.032272399868816,507.2754734000191,507.37545569986105,0.016371899750083685,0.11568129970692098,1.0,1.3668974000029266,6.098840299993753,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
32,0,32,0,,,,,,,,,,,,,,,,508.7757453999948,0.00016609998419880867,0.09889029990881681,514.7756248000078,5.999198899837211,514.8922228000592,0.016903599724173546,0.11570199974812567,6.015675699803978,520.8753485998604,520.9755462000612,0.0010726996697485447,0.09914179961197078,1.0,0.9319533000234514,6.099039899883792,6.098984899697825,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
33,0,33,0,,,,,,,,,,,,,,,,521.9422629999463,0.00014739995822310448,0.09922900004312396,527.9254465999547,5.99912489997223,528.0383792000357,0.02878299984149635,0.11205149977467954,6.016070399899036,534.0588909999933,534.1588451999705,0.018136099679395556,0.11579649988561869,0.0,1.1652508000843227,6.082342199981213,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
34,0,34,0,,,,,,,,,,,,,,,,535.3586774000432,0.00016559986397624016,0.0991034999024123,541.3419691000599,5.999111899873242,541.8753357999958,0.27067509992048144,0.5158028998412192,6.012254399713129,,547.5921175999101,0.033403099747374654,0.1324344996828586,0.0,1.3001441999804229,6.082622799789533,6.099054699763656,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
35,0,35,0,,,,,,,,,,,,,,,,548.9254379998893,0.0001588999293744564,0.11578179989010096,554.9085699999705,5.999083000002429,555.1253396000247,0.10382819990627468,0.1991204998921603,5.999222399899736,561.1253555000294,561.1253555000294,0.0011903997510671616,0.09943019971251488,0.0,1.0990296001546085,6.095386399887502,6.099216399947181,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
36,0,36,0,,,,,,,,,,,,,,,,562.2586701000109,0.0004891999997198582,0.11403089994564652,568.2589851000812,6.030789599986747,568.3920010998845,0.028666199883446097,0.13063559983856976,6.030587499961257,574.3929423000664,574.4922348998953,0.03328059986233711,0.13076969981193542,0.0,1.164943699957803,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
37,0,37,0,,,,,,,,,,,,,,,,575.6922674998641,0.0004392999690026045,0.0971121999900788,581.7087985998951,6.013881899882108,581.9424878000282,0.11016689985990524,0.24744229996576905,6.013694699853659,,587.9086927999742,0.016438499791547656,0.11358339968137443,0.0,1.2649606000632048,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
38,0,38,0,,,,,,,,,,,,,,,,589.2086453000084,0.0005083000287413597,0.0974717999342829,595.2254055000376,6.014203099999577,595.3420643999707,0.027435699943453074,0.13090859982185066,6.030826599802822,601.3420559999067,601.4253398000728,0.01598719973117113,0.11407699971459806,0.0,1.265988799976185,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
39,0,39,0,,,,,,,,,,,,,,,,602.7253906000406,0.00022289995104074478,0.09908850002102554,608.7253187999595,5.999064000090584,608.8419421999715,0.014557599788531661,0.11568990000523627,6.015764199895784,614.8419585998636,614.9419265999459,0.01816549990326166,0.11589809972792864,1.0,1.1316621000878513,6.099122100044042,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
40,0,40,0,,,,,,,,,,,,,,,,616.1088979998603,0.00023470004089176655,0.09912799997255206,622.1255397999194,6.015723200049251,622.2419085998554,0.03047909983433783,0.13224339997395873,6.032321099890396,628.241955799982,628.3418457000516,0.03394229989498854,0.13224749988876283,0.0,1.0659785999450833,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
41,0,41,0,,,,,,,,,,,,,,,,629.4423130999785,0.0005048001185059547,0.0973160001449287,635.4419211000204,6.030627900036052,635.5917936000042,0.05403600004501641,0.14725590008310974,6.013876799959689,641.5918769999407,641.6585609000176,0.01648359978571534,0.11404919996857643,0.0,1.2986241998150945,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
42,0,42,0,,,,,,,,,,,,,,,,642.9921349999495,0.0004829999525099993,0.09764950000680983,648.9918956998736,6.03102990007028,649.1251306000631,0.027772099943831563,0.13099079998210073,6.03088069986552,655.1082804999314,655.2084663999267,0.016566299833357334,0.11413959972560406,0.0,1.1652506000827998,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
43,0,43,0,,,,,,,,,,,,,,,,656.4088814000133,0.000532899983227253,0.09750390006229281,662.4251109000761,6.013895200099796,662.5416987999342,0.029187599895522,0.1305831999052316,6.030527299968526,668.5417688998859,668.6417660999577,0.03333859983831644,0.13050959981046617,0.0,1.2317621000111103,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
44,0,44,0,,,,,,,,,,,,,,,,669.90844499995,0.00037990021519362926,0.0976962000131607,675.9084129999392,6.031021600123495,676.041608999949,0.042202499927952886,0.13095450005494058,6.030945200007409,682.0417390998919,682.1249675999861,0.016166299814358354,0.1142643999774009,0.0,1.165714600123465,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
45,0,45,0,,,,,,,,,,,,,,,,683.3250790999737,0.0007257000543177128,0.11363589996472001,689.3416947999503,6.013611700152978,689.508260600036,0.07856480008922517,0.18022289988584816,6.013716799905524,695.5084637000691,695.5414982999209,0.01594489999115467,0.11342479987069964,1.0,1.4987694001756608,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
46,0,46,0,,,,,,,,,,,,,,,,697.0752141000703,0.00022320006974041462,0.09915230004116893,703.0749625999015,6.0323193001095206,703.2915228998754,0.11510780011303723,0.21580519992858171,6.015544600086287,,709.2916105999611,0.017986899940297008,0.11583169992081821,0.0,1.2318160999566317,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
47,0,47,0,,,,,,,,,,,,,,,,710.5584678000305,0.0005350001156330109,0.09726599999703467,716.5748836998828,6.013860300183296,716.7082340999041,0.04315879987552762,0.14722939999774098,6.013877799967304,722.7082189999055,722.7748143998906,0.016452499898150563,0.11384319979697466,0.0,1.398397499928251,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
48,0,48,0,,,,,,,,,,,,,,,,724.2086199000478,0.0006252999883145094,0.0972420999314636,730.2082090999465,6.030478399945423,730.341503799893,0.029514299938455224,0.13051249994896352,6.03034589975141,736.3414787999354,736.4414033000357,0.03277139971032739,0.13033509976230562,0.0,1.1985355000942945,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
49,0,49,0,,,,,,,,,,,,,,,,737.6751341000199,0.0005979000125080347,0.09743460011668503,743.6747764998581,6.030629500048235,744.2415672999341,0.2976625000592321,0.5640883999876678,6.030615800060332,,749.8710477000568,0.012811899883672595,0.09345699986442924,0.0,1.1689069999847561,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
50,0,50,0,,,,,,,,,,,,,,,,751.0914799999446,0.0006226999685168266,0.09699220000766218,757.1080755000003,6.013640499906614,757.2249268998858,0.030954699963331223,0.13065319997258484,6.030205399962142,763.224778200034,763.3247221999336,0.0328621999360621,0.1301469998434186,0.0,1.1650113000068814,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
51,0,51,0,,,,,,,,,,,,,,,,764.5247629000805,0.0004841999616473913,0.09729559998959303,770.5247378000058,6.030586099950597,770.674541000044,0.05612669978290796,0.14716569986194372,6.013826199807227,776.6746817999519,776.7413174000103,0.01646009972319007,0.1137316997628659,0.0,1.564958899980411,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
