Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,34.83657256173901,0.0005253995768725872,0.0878776996396482,35.1020844001323,35.318540540197866,35.56857610028237,35.81857904014178,36.101959800347686,0.006878099869936705,0.1046140999533236,51.1021807002835,15.004532099701464,51.20203610043973,0.00603819964453578,0.10451889969408512,57.20198500016704,6.004656299483031,57.30204950040206,57.30204950040206,0.004667799454182386,0.10464009968563914,space,7.929331100080162,65.28535490017384,65.28535490017384,5.190027877688408e-05,0.09795510023832321,num_9,5.594661899842322,70.93554434007964,0.0016871998086571693,0.09813449997454882,71.25198150007054,71.7186712400522,72.01858610007912,72.51860684030689,72.81860730005428,72.91873170016333,80.93532290030271,80.93532290030271,80.93531904011033,0.0018329001031816006,0.09799599973484874,81.9519771002233,82.95209120027721,83.11863150028512,83.63542400021106,10.014603899791837,10.09788759984076,91.03525220043957,0.0009780996479094028,91.03525220043957,0.09793819999322295,3.0,4.564721700269729,95.63528450019658,0.0026708999648690224,0.09736299980431795,101.63527960004285,101.81851104008965,6.230628999881446,6.330635299906135,102.81854600040242,121.81852184017188,121.81860560039058,26.21398689970374,26.326970499940217,124.81874290015548,124.81874290015548,0.014158199541270733,0.11392449960112572,154.83534530038014,30.03074079984799,,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,154.95187900029123,0.014275399502366781,0.1138952998444438,160.96855440037325,6.030576599761844,161.06855500023812,161.06855500023812,0.030868999660015106,0.13054889952763915,space,5.811192700173706,166.91858640033752,166.91858640033752,3.879982978105545e-05,0.09809650015085936,num_9,4.777135299984366,171.7517926400993,0.0020568999461829662,0.09820750029757619,172.06850880011916,172.53506534048356,172.85186200030148,173.3351669401396,173.65186160011217,173.7352193002589,181.7352496003732,181.7352496003732,181.7352274401579,0.015197200234979391,0.11514919996261597,182.7518587000668,183.75185470003635,183.95192950032651,184.45187800005078,10.014989800285548,10.098352000117302,191.85171930026263,0.0008874000050127506,191.85171930026263,0.09841760015115142,4.0,3.7651112000457942,195.6521015004255,0.003406800329685211,0.09778690012171865,201.66849730024114,201.8350645402912,6.214239700231701,6.2975991000421345,202.85209940001369,221.83142284038476,221.8147278004326,26.210729100275785,26.294019100256264,224.80159910023212,224.8182319002226,0.014560800045728683,0.11404420016333461,254.83503060042858,30.014321600086987,222.85179780004546,30.097638399805874,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,254.95177010027692,0.03112659975886345,0.1310303001664579,260.9518493004143,6.031183399725705,261.08508000010625,261.08508000010625,0.031117199920117855,0.13112539984285831,space,5.3787615997716784,266.5017400002107,266.5017400002107,4.770001396536827e-05,0.09785939985886216,num_9,5.273463699966669,271.8350908403751,0.0020388998091220856,0.09818399976938963,272.1517117000185,272.6182322401088,272.9185384004377,273.41838764040733,273.7183665004559,273.81850740034133,281.81849700026214,281.81849700026214,281.8183793403674,0.015082300174981356,0.11488710017874837,,283.8184334002435,284.01834570011124,284.5183429000899,10.014652200043201,10.097952799871564,291.9348671003245,0.000672999769449234,291.9348671003245,0.09793350007385015,5.0,7.266584400087595,299.2352260001935,0.0029678000137209892,0.09767309995368123,305.2350043002516,305.41815494014884,6.214209899771959,6.314260599669069,,325.41815344025383,325.4182801004499,26.214276999700814,26.31425809999928,328.4348916001618,328.4348916001618,-0.0001526004634797573,0.09753699973225594,358.4515146003105,30.014187099877745,326.4182210001163,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,358.55152030009776,0.014609199482947588,0.11410679947584867,364.55148830031976,6.014116499572992,364.6516036000103,364.6516036000103,0.01420739945024252,0.11415259959176183,space,4.740102599840611,369.4349500001408,369.4349500001408,2.6999972760677338e-05,0.09857149980962276,num_9,4.260195400100201,373.7348131403793,0.0018445998430252075,0.09821640001609921,374.05145210027695,374.51814754041845,374.81806180020794,375.3349454404321,375.65141390031204,375.7182618002407,383.7180983000435,383.7180983000435,383.7181337402668,0.014950099866837263,0.11483100010082126,384.7180284000933,385.7012814003974,385.9012881000526,386.40147320041433,10.014919499866664,,393.8513193000108,0.01708529982715845,393.8513193000108,0.11478669987991452,4.0,2.865287700202316,396.751441300381,0.0025508003309369087,0.09803550038486719,402.76803340017796,402.93471474028195,6.214710600208491,6.3148334003053606,403.9513943004422,422.95135694011117,422.95133530022576,26.23135480005294,26.33131410041824,425.951309800148,425.951309800148,-0.00034949975088238716,0.09800460003316402,455.95108480006456,30.01436119992286,423.9513533003628,30.097795200068504,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,456.05125210015103,-0.0009150998666882515,0.09784659976139665,462.0514169000089,6.03142589982599,462.18452400015667,462.18452400015667,0.031399499624967575,0.13120919978246093,space,3.798922300338745,466.01772270025685,466.01772270025685,4.620011895895004e-05,0.09795039985328913,num_9,3.118131599854678,469.20130424029196,0.002332099713385105,0.09763909969478846,469.5011530001648,469.9843993402552,470.3011805000715,470.78455794011245,471.10128300031647,471.1844814000651,479.20114190038294,479.20114190038294,479.2011732404586,0.0009622001089155674,0.09755939990282059,480.20104170031846,481.2177998004481,481.38449190044776,481.8844985002652,10.010567199904472,10.093828300014138,489.2842940003611,0.014031099621206522,489.2842940003611,0.11410139966756105,2.0,2.318799499887973,491.65144950011745,0.0027209999971091747,0.09779180027544498,497.66775110038,497.83438614024783,6.214265400078148,6.314178999979049,498.8511043000035,517.8342805403751,517.8345478000119,26.21440070029348,26.314282400067896,520.8345612999983,520.8345612999983,0.014423599932342768,0.11410500016063452,550.850932400208,30.030742600094527,518.8511529001407,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.9842620003037,0.03092239983379841,0.13071809988468885,30.013863599859178,580.9840205004439,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,581.084275400266,0.032441799994558096,0.1307326997630298,587.1008627000265,6.0137571999803185,587.1676919003949,587.1676919003949,0.01383279962465167,0.11385229974985123,space,5.44019480003044,592.6508083003573,592.6508083003573,4.569999873638153e-05,0.09780449979007244,num_9,2.9647027999162674,595.6674723403063,0.002706499770283699,0.09794209990650415,595.9673936003819,596.4506257401314,596.7506780000404,597.2507211404387,597.5507565001026,597.6507718004286,605.6674569002353,605.6674569002353,605.6674312401097,0.0014770999550819397,0.09778810013085604,,607.6840727003291,607.8507473003119,608.3507157000713,10.014390999916941,,615.7838775003329,0.017423300072550774,615.7838775003329,0.1144073000177741,3.0,2.464658200275153,618.2843520003371,0.0028673000633716583,0.0975105999968946,624.2841733000241,624.4841377401259,6.230793899856508,6.330754700116813,625.5006942003965,644.4672761402559,644.4674174003303,26.214206600096077,26.314048000145704,647.4840327003039,647.4840327003039,-0.0006117001175880432,0.09733309969305992,677.5004876004532,30.013908599969,,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,677.6005025003105,0.014437499456107616,0.1139607997611165,683.6004809001461,6.013935799710453,683.7003461001441,683.7003461001441,0.014156499411910772,0.11395779950544238,space,8.267677700147033,692.0337827000767,692.0337827000767,2.7900096029043198e-05,0.09909290028735995,num_9,1.7894456000067294,693.86714044041,0.0019396999850869179,0.09789450000971556,,694.6502868404147,694.9503821004182,695.450457640132,695.750366799999,695.8337087002583,703.8504607002251,703.8504607002251,703.8504046403337,0.014548600185662508,0.09784330008551478,704.8503114003688,705.8506032000296,706.0336385001428,706.5337012000382,10.014391399919987,10.09752340009436,713.9669408001937,0.031134699936956167,713.9669408001937,0.13108679978176951,4.0,4.633392299991101,718.6339694000781,0.003681899979710579,0.09746489999815822,724.6504686004482,724.8169649403077,6.214069600217044,6.314069200307131,725.8336728001013,744.8169046404306,744.8168736002408,26.213930299971253,26.29754770034924,747.8335801004432,747.8335801004432,-0.00021960027515888214,0.09729250008240342,777.8501261002384,30.013851800002158,745.8335770000704,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,777.9502576002851,0.014625799842178822,0.11402469966560602,783.9668739000335,6.0304879997856915,784.0500309001654,784.0500309001654,0.013726499862968922,0.11384529992938042,space,3.421714900061488,787.5335372001864,787.5335372001864,5.8200210332870483e-05,0.0981829003430903,num_9,2.52947869990021,790.1167684403714,0.0018617999739944935,0.09806790016591549,790.433396700304,790.9168721401599,791.2334383004345,791.6999296403025,792.0000596004538,792.1001006001607,800.1000489001162,800.1000489001162,800.1000603401568,0.014861899893730879,0.11481960024684668,,802.1166640003212,802.2833293001167,802.8002845002338,10.014543500263244,,810.2332380004227,0.01768440008163452,810.2332380004227,0.11462979996576905,5.0,3.0646283999085426,813.3336191000417,0.0015629003755748272,0.0992846000008285,819.333303600084,819.5166387401056,6.215894600376487,6.31596070015803,820.5165189001709,839.5165990401525,839.516546800267,26.21588660031557,26.315879800356925,842.5165277002379,842.5165277002379,0.015921900048851967,0.11581410001963377,872.5331463003531,29.999049100093544,840.5332460002974,30.099095299839973,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,872.6330848000944,0.0006142999045550823,0.0990951000712812,878.6497365003452,6.015724000055343,878.7664080001414,878.7664080001414,0.03249549958854914,0.13235959969460964,space,5.425017199944705,884.2330660000443,884.2330660000443,3.100000321865082e-05,0.09786649979650974,num_9,3.078175799921155,887.3497212404851,0.0020663999021053314,0.09788609994575381,887.6496628001332,888.1329966403079,888.4330133004114,888.9497001400683,,889.333042900078,897.3496512002312,897.3496512002312,897.3496626402717,0.0009992001578211784,0.09784780023619533,898.3496110001579,899.3494837000035,899.5330171003006,900.0330206002109,10.031228000298142,,907.4829749003984,0.03404079983010888,907.4829749003984,0.13125670002773404,4.0,1.0315250996500254,908.549845200032,0.0015128999948501587,0.09909089980646968,914.5663029002026,914.7328849403654,6.215711199678481,6.315692599862814,915.7495350004174,934.7327940400224,934.7328777001239,26.215717100072652,26.315629299730062,937.7499274001457,937.7499274001457,0.0019348994828760624,0.09897339949384332,967.7661071000621,30.015637799631804,935.74946500035,,,,,,,,8770,Gustatory,2024-10-03_17h35.09.335,Gustatory_Condition_v2,2022.2.5,30.000975000693586,
