loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.545984000060706,0.0008148998022079468,0.11205779993906617,15.860706900246441,16.143962200172247,16.460828700102866,16.760767000168563,17.060651500243694,17.34395210016519,17.660594699904323,17.660594699904323,-0.0004476001486182213,0.09558299975469708,32.66065930016339,15.028851700015366,32.77762879990041,0.0124224997125566,0.112255800049752,33.260721700266004,space,1.8573443000204861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,35.1606526998803,0.0010049999691545963,0.09836209984496236,41.160721600055695,6.031718399841338,41.443992000073195,41.443992000073195,0.13749369978904724,0.2815665998496115,6.01499589998275,47.46060310024768,47.46060310024768,47.46060310024768,0.06985839968547225,0.1984908995218575,53.16071250010282,53.3609119001776,6.031912499573082,6.131833099760115,59.36067359987646,12.031714299693704,59.460863600019366,59.460863600019366,59.494020299986005,59.494020299986005,0.03204779978841543,0.13168029952794313,up,0.9996878001838923,60.52729619992897,1.4400109648704529e-05,0.09920539986342192,66.54394369991496,66.54394369991496,66.54394369991496,0.012978800106793642,0.11579670011997223,7.0,4.904090699739754,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.49451930029318,71.49451930029318,0.01149610010907054,0.11579360021278262,5.0,4.172289100009948,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.69396140007302,75.69396140007302,0.009004699997603893,0.09776940010488033,1.0,3.323249500244856,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07755970023572,79.07755970023572,0.009823800064623356,0.11443280009552836,3.0,8.572108699940145,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.67715420015156,87.67715420015156,0.009259299840778112,0.09917220007628202,5.0,3.2910195998847485,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0105067002587,91.0105067002587,0.008508900180459023,0.09826420014724135,1.0,5.057389100082219,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1274512000382,96.1274512000382,0.010811499785631895,0.11477149976417422,3.0,5.0052414000965655,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.16068430012092,101.16068430012092,0.0019601001404225826,0.09735390031710267,1.0,10.49666710011661,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,111.6942181000486,0.00022960035130381584,0.09796190029010177,117.7105942000635,6.014549300074577,117.87718489998952,117.87718489998952,0.0708241998218,0.1812256001867354,6.014546799939126,123.97739960020408,123.97739960020408,123.97739960020408,0.07136669987812638,0.18145069992169738,129.67727150022984,129.87745730020106,6.014760300051421,6.114548400044441,135.8772983001545,12.014565299730748,135.97726730024442,135.97726730024442,136.0106366002001,136.0106366002001,0.0146870999597013,0.11452029971405864,down,1.0596703002229333,137.1109207002446,2.8099864721298218e-05,0.0987737001851201,,143.14414229989052,143.14414229989052,0.026320400182157755,0.13221010006964207,1.0,2.4734331998042762,,,,,,,123.87728550005704,123.87728550005704,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.64390549995005,145.64390549995005,0.008267499972134829,0.09785400005057454,4.0,7.890585800167173,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.57713430002332,153.57713430002332,0.008882200345396996,0.09724130015820265,1.0,6.289567799773067,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.9103998001665,159.9103998001665,0.006788900122046471,0.09898380003869534,7.0,1.9603113001212478,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.92741960007697,161.92741960007697,0.008452599868178368,0.11473620031028986,2.0,3.3072355003096163,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.26053189998493,165.26053189998493,0.007639899849891663,0.0980004002340138,7.0,1.4579416001215577,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.76068529998884,166.76068529998884,0.007548099849373102,0.09792080009356141,1.0,8.091125499922782,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.89409840013832,174.89409840013832,0.0018158000893890858,0.09784970013424754,1.0,4.197359099984169,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,179.1275201998651,0.0003079003654420376,0.09790180018171668,185.12723220000044,6.0312077002599835,185.34375460026786,185.34375460026786,0.1004339000210166,0.21451879991218448,6.014529699925333,191.41096650017425,191.41096650017425,191.41096650017425,0.0754700000397861,0.18141990015283227,197.1105398000218,197.3105708998628,6.014549400191754,6.114496299996972,203.31052190018818,12.014494199771434,203.41055590007454,203.41055590007454,203.4440223001875,203.4440223001875,0.014726599678397179,0.11445749970152974,up,3.5461559002287686,207.0438803001307,4.539964720606804e-05,0.09753589984029531,,213.06034850003198,213.06034850003198,0.0258327997289598,0.11431289976462722,2.0,3.389311700128019,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.51050470024347,216.51050470024347,0.008854600135236979,0.11369429994374514,1.0,3.17250860016793,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.71039790008217,219.71039790008217,0.007821400184184313,0.0978413000702858,2.0,3.091015700250864,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.84398090001196,222.84398090001196,0.006677799858152866,0.0985885001718998,5.0,2.6260595000348985,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.51051090005785,225.51051090005785,0.0073772999458014965,0.0977390999905765,1.0,3.0248243999667466,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.59394650021568,228.59394650021568,0.009163999930024147,0.11383630009368062,5.0,2.9387535001151264,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
