Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,Instruction.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,21.040889398381115,0.000478401780128479,0.09409470111131668,21.308033399283886,21.541044599190354,21.807930000126362,22.04118929877877,22.30773769877851,22.30773769877851,0.027466000989079475,0.1276444010436535,37.324512999504805,15.010904701426625,37.44117559865117,0.03002770058810711,0.12745880149304867,6.01091100089252,43.45784599892795,43.524512600153685,43.524512600153685,0.011006200686097145,0.11089890077710152,space,4.876798400655389,48.44120349921286,48.44120349921286,5.150027573108673e-05,0.09774830006062984,num_9,3.55230020172894,52.04136139973998,0.0024379994720220566,0.0976232998073101,52.357802798971534,52.841127798706296,53.1578036993742,53.62437999881804,53.94117269851267,54.024485198780894,62.04107929952443,62.04107929952443,62.041116698458794,0.0011442992836236954,0.09761040098965168,63.05789289996028,64.05776629969478,64.22450939938426,64.7411461994052,10.010688999667764,10.097355900332332,72.14096049964428,72.14096049964428,0.03074590116739273,0.13077760115265846,5.0,4.499883698299527,76.67474719882011,0.002319399267435074,0.09889240004122257,82.65760879963636,82.85776179917157,6.215513300150633,6.315512599423528,83.87438899837434,102.85756519883871,102.85790019854903,26.215676300227642,26.315446300432086,103.89127139933407,105.85774689912796,105.85774689912796,0.015600200742483139,0.11546800099313259,135.85768879950047,30.015521300956607,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,135.99102929979563,0.01602190174162388,0.11540630087256432,6.032219601795077,142.00778429955244,142.10768959857523,142.10768959857523,0.0321866013109684,0.13203470222651958,space,3.8380610011518,145.99104470014572,145.99104470014572,3.850087523460388e-05,0.09821530058979988,num_9,4.0501308012753725,150.07459129840134,0.0019308999180793762,0.09708240069448948,150.37424139864743,150.85783770009874,151.1576239001006,151.6743692986667,151.9742375984788,152.0576347000897,160.0743613988161,160.0743613988161,160.07430219911038,0.0003732014447450638,0.09712420031428337,161.07409350015223,162.09110629931092,162.25766209885478,162.75765349902213,10.013900700956583,,170.19091549888253,170.19091549888253,0.015743300318717957,0.11382840014994144,5.0,3.1328241005539894,173.35772950015962,0.0015134010463953018,0.09931020066142082,179.35772559978068,179.5407414983958,6.215606899932027,6.299123400822282,180.55775429867208,199.54112019836901,199.54088839888573,26.215748600661755,26.315748400986195,200.55757609941065,202.54092559963465,202.54092559963465,0.01582620106637478,0.11573360115289688,232.5575198996812,29.99900360032916,30.098942501470447,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,232.65750599838793,0.0003653019666671753,0.09901220165193081,6.015830202028155,238.67400779947639,238.77420429885387,238.77420429885387,0.015590101480484009,0.11569980159401894,space,2.0514898020774126,240.8741806000471,240.8741806000471,5.4799020290374756e-05,0.09789609909057617,num_9,2.647347802296281,243.5741393983364,0.002148600295186043,0.09803350083529949,,244.37398899979888,244.69082779996097,245.15743059925734,245.45767759904265,245.55746029876173,253.57413059845567,253.57413059845567,253.57425109930335,0.0014373008161783218,0.09802510030567646,,255.5741134993732,255.7407033983618,256.24079129844904,10.014513900503516,10.097838500514627,263.6741240993142,263.6741240993142,0.0003091003745794296,0.09793890081346035,2.0,7.6318651009351015,271.34105530008674,0.002444598823785782,0.09791469946503639,277.34075869992375,277.5239743988961,6.214411498978734,6.314340800046921,278.5241331998259,297.52400529831647,297.5241425987333,26.2146573998034,26.31467879936099,298.5238085985184,300.52401449903846,300.52401449903846,0.014541801065206528,0.1144845001399517,330.52374609932303,30.014196500182152,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,330.6574264988303,0.01534930057823658,0.11436830088496208,6.014375099912286,336.6572699993849,336.7573654986918,336.7573654986918,0.014504801481962204,0.11433110013604164,space,2.307745201513171,339.1072797998786,339.1072797998786,5.219876766204834e-05,0.09783539921045303,num_9,2.2541999015957117,341.4071937993169,0.0006562992930412292,0.09930820018053055,341.7073065992445,342.1737466983497,342.49055919982493,342.97381679974495,343.2907126992941,343.3739036992192,351.37400659918785,351.37400659918785,351.3738431993872,-0.0004818011075258255,0.0994854997843504,352.3738485984504,353.3738788999617,353.55703159980476,354.07390139997005,9.999286198988557,10.099479399621487,361.507054599002,361.507054599002,0.0033037997782230377,0.099235899746418,4.0,1.6636406984180212,363.2071740999818,0.0031882990151643753,0.09753130003809929,369.22376709990203,369.3904485989362,6.214175999164581,6.314087299630046,370.4071151986718,389.39031330011784,389.3903989996761,26.214070599526167,26.314077999442816,390.4237796999514,392.40706729888916,392.40706729888916,-0.00012060068547725677,0.09739529900252819,422.42368800006807,30.013903100043535,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,422.5236331000924,0.014753300696611404,0.13058840110898018,6.030682099983096,428.5402660984546,428.6403855998069,428.6403855998069,0.030887000262737274,0.13077220134437084,space,2.5608383025974035,431.24032980017364,431.24032980017364,3.6600977182388306e-05,0.09756089933216572,num_9,2.1452465020120144,433.4236203998327,0.0020592007786035538,0.09796310029923916,433.7236563991755,434.2070495996624,434.5071601998061,435.0069516997784,,435.4070301000029,443.4070962984115,443.4070962984115,443.4069937996566,0.014760900288820267,0.11451390013098717,444.4068534001708,445.42366629838943,445.6070515997708,446.10684649832547,10.031148800626397,,453.55674020014703,453.55674020014703,0.03378680162131786,0.13092629984021187,2.0,5.131669098511338,458.7235534992069,0.002328399568796158,0.11474670097231865,464.72348299995065,464.92365989908575,6.231588400900364,6.33127379976213,,484.92337899915873,484.92341589927673,26.231281800195575,26.33121469989419,485.956777298823,,487.9400633983314,0.01636050082743168,0.11455150134861469,517.9567040000111,30.03100360184908,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.0565781984478,0.03138640150427818,0.13103110156953335,548.056522898376,30.030918901786208,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,548.1565507985651,0.03297810256481171,0.13092810101807117,6.030989101156592,554.1564849987626,554.2564950995147,554.2564950995147,0.031156202778220177,0.13111750222742558,space,2.1205878015607595,556.43981859833,556.43981859833,4.189833998680115e-05,0.09797179885208607,num_9,2.9215312022715807,559.4231355998666,0.0020096004009246826,0.097978999838233,559.7229998987168,560.2064277984202,560.5064326990396,561.0231095988304,561.3229552991688,561.3895972985774,569.389733498916,569.4231174997985,569.4230401989073,0.031246300786733627,0.13119309954345226,,571.4062657989562,571.6063901986927,572.1064480990171,10.014452999457717,,579.5396405998617,579.5396405998617,0.017480000853538513,0.11439459957182407,3.0,3.431707799434662,583.0065345000476,0.0022151004523038864,0.09784020110964775,589.0230952985585,589.189578999579,6.214447300881147,6.314455101266503,590.1896087992936,609.1894743990154,609.1896166000515,26.21444750018418,26.314394799992442,610.1897115986794,612.2064202986658,612.2064202986658,0.000307401642203331,0.09772960096597672,642.2061143983155,30.030909100547433,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,642.3394502997398,0.031657202169299126,0.13060510158538818,6.030988501384854,648.3394304998219,648.4393565990031,648.4393565990031,0.030949002131819725,0.1308422014117241,space,3.194437501952052,651.6726596988738,651.6726596988738,3.349967300891876e-05,0.09823520109057426,num_9,1.63293950073421,653.3396098993719,0.0013853013515472412,0.09835880063474178,653.639446400106,654.1394251983613,654.4393149986863,654.9224831990898,655.2396475989372,655.3394244983792,,663.3560719992965,663.3560140997172,0.01776760071516037,0.11465360037982464,664.3559119999409,665.3560562990606,665.5394148994237,666.0393634997308,10.014824401587248,10.098078900948167,673.4392064996064,673.4392064996064,0.0009584017097949982,0.09805220179259777,5.0,2.6662496998906136,676.139591800049,0.003772098571062088,0.09714499861001968,682.1393216997385,682.3392592992634,6.2304567992687225,6.330437399446964,683.3392823990434,702.3224617995322,702.3227757997811,26.213986199349165,26.31372969970107,703.3392225001007,705.3225566986948,705.3225566986948,0.013825200498104095,0.1137182991951704,735.3224656991661,30.013658300042152,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,735.4557820986956,0.014342200011014938,0.11354739964008331,6.013519000262022,741.4557544998825,741.5557822994888,741.5557822994888,0.01378990150988102,0.11352330073714256,space,3.205426100641489,744.8225456997752,744.8225456997752,2.4499371647834778e-05,0.09836330078542233,num_9,2.363501101732254,747.2224700998515,0.002490399405360222,0.11448870040476322,747.5391291994601,748.0057918995619,748.3223636001348,748.8223389990628,749.13896769844,749.2057114001364,757.2057814989239,757.2057814989239,757.2058410000056,0.014645000919699669,0.11465729959309101,,759.2222881987691,759.3889740984887,759.8722785990685,10.014312099665403,10.09772190079093,767.3221999984235,767.3221999984235,0.001057300716638565,0.09754810109734535,4.0,1.264384899288416,768.6226542983204,0.0016815997660160065,0.09929109923541546,774.6222451999784,774.8055225990713,6.2159604001790285,6.315869899466634,775.8055103998631,794.8053569000215,794.8055077996105,26.21581619977951,26.315814500674605,,797.8054862990975,797.8054862990975,0.015799300745129585,0.11571540124714375,827.8053783997893,30.015660900622606,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,827.9386537000537,0.01611810177564621,0.11563560180366039,6.015592800453305,833.9218274001032,834.038816999644,834.038816999644,0.016021400690078735,0.11559360101819038,space,2.9545624013990164,837.0553382989019,837.0553382989019,5.649961531162262e-05,0.09816909953951836,num_9,1.4668110013008118,838.5719927985222,0.0018868986517190933,0.09791160002350807,838.8886278998107,839.3553048994393,839.6552994996309,840.1551749993116,,840.5553018990904,848.5554976984859,848.5554976984859,848.5552157990635,0.014796199277043343,0.11450439877808094,849.555174799636,850.5719592999667,850.7554454989731,851.2384496983141,10.014340499415994,,858.6884517986327,858.6884517986327,0.01732189953327179,0.1142903994768858,3.0,2.764767101034522,861.4888570997864,0.0015030000358819962,0.09934220090508461,867.4885224997997,867.6884938001633,6.199036899954081,6.29903700016439,868.6885352991521,887.6885520990938,887.6884605996311,26.199109399691224,26.298947799950838,888.6884205993265,,890.7051081992686,0.017347000539302826,0.11566640064120293,920.7216334994882,30.03219610080123,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
