loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_10.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.440244802832602,0.0008032005280256271,0.11316940002143383,24.756641201674938,25.039802600443362,25.339724201709032,25.639810801297426,25.939759401604533,26.239793400093912,26.556328600272536,26.556328600272536,0.029988400638103485,0.13003740087151527,41.55641970038414,15.03004919923842,41.689837200567126,0.03038010001182556,0.1299980003386736,42.13978090137243,space,1.6933875009417534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,43.87319450080395,0.0030761994421482086,0.09814049862325191,49.88964030146599,6.014887399971485,50.10654480010271,50.10654480010271,0.09201549924910069,0.23159129917621613,6.031518699601293,56.206326400861144,56.206326400861144,56.206326400861144,0.09781710058450699,0.23155120015144348,61.90639650076628,62.07311370037496,6.03163049928844,6.131472699344158,68.07308510132134,12.031601699069142,68.20639100112021,68.20639100112021,0.03177110105752945,0.13154220022261143,up,2.2899680994451046,70.53969530016184,6.690062582492828e-05,0.0977488998323679,76.55636140145361,76.55636140145361,76.55636140145361,0.010075701400637627,0.11412420123815536,2.0,23.588351799175143,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1730492003262,100.1730492003262,0.008411901071667671,0.09987610019743443,4.0,5.158606199547648,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.37298040091991,105.37298040091991,0.008383400738239288,0.09913220070302486,3.0,3.425002299249172,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.8565923012793,108.8565923012793,0.010398998856544495,0.11400680057704449,2.0,3.804959999397397,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.68968850001693,112.68968850001693,0.008529501035809517,0.09913930110633373,3.0,4.592704199254513,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.32359600067139,117.32359600067139,0.007019098848104477,0.0987445991486311,5.0,2.992628298699856,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.35648760013282,120.35648760013282,0.009071500971913338,0.09764599986374378,4.0,4.58964280039072,,,,,,,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.98973230086267,124.98973230086267,0.0012585986405611038,0.09761419892311096,4.0,13.39770570024848,,,,,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,138.42343090102077,0.00029639899730682373,0.09764399938285351,144.43974240124226,6.014174798503518,144.60635180026293,144.60635180026293,0.07410609908401966,0.1810426004230976,6.014217998832464,150.70655350014567,150.70655350014567,150.70655350014567,0.07075870037078857,0.1810407005250454,156.406436201185,156.606434000656,6.014289500191808,6.1143810991197824,162.60661750100553,12.014445399865508,162.73969440162182,162.73969440162182,0.014468900859355927,0.11417900025844574,up,1.4370606988668442,164.22305390052497,4.279986023902893e-05,0.09803649969398975,170.22362990118563,170.22362990118563,170.22362990118563,0.006613999605178833,0.09816929884254932,2.0,3.2591146994382143,,,,,,,150.60640750080347,150.60640750080347,162.70639130100608,162.70639130100608,,,,8827,Moral,2024-07-09_10h25.09.902,MoralCondition_v2,2022.2.5,30.00320737078306,
