loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.208190193027258,0.0005849990993738174,0.10067749954760075,15.888192950934172,16.32161690108478,16.32161690108478,0.00027189962565898895,0.1008422002196312,31.338111899793148,15.017402300611138,31.438236201182008,31.438236201182008,0.017579199746251106,0.11760769970715046,space,4.710821397602558,,,,,,,,,,,,,,,,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
0,0,0,0,,,,,,,,,,,,,,,,,36.18812290020287,0.0013123992830514908,0.09813120029866695,42.18840220011771,6.031698999926448,42.32147050090134,0.03078879974782467,0.13134069927036762,48.32160470075905,6.031336199492216,48.421474700793624,0.033862700685858727,0.1315247993916273,0.0,4.58170760050416,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
1,0,1,0,,,,,,,,,,,,,,,,,53.03815090097487,0.0005123987793922424,0.09711689874529839,59.0217025000602,6.014072999358177,59.17135300114751,0.02942979894578457,0.130604799836874,65.17136020027101,6.030373400077224,65.27128699980676,0.03299099951982498,0.13036080077290535,1.0,11.73165619932115,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
2,0,2,0,,,,,,,,,,,,,,,,,77.03839250095189,0.0004424992948770523,0.09769020043313503,83.05477320030332,6.014311200007796,83.1714745014906,0.02536820061504841,0.13121169991791248,89.17135040089488,6.030986299738288,89.25458160042763,0.016832400113344193,0.11420639976859093,2.0,8.298641499131918,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
3,0,3,0,,,,,,,,,,,,,,,,,97.58821780048311,0.0005855001509189606,0.09752020053565502,103.58791220001876,6.030867300927639,103.73794580064714,0.04395960085093975,0.14750370010733604,109.73787990026176,6.014115700498223,109.80448630079627,0.01740560121834278,0.11426680162549019,0.0,13.497605301439762,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
4,0,4,0,,,,,,,,,,,,,,,,,123.33822620101273,0.000631699338555336,0.09730220027267933,129.35451790131629,6.013915799558163,129.4712337013334,0.029504500329494476,0.13080389983952045,135.4711372014135,6.030497100204229,135.571047000587,0.03300340101122856,0.13073690049350262,3.0,12.298687299713492,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
5,0,5,0,,,,,,,,,,,,,,,,,147.90470760129392,0.0004247017204761505,0.0976743008941412,153.92108180001378,6.014207201078534,154.03767690062523,0.030078500509262085,0.1311986017972231,160.02098440006375,6.030713301151991,160.12090380117297,0.016315901651978493,0.11421470157802105,0.0,3.566016500815749,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
6,0,6,0,,,,,,,,,,,,,,,,,163.7213148009032,0.00046369992196559906,0.09724329970777035,169.72104020044208,6.030638599768281,169.87106730043888,0.04979940131306648,0.14742750115692616,175.87094349972904,6.013860801234841,175.93756120093167,0.01573830097913742,0.1138979010283947,3.0,8.598883099853992,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
7,0,7,0,,,,,,,,,,,,,,,,,184.57121700048447,0.0006293002516031265,0.09762690030038357,190.57095289975405,6.0308706015348434,190.72093220055103,0.04670390114188194,0.14766750112175941,196.72093680128455,6.014169601723552,196.8041714001447,0.03356420062482357,0.1307516023516655,4.0,11.864894298836589,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
8,0,8,0,,,,,,,,,,,,,,,,,208.70447359979153,0.0007106997072696686,0.09721219912171364,214.70420500077307,6.030412700027227,215.32105650007725,0.35064860060811043,0.6139786001294851,,6.010190600529313,220.93741079978645,0.03323039971292019,0.13031160086393356,2.0,7.064909400418401,6.09710150025785,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
9,0,9,0,,,,,,,,,,,,,,,,,228.03779270127416,0.0006405990570783615,0.09720410034060478,234.0541224014014,6.0137533992528915,234.18741749972105,0.04222019948065281,0.1471996996551752,240.18746970035136,6.013641899451613,240.25413820147514,0.016502199694514275,0.11359780095517635,0.0,1.398157600313425,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
10,0,10,0,,,,,,,,,,,,,,,,,241.68763449974358,0.0003955010324716568,0.09773060120642185,247.67060510069132,6.014219701290131,247.80404330044985,0.011717000976204872,0.11436680145561695,253.8040568009019,6.014463100582361,253.90397080034018,0.016954900696873665,0.11408720165491104,1.0,5.731792699545622,,6.097800800576806,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
11,0,11,0,,,,,,,,,,,,,,,,,259.6707710009068,0.00023469887673854828,0.09893389977514744,265.6873854007572,6.015584899112582,265.8039567004889,0.029805699363350868,0.13243559934198856,271.8041208013892,6.032257100567222,271.88721690140665,0.016664599999785423,0.11557799950242043,2.0,4.199839599430561,,,9206,Visual,2024-07-03_14h37.19.523,Visual_Condition_v2,2022.2.5,29.956963867678684,
