loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.580411699484102,0.002488899976015091,0.1082882999908179,18.17586820999859,18.49247870000545,18.792538510018495,19.10918839997612,19.3758776100236,19.709155300050043,19.709155300050043,0.04171430005226284,0.14179070002865046,34.70901520003099,15.024867999949493,34.80907399998978,0.008137500029988587,0.12513840000610799,35.29248709999956,space,0.6995129000861198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,36.042502900003456,0.017508900025859475,0.11492009996436536,42.059309100033715,6.031383999972604,42.30901840003207,42.30901840003207,0.1350277999881655,0.2814607999753207,6.014708900009282,48.34260400000494,48.34260400000494,48.34260400000494,0.07731620001140982,0.214726300095208,54.042510099941865,54.20911349996459,6.014700900064781,6.114688600064255,60.209152800031006,12.014812800101936,60.3426243000431,60.3426243000431,0.01492140011396259,0.11484620010014623,up,0.704595600022003,61.109147000010125,6.769993342459202e-05,0.09811079991050065,67.12584700004663,67.12584700004663,67.12584700004663,0.012518199975602329,0.11450229992624372,1.0,13.2861151000252,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.45946080004796,80.45946080004796,0.012457899982109666,0.11349769996013492,1.0,4.168826299952343,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.67593230004422,84.67593230004422,0.0196771000046283,0.11442220001481473,2.0,9.862171899992973,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59270309994463,94.59270309994463,0.009672999964095652,0.11431079998146743,2.0,3.2055555999977514,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.84264559997246,97.84264559997246,0.009975600056350231,0.11357789998874068,2.0,2.204598900047131,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07580999995116,100.07580999995116,0.011124700075015426,0.09780470002442598,4.0,2.7876957999542356,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.90923690004274,102.90923690004274,0.009928499930538237,0.09784699999727309,2.0,3.0885653001023456,,,,,,,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.04262610001024,106.04262610001024,0.0007536999182775617,0.09898739994969219,6.0,10.733384999912232,,,,,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,116.80956480000168,0.00014290004037320614,0.0991611999925226,122.82591210003011,6.015736100031063,122.99242989998311,122.99242989998311,0.07008370000403374,0.1825272999703884,6.015750400023535,129.09269159997348,129.09269159997348,129.09269159997348,0.07649950007908046,0.18256520002614707,134.79269459994975,134.99255840003025,6.01577840000391,6.115676400018856,140.99255860003177,12.015781300025992,141.1258953999495,141.1258953999495,0.015988800092600286,0.11578000010922551,up,5.1219857999822125,146.29260189994238,3.930006641894579e-05,0.09786200011149049,,152.3090965000447,152.3090965000447,0.025522600044496357,0.11463389999698848,1.0,2.2566689000232145,,,,,,,128.9925922000548,128.9925922000548,141.09261219995096,141.09261219995096,,,,9216,Moral,2024-10-29_19h06.39.919,MoralCondition_v2,2022.2.5,29.9867518603686,
