loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,17.41439453999046,0.0005638999864459038,0.11201769998297095,17.828810099978,18.095427619980182,18.52879610005766,18.52879610005766,0.009960099938325584,0.11220860003959388,33.52881249994971,15.012217800016515,33.64547760004643,33.64547760004643,0.029016299988143146,0.12887270003557205,space,11.707687599933706,,,,,,,,,,,,,,,,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
0,0,0,0,,,,,,,,,,,,,,,,,,45.395540500059724,0.001774400006979704,0.09809990006033331,51.39545700000599,6.031645400100388,51.61237059999257,0.11556280008517206,0.21510490006767213,6.014907800126821,57.612005900009535,0.017382000107318163,0.115018300130032,0.0,2.2653042000019923,,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
1,0,1,0,,,,,,,,,,,,,,,,,,59.91229030000977,0.00036860001273453236,0.0988882000092417,65.92880800005514,6.0155765999807045,66.04533470002934,0.036123699974268675,0.1322103999555111,6.032227099989541,72.14539059996605,0.03472180000972003,0.13220870005898178,0.0,6.931797099998221,72.04563780000899,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
2,0,2,0,,,,,,,,,,,,,,,,,,79.11236440006178,0.00046469992958009243,0.09822929999791086,85.09532419999596,6.014644899987616,85.2286371999653,0.02221530000679195,0.11467509996145964,6.014802600024268,91.32873439998366,0.016388299991376698,0.11483059998136014,1.0,3.966020799940452,91.22864620003384,6.0978139999788254,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
3,0,3,0,,,,,,,,,,,,,,,,,,95.3289950999897,0.0006237000925466418,0.09729350009001791,101.32872130000032,6.0305558000691235,101.47870360000525,0.051153400097973645,0.1474660000531003,6.0138488000957295,107.54552479996346,0.016609400045126677,0.11389850010164082,1.0,6.898210999905132,107.47873560001608,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
4,0,4,0,,,,,,,,,,,,,,,,,,114.47879359999206,0.00022000004537403584,0.09925279999151826,120.4787718000589,5.999291799962521,120.59539350005798,0.0215145000256598,0.11615640006493777,6.015885300002992,126.69531450001523,0.018548300024122,0.11592950008343905,1.0,2.364913900033571,126.59541019995231,6.099270400009118,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
5,0,5,0,,,,,,,,,,,,,,,,,,129.09551979997195,0.00022829999215900898,0.09892670006956905,135.0953654999612,6.032275800011121,135.24528589996044,0.04714320006314665,0.1488790001021698,6.015572900068946,141.31194459996186,0.018018400063738227,0.11540390003938228,2.0,1.2317994999466464,141.24556630000006,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
6,0,6,0,,,,,,,,,,,,,,,,,,142.57899730000645,0.0005271999398246408,0.09735099994577467,148.57872350001708,6.030682899989188,148.72862359997816,0.042424799990840256,0.14729640004225075,6.013931400026195,154.79527250002138,0.016381900059059262,0.1138938000658527,2.0,2.1650824999669567,154.72869170003105,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
7,0,7,0,,,,,,,,,,,,,,,,,,156.9953609999502,0.0007369999075308442,0.09770439995918423,163.01201039995067,6.014237699913792,163.12853570003062,0.03931419993750751,0.1309553999453783,6.030943499994464,169.21198540006299,0.015467599965631962,0.11436919996049255,1.0,3.966380800004117,169.12867720006034,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
8,0,8,0,,,,,,,,,,,,,,,,,,173.21230799995828,0.00021970004308968782,0.09924430004321039,179.211814600043,6.015707800048403,179.32857709995005,0.011977900052443147,0.1158871001098305,6.016075700055808,185.42853439995088,0.01840900012757629,0.11589710006956011,0.0,2.131730999913998,185.32871679996606,6.099106200039387,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
