Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,p_port_14.started,rest_text.stopped,Begin_Rinse.stopped,Finish_rinse.stopped,taste_sound_2.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,Rinse_Spit.stopped,Roll_liquid_taste.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,21.864941679965707,0.0007040002383291721,0.11578459991142154,22.130985300056636,22.347489010030404,22.614030600059777,22.864034709939734,23.14742900012061,0.01810240000486374,0.14916629996150732,15.015845300164074,38.180764799937606,38.24745880020782,0.019030800089240074,0.14922090014442801,6.015864300075918,44.28091730037704,44.34760159999132,44.34760159999132,0.01605019997805357,0.14913279982283711,space,4.119190900120884,48.51428060000762,48.51428060000762,4.039984196424484e-05,0.13142200000584126,num_9,16.928835599683225,65.46406501014717,0.0019807997159659863,0.11429389985278249,65.78062249999493,66.28076951014809,67.06409661001526,67.38065560022369,67.48090169997886,75.5142272002995,75.49746621022932,0.03397009987384081,0.1643483000807464,76.51416750019416,77.54743990022689,77.68091330025345,78.21407330036163,10.014332400169224,85.59765540016815,0.01761749992147088,85.59765540016815,0.1476695998571813,4.0,3.0479301000013947,88.68067390006036,0.0024547004140913486,0.1306512001901865,94.69732550019398,94.86387311010621,6.213709500152618,6.313772300258279,114.86386860995553,114.88070540037006,26.23077300004661,26.34736380027607,117.91407860023901,0.03236930025741458,0.16401439998298883,30.01403720024973,147.93068230012432,,,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,147.99729129998013,0.014857899863272905,0.1472469000145793,6.0306091997772455,154.0139899002388,154.09733950020745,154.09733950020745,0.013983499724417925,0.14725530007854104,space,2.8337968001142144,156.96417669998482,156.96417669998482,3.620004281401634e-05,0.13052920019254088,num_9,8.279523399658501,165.28065591021442,0.002237999811768532,0.1314987000077963,,166.08054011031055,166.88068851032295,,167.31402660021558,175.33062530029565,175.31397220999935,0.03404750023037195,0.16491390019655228,,177.34726940002292,177.4804988000542,177.99720740038902,10.031347699929029,185.43045730004087,0.03417199989780784,185.43045730004087,0.16467329999431968,3.0,3.098164400085807,188.56426799995825,0.0015350999310612679,0.13253160007297993,194.58055940037593,194.74726661010646,6.199198000133038,6.332489800173789,214.7470860103611,214.76386080030352,26.199018999934196,26.332333500031382,217.79733830038458,0.03435380011796951,0.16583129996433854,30.015899899881333,247.81385440006852,195.76405120035633,215.7805530000478,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,247.8805206003599,0.016644599847495556,0.14908319991081953,6.015779099892825,253.91381540009752,253.99715310009196,253.99715310009196,0.03262769989669323,0.1657776995562017,space,2.0299505996517837,256.0638762000017,256.0638762000017,3.310013562440872e-05,0.11497300025075674,num_9,3.395696399733424,259.48050281028264,0.0018672998994588852,0.13139740005135536,,260.2971463100519,261.0971771101002,261.4138015001081,261.5137559999712,269.53039090009406,269.5137994102668,0.033856899943202734,0.16471430007368326,270.5471447999589,271.54758770018816,271.71380620030686,272.23051370028406,10.014500000048429,279.6137932999991,0.01684030005708337,279.6137932999991,0.14784679980948567,2.0,2.6322234999388456,282.28051310032606,0.0016987998969852924,0.13247389998286963,288.31375170033425,288.46379681020045,6.199167300015688,6.332432999741286,308.46362781007775,308.48039150005206,26.232504699844867,26.365772999823093,311.4970497000031,0.01753099961206317,0.14896109979599714,29.999038299545646,341.51365220034495,289.480315499939,,260.6137924003415,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,341.61362660024315,0.03314889967441559,0.16583099961280823,6.015644499566406,347.63031359994784,347.69696680037305,347.69696680037305,0.015751199331134558,0.14899699948728085,space,2.514982799999416,350.24698649998754,350.24698649998754,3.79001721739769e-05,0.13101280014961958,num_9,2.1639068997465074,352.44711741008797,0.0025879000313580036,0.13130880007520318,,353.26362121007406,354.0469278101344,354.36362370010465,354.4636400002055,362.48020680015907,362.46353781032377,0.016978099942207336,0.14795920019969344,,364.5135882003233,364.68041600007564,365.2137000001967,10.014586800243706,372.5801655999385,0.017511500045657158,372.5801655999385,0.14771550009027123,3.0,1.3983860001899302,374.0137319001369,0.00157919991761446,0.13265560008585453,380.03021370014176,380.1970488102641,6.199366899672896,6.315893999766558,400.1968692102935,400.2137718000449,26.19920070003718,26.332388599868864,403.2301552002318,0.017722499556839466,0.14913849951699376,30.0158669995144,433.2634109002538,381.2135161999613,,353.5803149002604,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,433.33029230032116,0.016380699817091227,0.14915999956429005,6.015729299746454,439.36338490014896,439.43017920013517,439.43017920013517,0.01591089926660061,0.14904699940234423,space,0.7888242001645267,440.2633734000847,440.2633734000847,5.429983139038086e-05,0.13126439973711967,num_9,1.9233547998592257,442.23009951035493,0.002218300011008978,0.13137740036472678,442.546709400136,443.0467467102688,443.82994191017934,444.1466944999993,444.2467368002981,452.280029500369,452.2633310099598,0.03388669993728399,0.16471619997173548,,454.313384400215,454.44669779995456,454.9800211000256,10.014676100108773,462.37988719996065,0.03427440021187067,462.37988719996065,0.16470040008425713,1.0,2.8980753999203444,465.31354410015047,0.0015573999844491482,0.132525899913162,471.34668490011245,471.496664510062,6.199218399822712,6.332543000113219,491.49659061008134,491.5132637000643,26.19919200008735,26.332461999729276,494.52988249994814,0.017051999922841787,0.14915289962664247,30.0156924999319,524.5631105001085,,492.51316400012,443.36327140033245,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.6298044002615,0.016058699693530798,0.1490419995971024,554.6463950001635,30.03230489976704,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,554.7463989001699,0.03418839955702424,0.16563009936362505,6.015564799308777,560.763083900325,560.8297504000366,560.8297504000366,0.01564589934423566,0.1489070993848145,space,1.453369699884206,562.3296581003815,562.3296581003815,1.769978553056717e-05,0.13095120014622808,num_9,2.409466600045562,564.7630977099295,0.0018700002692639828,0.1311746002174914,,565.563097410323,566.3627963102888,,566.7963866000064,574.7962309001014,574.7796378102619,0.01723740017041564,0.14781450014561415,,576.7962313001044,576.9796708002687,577.4961769003421,10.014414499979466,584.8962111002766,0.017408400308340788,584.8962111002766,0.1477336003445089,3.0,2.1652381997555494,587.0962228002027,0.0025581996887922287,0.13089919975027442,593.1296043000184,593.2796163102146,6.23096159985289,6.364193900022656,613.2795208100695,613.2962321001105,26.230856699869037,26.36410539969802,616.3295168001205,0.032507299445569515,0.16409049974754453,30.014119999483228,646.3293184000067,,614.2961547002196,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,646.4294047001749,0.031386999413371086,0.16397809935733676,6.030668699648231,652.462757000234,652.5294162002392,652.5294162002392,0.0308869993314147,0.14715479966253042,space,0.9940723003819585,653.5794329000637,653.5794329000637,3.220001235604286e-05,0.1315430998802185,num_9,5.320404800120741,658.9461645101662,0.002712000161409378,0.13115830020979047,659.2626503999345,659.76271171025,660.5459132100921,,660.9626807002351,668.9960354999639,668.979344509961,0.03420590003952384,0.16445760009810328,669.9959365003742,671.0294431000948,671.1459623002447,671.6459409999661,10.014463300351053,679.079203300178,0.017284899950027466,679.079203300178,0.14788440009579062,1.0,1.198552600108087,680.3128563002683,0.002902599982917309,0.13092429982498288,686.3292982000858,686.4957662103232,6.213964200112969,6.314471899997443,706.512527810363,706.5292287999764,26.214127900078893,26.347501299809664,709.5292343003675,0.015965099912136793,0.14761989982798696,30.030725099612027,739.5457260999829,,,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,739.6457474003546,0.03149429941549897,0.16400259966030717,6.014054599683732,745.6623895000666,745.729040700011,745.729040700011,0.01411509932950139,0.14728809939697385,space,1.7139353998936713,747.4957686001435,747.4957686001435,4.579965025186539e-05,0.1311257998459041,num_9,1.3792099999263883,748.9126119100954,0.0021035000681877136,0.11402320023626089,,749.7123858099337,750.5122982100117,,750.94569350034,758.9456879002973,758.928984110197,0.016312300227582455,0.14729380002245307,759.9455973999575,760.9790047002025,761.1290208999999,761.6288560000248,10.030838000122458,769.0622061002068,0.03335000015795231,769.0622061002068,0.16396010015159845,4.0,0.7651039999909699,769.8623087001033,0.0017694002017378807,0.1316975001245737,775.8789661000483,776.0623068101238,6.215031300205737,6.3483146000653505,796.0455571100581,796.0622217999771,26.231657300144434,26.364948900416493,799.095549300313,0.033296000212430954,0.16494029993191361,30.014965900219977,829.1121029001661,,797.062121800147,,,,,,,,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,829.178778800182,0.015539499931037426,0.14812529971823096,6.0314815999008715,835.1953945001587,835.2954309000634,835.2954309000634,0.03158489987254143,0.16480989987030625,space,1.1954506002366543,836.528778300155,836.528778300155,4.8199668526649475e-05,0.1307740998454392,num_9,2.026055600028485,838.5953955100383,0.0022746999748051167,0.13144999975338578,838.9120908002369,839.3952981102746,840.1953079099301,840.5287534999661,840.6287358002737,848.628718400374,848.6121957101393,0.017686599865555763,0.13126609986647964,,850.6453478001058,850.8119996003807,851.3454795000143,10.014709299895912,858.7285409001634,0.01688429992645979,858.7285409001634,0.14786759996786714,4.0,0.6322862999513745,859.3956463001668,0.0015858002007007599,0.13253690022975206,865.4286466003396,865.5620276103261,6.215883399825543,6.3492076001130044,885.5618831100408,885.5785740003921,26.215863100253046,26.349260000046343,888.5951966000721,0.0017297999002039433,0.13249599980190396,30.01571789989248,918.6117670000531,,,,,,,,,888.5951966000721,,9412,Gustatory,2024-08-20_18h58.43.658,Gustatory_Condition_v2,2022.2.5,30.01614869914535,
