loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.821862460300327,0.0008395002223551273,0.1145180999301374,18.1209146999754,18.43771887002513,18.73750129994005,19.037622469849886,19.337602300103754,19.620945969969036,19.937488600146025,19.937488600146025,0.03108120011165738,0.13128759991377592,34.92080370010808,15.014352499973029,15.097733499947935,35.03765770001337,0.03128399979323149,0.13116239989176393,35.537629399914294,space,2.032431600149721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,37.62093860004097,0.008668700233101845,0.09831649996340275,43.604174700099975,6.014886199962348,43.90427220007405,43.90427220007405,0.1367306001484394,0.28169360011816025,6.015007299836725,49.92093440005556,49.92093440005556,49.92093440005556,0.07245299965143204,0.19853049982339144,55.62079280009493,55.82095290021971,6.031692299991846,6.131617599632591,61.820954899769276,12.0317971999757,61.92095600022003,61.92095600022003,61.95442289998755,61.95442289998755,0.03185439994558692,0.1316390996798873,up,1.4630868998356164,63.45430439990014,3.0199997127056122e-05,0.09822840010747313,69.48757949983701,69.48757949983701,0.03385670017451048,0.13167080003768206,5.0,7.5487901996821165,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0877911997959,77.0877911997959,0.009767500218003988,0.11422490002587438,2.0,4.7056470001116395,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8207426997833,81.8207426997833,0.009066700004041195,0.0993661000393331,3.0,8.45761219970882,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32094539981335,90.32094539981335,0.009211699943989515,0.09901040000841022,1.0,2.0910311001352966,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.47111839987338,92.47111839987338,0.008675399702042341,0.11429519997909665,3.0,4.106800999958068,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.62122670002282,96.62122670002282,0.010986500419676304,0.11455970024690032,1.0,3.2050589001737535,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.87110200012103,99.87110200012103,0.009485199581831694,0.11442909995093942,4.0,2.572445400059223,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.47103960020468,102.47103960020468,0.0007265000604093075,0.09911599988117814,7.0,10.36630990030244,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,112.8712097001262,0.0002807001583278179,0.09760589990764856,118.87103899987414,6.030930900014937,119.1208168999292,119.1208168999292,0.13463460002094507,0.24771309969946742,6.014363399706781,125.15432249987498,125.15432249987498,125.15432249987498,0.07481139991432428,0.18085689982399344,130.85430609993637,131.05432800017297,6.014212899841368,6.114312299992889,137.05433219997212,12.014214099850506,137.15425230003893,137.15425230003893,137.18761399993673,137.18761399993673,0.014288199599832296,0.11417859978973866,up,0.8305812999606133,138.07116020005196,3.550015389919281e-05,0.09870050009340048,144.070911699906,144.070911699906,0.011379800271242857,0.09888119995594025,6.0,6.621579700149596,,,,,,,144.070911699906,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.73748110001907,150.73748110001907,0.007041000295430422,0.09924590028822422,2.0,6.259616099763662,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.05430880002677,157.05430880002677,0.007646099664270878,0.11413950007408857,1.0,2.7405195999890566,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.83805319992825,159.83805319992825,0.009086200036108494,0.1139487000182271,3.0,4.939393599983305,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.80424680002034,164.80424680002034,0.006917700171470642,0.09916500002145767,2.0,6.426453300286084,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.27119910018519,171.27119910018519,0.007249099668115377,0.09796229982748628,2.0,1.325225899927318,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.63765429984778,172.63765429984778,0.0069693997502326965,0.09937659977003932,3.0,6.859781800303608,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.5378836998716,179.5378836998716,0.0012326003052294254,0.09783830028027296,7.0,2.897801300045103,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,182.47113340022042,0.00016270019114017487,0.09925589989870787,188.4876774000004,6.01569340005517,188.67109260009602,188.67109260009602,0.09731849981471896,0.1990188998170197,5.999051500111818,194.73780660005286,194.73780660005286,194.73780660005286,0.05148439994081855,0.1658127997070551,200.43774269986898,200.67098770011216,6.032361499965191,6.132628200110048,206.67100880015641,11.999200500082225,206.73777989996597,206.73777989996597,206.77103709988296,206.77103709988296,5.4599717259407043e-05,0.0990486997179687,up,1.5427436996251345,208.37101989984512,2.8300099074840546e-05,0.09871200006455183,214.38774760020897,214.38774760020897,0.01017590006813407,0.11513839988037944,2.0,6.0065387999638915,,,,,,,214.38774760020897,194.73780660005286,194.73780660005286,6.098950199782848,12.099181199911982,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.42089480021968,220.42089480021968,0.006800099741667509,0.09924979973584414,2.0,2.226591299753636,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.68787939986214,222.68787939986214,0.007376499939709902,0.09783919993788004,5.0,9.658495599869639,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.38768680021167,232.38768680021167,0.007013499736785889,0.09922719979658723,1.0,3.3262788001447916,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.77124150004238,235.77124150004238,0.009158799890428782,0.11424099979922175,3.0,3.372984499670565,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.1710719000548,239.1710719000548,0.006862199865281582,0.09913179976865649,1.0,1.4265195997431874,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.63766139978543,240.63766139978543,0.007097099907696247,0.09907679958269,1.0,2.559883499983698,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.23763780016452,243.23763780016452,0.0018131998367607594,0.09710259968414903,7.0,2.096714500337839,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,245.3710851999931,0.0005271001718938351,0.09685310022905469,251.38771610008553,6.013527000322938,251.55418669991195,251.55418669991195,0.06963980011641979,0.18019280023872852,6.01358800008893,257.6542504997924,257.6542504997924,257.6542504997924,0.07198000000789762,0.1803574999794364,263.3546090000309,263.5543649001047,6.013499899767339,6.113459900021553,269.5543819000013,12.013570200186223,269.6544082001783,269.6544082001783,269.68773679994047,269.68773679994047,0.013711899984627962,0.11342529999092221,down,9.225846400018781,278.9710396002047,5.519995465874672e-05,0.09759419970214367,284.98756959987804,284.98756959987804,0.025286399759352207,0.11426519975066185,5.0,5.95661160023883,,,,,,,,257.5543944002129,257.5543944002129,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.00465640006587,291.00465640006587,0.007595099974423647,0.11412749998271465,2.0,2.4410648001357913,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.47101939981803,293.47101939981803,0.006761400029063225,0.0993115003220737,5.0,3.7599918004125357,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2709376998246,297.2709376998246,0.007745299953967333,0.0974286999553442,1.0,1.9576189001090825,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.2711947998032,299.2711947998032,0.006600499618798494,0.09922679979354143,4.0,2.6935033998452127,,,,,,,,,,,,,9412,Moral,2024-08-20_18h12.32.876,MoralCondition_v2,2022.2.5,29.987066546045362,
