Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,taste_sound_2.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,21.96774823572487,0.0004887990653514862,0.08530320040881634,22.232624599710107,22.46609391961247,22.9826616210863,23.249352799728513,23.249352799728513,0.00415240041911602,0.10205329954624176,38.24936760030687,15.002087999135256,38.34935590066016,0.007753599435091019,0.10211900062859058,44.36619830131531,6.01877330057323,44.466038500890136,44.466038500890136,0.019021300598978996,0.11871720105409622,space,8.176867200061679,52.6827099006623,52.6827099006623,4.990026354789734e-05,0.09711400046944618,num_9,5.464756300672889,58.19960042033345,0.0022999998182058334,0.09785749949514866,58.51601150073111,58.9827067213133,59.78280132021755,60.08260250091553,60.19937390089035,68.19936829991639,68.19936829991639,68.19943822119384,0.0011155996471643448,0.09770509973168373,69.21602770127356,70.21618369966745,70.38267460092902,70.88269340060651,10.014312099665403,78.31591659970582,0.01755020022392273,78.31591659970582,0.11418269947171211,3.0,8.814516300335526,87.16633970104158,0.0015332996845245361,0.0992518998682499,93.14918570034206,93.34931361991912,6.215835900977254,6.315609300509095,94.36630630120635,113.34951762054115,113.34939949959517,26.215821800753474,26.315727001056075,114.36609470099211,116.36608510091901,116.36608510091901,0.0014210008084774017,0.09921020083129406,146.3826820999384,30.015750100836158,,,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,146.48268570005894,0.016673700883984566,0.1157511007040739,152.4994709007442,5.999058501794934,152.56606340035796,152.56606340035796,-5.649775266647339e-05,0.09944800101220608,space,2.20525630004704,154.8327053003013,154.8327053003013,7.729977369308472e-05,0.09808379970490932,num_9,4.930814499035478,159.8160648209974,0.0025095008313655853,0.09781659953296185,160.1160011012107,160.6160433212295,161.39923152085393,161.71602310054004,161.81603450141847,169.8160075005144,169.8160075005144,169.81602401975542,0.0010934993624687195,0.09783920086920261,,171.79932630062103,171.9825618006289,172.49934750050306,10.014441100880504,179.9495973009616,0.017192499712109566,179.9495973009616,0.13115950115025043,5.0,3.548488799482584,183.51597060076892,0.002071099355816841,0.09867389872670174,189.53271660022438,189.69935681987553,6.215191999450326,6.315164899453521,190.71597220003605,209.69938772115856,209.6824575010687,26.214951498433948,26.29849419929087,210.71591650135815,212.69939180091023,212.69939180091023,0.015349099412560463,0.1152488999068737,242.69940620101988,30.01527089998126,6.099091000854969,160.91596820019186,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,242.83267110027373,0.0158952996134758,0.1153143011033535,248.83269659988582,6.01517209969461,248.93272720091045,248.93272720091045,0.01537260040640831,0.11518230102956295,space,2.582540299743414,251.54934119991958,251.54934119991958,4.480034112930298e-05,0.09766330011188984,num_9,3.8775022998452187,255.48272362109273,0.0022279005497694016,0.09803509898483753,255.78257740102708,256.26600612085315,257.06601182129236,257.36612010002136,257.4660100005567,265.46601689979434,265.46601689979434,265.46600422021004,0.014716699719429016,0.1147805992513895,266.46606419980526,267.4826712012291,267.6826940011233,268.1827106010169,10.031324200332165,275.59915360063314,0.017802800983190536,275.59915360063314,0.11455990001559258,4.0,3.464547600597143,279.0996524002403,0.001659199595451355,0.09927009977400303,285.09934590011835,285.28260592129084,6.2156719993799925,6.315723299980164,,305.28251792062076,305.2826540004462,26.2157308999449,26.315688099712133,306.28254020027816,308.28266509994864,308.28266509994864,0.01582079939544201,0.11564910039305687,338.28263080120087,30.01570349931717,,256.56601190008223,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,338.41593679971993,0.016323300078511238,0.1156884003430605,344.43264660052955,5.999048801138997,344.4993041008711,344.4993041008711,-9.089894592761993e-05,0.09895670041441917,space,2.743573499843478,347.2826551012695,347.2826551012695,4.480034112930298e-05,0.09777660109102726,num_9,3.632346699014306,350.9494196208194,0.0026410985738039017,0.09787840023636818,351.2659283000976,351.74943422097715,352.5492721213028,352.8659375999123,352.9326007012278,360.94904389977455,360.94904389977455,360.9490401199088,-0.00035300105810165405,0.09749829955399036,361.96590820141137,362.94929509982467,363.1492539010942,363.6660105995834,10.031251199543476,371.0993451010436,0.0339880995452404,371.0993451010436,0.14760350063443184,5.0,3.1147819999605417,374.232783799991,0.0015468001365661621,0.09901740029454231,380.2492415998131,380.4159161200747,6.215819500386715,6.315863600000739,381.4159555006772,400.4158179195598,400.41591420024633,26.215713599696755,26.315778899937868,,403.4325737003237,403.4325737003237,0.0013270005583763123,0.09898050129413605,433.4491413999349,30.0155631005764,6.099055400118232,352.0662686005235,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,433.5491378996521,0.016291102394461632,0.11556220054626465,439.5659741014242,5.999075001105666,439.63267560116947,439.63267560116947,-0.0001393985003232956,0.09908100217580795,space,2.586635399609804,442.2825249005109,442.2825249005109,2.020038664340973e-05,0.09855620004236698,num_9,3.64842819981277,445.9661778206006,0.0024592000991106033,0.09744570031762123,,446.74920201990756,447.56584882121535,447.865989100188,447.9323982000351,455.9324721004814,455.9658007007092,455.9658160204068,0.030873099341988564,0.13102460093796253,456.9657241012901,457.96575280092657,458.1491115000099,458.64922280050814,10.030718099325895,466.08231730014086,0.01730320043861866,466.08231730014086,0.1138772014528513,5.0,4.631068900227547,470.7492862995714,0.0015684012323617935,0.09944280050694942,476.76568560115993,476.93236032072457,6.215799100697041,6.315974101424217,477.9490465000272,496.932236119546,496.9323247000575,26.215801300480962,26.3157944008708,,499.94901240058243,499.94901240058243,0.0017129015177488327,0.09910020045936108,529.9489412009716,29.999036801978946,6.0990605019032955,447.04909669980407,30.098992401733994,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.0489074010402,-2.7976930141448975e-06,0.09907890111207962,560.0654763001949,30.015575701370835,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,560.1654821000993,0.0175384022295475,0.11561640165746212,566.1654886007309,6.015579301863909,566.2654632013291,566.2654632013291,0.015792902559041977,0.11572150327265263,space,7.673203200101852,573.9821127001196,573.9821127001196,4.350021481513977e-05,0.0975004993379116,num_9,2.124941600486636,576.1654141204432,0.002022000029683113,0.09784740023314953,576.4653409011662,576.9654445195571,577.7654018210247,578.06533879973,578.1487333998084,586.1487573999912,586.1487573999912,586.1487107196823,0.014561498537659645,0.11461019888520241,587.1487128008157,588.1654481012374,588.3654030002654,588.8653579000384,10.031118098646402,596.2819199003279,0.016713900491595268,596.2819199003279,0.11455619893968105,4.0,4.998972199857235,601.3154544010758,0.0023964010179042816,0.09788740053772926,607.3319958001375,607.5153454201296,6.231145700439811,6.331146100535989,,627.4985298210755,627.4985623005778,26.214438000693917,26.314567800611258,628.5153736006469,630.5152426008135,630.5152426008135,0.00016420148313045502,0.09774530120193958,660.5151899009943,30.03107670135796,,577.2655626013875,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,660.6484850998968,0.03169910050928593,0.13097120076417923,666.6484424006194,6.030987001955509,666.7484572008252,666.7484572008252,0.031138701364398003,0.13112260214984417,space,5.654592199251056,672.4484739005566,672.4484739005566,3.980100154876709e-05,0.0985564012080431,num_9,4.490953799337149,676.9985219197348,0.0021069999784231186,0.09807850047945976,677.2983718011528,677.781800919585,678.5817209197209,678.8984567001462,678.98179330118,686.998414400965,686.998414400965,686.9986081210897,0.0014392007142305374,0.09799099899828434,687.9983470998704,688.99842210114,689.1984237004071,689.6984104011208,10.014631699770689,697.1315973997116,0.034121301025152206,697.1315973997116,0.13117749989032745,6.0,2.531513500958681,699.6983610000461,0.003944998607039452,0.09732009842991829,705.6983799003065,705.8983532203362,6.230684598907828,6.33063630014658,706.8983762003481,725.8816407205537,725.8816293999553,26.214002698659897,26.313907999545336,726.8982746005058,728.8816350009292,728.8816350009292,0.013957399874925613,0.11387679912149906,758.8815756998956,30.01387350074947,,678.0984311010689,,,,,,,,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,759.0315393004566,0.03129789978265762,0.13047810085117817,765.0315337013453,6.03055869974196,765.1148279998451,765.1148279998451,0.01374790072441101,0.11379550024867058,space,3.8404011987149715,769.0148713011295,769.0148713011295,5.990080535411835e-05,0.0978396013379097,num_9,2.739743899554014,771.8148605203256,0.002415299415588379,0.09783879853785038,772.1150607001036,772.598215620406,773.3982507208362,773.7147027999163,773.7981340009719,781.7981663011014,781.7981663011014,781.7981125203893,0.01462479867041111,0.11446809954941273,782.8147164005786,783.8147868998349,784.0148013997823,784.5147716999054,10.01439779996872,791.9145841002464,0.000630699098110199,791.9145841002464,0.09775399975478649,4.0,2.6314998995512724,794.5818167012185,0.0025743991136550903,0.09759119898080826,800.5814548004419,800.7647036196664,6.213929999619722,6.313822899013758,801.7646574005485,820.7646800199524,820.7647778000683,26.214160500094295,26.314016100019217,821.7647495009005,823.7646471001208,823.7646471001208,0.014032699167728424,0.11401990056037903,853.781295100227,30.030658399686217,,772.8981491997838,,,,,,,10.09767589904368,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,853.9147038999945,0.031375300139188766,0.13058860041201115,859.9313492011279,6.013986900448799,859.9978653006256,859.9978653006256,0.014034401625394821,0.11380279995501041,space,1.2456132993102074,861.2979176007211,861.2979176007211,3.8100406527519226e-05,0.09805360063910484,num_9,3.9131931997835636,865.2480067195371,0.00246330164372921,0.0980433002114296,865.5477962009609,866.0310134211555,866.8311982205138,867.1478300001472,867.2478136010468,,875.2644402999431,875.2645446205512,0.01701280102133751,0.1146026998758316,,877.2644568998367,877.4143238011748,877.8977093007416,10.014338999986649,885.3476279005408,0.00038380175828933716,885.3476279005408,0.09764920175075531,4.0,5.365089800208807,890.7477462999523,0.0029506999999284744,0.09713280014693737,896.7644658014178,896.9311991197989,6.214035099372268,6.313762899488211,897.9476689007133,916.9308853199706,916.9309640005231,26.21376040019095,26.330612799152732,917.9475692007691,919.9309430997819,919.9309430997819,0.013762200251221657,0.11373250000178814,949.9309243001044,30.013730900362134,,866.3478225003928,,,,,,,10.09769649989903,,9462,Gustatory,2024-07-09_17h47.43.146,Gustatory_Condition_v2,2022.2.5,29.984135360445173,
