Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_1.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_14.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,13.895647339522839,0.0004930999130010605,0.09258330008015037,14.161691800225526,14.394606960006058,14.661381599958986,14.894616359844804,15.178048899862915,15.178048899862915,0.0074350000359117985,0.109451400116086,30.178024400025606,15.00943459989503,30.278170700185,0.012069399934262037,0.1093414998613298,36.29471029993147,6.026096899993718,36.378252800088376,36.378252800088376,0.0092889997176826,0.10962349968031049,space,13.751269400119781,50.178012900054455,50.178012900054455,4.949979484081268e-05,0.11446019960567355,num_9,9.951290800236166,60.178054459858686,0.0019991998560726643,0.09782699961215258,60.961263560224324,61.26132360007614,61.76135036023334,62.06130769988522,62.16135670011863,70.16137510025874,70.16137510025874,70.16137045994401,0.014620099682360888,0.11449089972302318,71.17799649992958,72.17806870024651,72.36133220000193,72.86135650007054,10.03127899998799,80.29465450020507,0.01692829979583621,80.29465450020507,0.1145788999274373,4.0,8.482040900271386,88.81164189986885,0.002695700153708458,0.09750340040773153,94.82801959989592,94.99469036003575,6.214035200420767,6.314358900301158,96.0113631002605,114.99463566020131,114.99471460003406,26.214076100382954,26.313838900066912,116.01136709982529,118.01136770006269,118.01136770006269,-0.00019609974697232246,0.09738699998706579,148.01134649990126,30.030714299995452,,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,148.14470770023763,0.031326400116086006,0.13071430008858442,154.14473300008103,6.030679599847645,154.24472030019388,154.24472030019388,0.03082409966737032,0.13066659960895777,space,5.580091000068933,159.8613923001103,159.8613923001103,2.9900111258029938e-05,0.09819610044360161,num_9,3.7559759998694062,163.6780409598723,0.0020834002643823624,0.09808650007471442,164.4612097600475,164.76160829979926,165.2614701599814,165.5781347998418,165.67805820005015,173.67803890025243,173.67803890025243,173.67798695992678,0.001176800113171339,0.09792349999770522,174.6779725002125,175.678057000041,175.86135660018772,176.3446464999579,10.01460610004142,183.77812860021368,0.0010309000499546528,183.77812860021368,0.09802519995719194,5.0,4.8977435999549925,188.7115854001604,0.003951099701225758,0.09764519985765219,194.71139169996604,194.91135466005653,6.2305518998764455,6.330395999830216,195.9279746999964,214.89459575992078,214.8946879999712,26.213944099843502,26.31388989975676,215.91135769989341,217.91142670018598,217.91142670018598,-0.00023750029504299164,0.09721679985523224,247.92801229981706,30.013855199795216,163.97796190017834,10.097934800200164,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,248.04466379992664,0.031330499332398176,0.13071889942511916,254.06133840000257,6.013892999384552,254.1280419002287,254.1280419002287,0.013982699252665043,0.1138726994395256,space,4.832926499657333,259.0113641000353,259.0113641000353,4.959991201758385e-05,0.09799670008942485,num_9,5.789315899834037,264.861371059902,0.0022301003336906433,0.09810610022395849,265.6446339599788,265.96131510008126,266.44493756024167,266.76132659986615,266.8613463998772,,274.8780005997978,274.8781058602035,0.0175351002253592,0.11467389995232224,275.8946961998008,276.89466550014913,277.0446989000775,277.5278564002365,10.014669600408524,284.99482000013813,0.018311799969524145,284.99482000013813,0.1313086999580264,5.0,4.947409499902278,289.961257299874,0.0019244002178311348,0.09855010034516454,295.96143539994955,296.144559959881,6.215243000071496,6.315190500114113,297.1613012999296,316.14458526019007,316.14470320008695,26.215294000227004,26.31517650000751,317.1613186998293,319.1446548998356,319.1446548998356,0.015267800074070692,0.11529270000755787,349.14460329990834,30.015206600073725,265.1613282999024,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,349.27796650025994,0.0161659000441432,0.11515099974349141,355.2945890999399,6.031897599808872,355.39460980007425,355.39460980007425,0.03194399969652295,0.13180309999734163,space,0.6228962996974587,356.07800820004195,356.07800820004195,4.460010677576065e-05,0.09806110011413693,num_9,1.9069643998518586,358.02798965992406,0.0023115999065339565,0.09795589977875352,358.81124586006626,359.11126379994676,359.62794345989823,359.9278362998739,360.0112704001367,368.0279180998914,368.0279180998914,368.02793485997245,0.0016260999254882336,0.09796949988231063,369.0278610000387,370.02791670011356,370.22796630021185,370.7445772998035,10.014611499849707,378.14445579983294,0.017324899788945913,378.14445579983294,0.1144630997441709,6.0,1.665019600186497,379.8445720002055,0.002884400077164173,0.09750040015205741,385.86115639982745,386.02774725994095,6.213972399942577,6.314064200036228,387.0277638998814,406.0277326600626,406.0074625001289,26.210187599994242,26.293671399820596,407.0278201000765,408.9943748000078,409.02776690013707,0.013915299903601408,0.11377569986507297,439.0444566998631,30.03062119986862,358.3278752001934,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,439.1611279002391,0.014348799828439951,0.11398799950256944,445.16115280007944,6.0139029999263585,445.26137989992276,445.26137989992276,0.013893899507820606,0.11397479940205812,space,2.643593699671328,447.9611368998885,447.9611368998885,0.00010269973427057266,0.0981688997708261,num_9,1.5124725000932813,449.51114735985175,0.0018735001794993877,0.09804819989949465,450.3110981602222,450.61122300010175,451.0943267601542,451.41113180015236,451.5111149000004,,459.5277912998572,459.5278750602156,0.017385399900376797,0.11475070007145405,460.52768750023097,461.5277844998054,461.6947142002173,462.17761499993503,10.01482619997114,469.6277085002512,0.01740470016375184,469.6277085002512,0.11494839983060956,2.0,2.931725800037384,472.5945871002041,0.0015127002261579037,0.09913490014150739,478.57761909998953,478.77763165999204,6.215732200071216,6.315750600304455,,498.777581660077,498.7777288001962,26.215784300118685,26.315725800115615,499.77763079991564,501.7776709999889,501.7776709999889,0.01574820000678301,0.11570290010422468,531.794466199819,30.032517900224775,449.827691399958,,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.9276763000526,0.03281879983842373,0.13224849989637733,30.016367400065064,561.9443048001267,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,562.0109362998046,0.017472799867391586,0.1155300997197628,568.0275050001219,6.032178799621761,568.1274997000583,568.1274997000583,0.032236399594694376,0.13215599954128265,space,3.4093457995913923,571.5775021999143,571.5775021999143,3.5200268030166626e-05,0.09801940014585853,num_9,2.0711300997063518,573.7109502600506,0.0016189999878406525,0.0980206998065114,574.4943882599473,574.8108332999982,575.2941364599392,575.6108051999472,575.7108887000941,,583.7274569999427,583.7275934601203,0.016881299670785666,0.11466680001467466,,585.71061989991,585.8941810000688,586.3941458999179,10.014722499996424,593.8106443001889,0.0003982996568083763,593.8106443001889,0.09790599951520562,4.0,11.398574499879032,605.244238700252,0.0024048001505434513,0.09897640021517873,611.2440309999511,611.4273891597986,6.21538840001449,6.315471999812871,,631.4440054600127,631.4439905001782,26.232069400139153,26.33215310005471,632.4606296001002,634.4440875998698,634.4440875998698,0.0010303999297320843,0.09859649976715446,664.4439758001827,30.03206459991634,574.0108174001798,10.097829399630427,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,664.5605242000893,0.015849599614739418,0.1152925998903811,670.560530600138,6.015391899738461,670.6605421998538,670.6605421998538,0.015348099637776613,0.11525889951735735,space,4.0925213997252285,674.7938140998594,674.7938140998594,3.990018740296364e-05,0.0981407999061048,num_9,1.3832620000466704,676.2271586600691,0.001411499921232462,0.09906149981543422,677.0104933599941,677.310514499899,677.810675160028,678.1271438999102,678.2107874001376,686.2271405998617,686.2271405998617,686.2272642599419,0.002432500012218952,0.09896929981186986,,688.2271362999454,688.4272433998995,688.9103768002242,10.015505200251937,696.3270351998508,0.0012210998684167862,696.3270351998508,0.09887479990720749,5.0,4.631984299980104,700.9939752002247,0.0030410997569561005,0.09792659990489483,706.9938083002344,707.1769460598007,6.214256399776787,6.297626200132072,708.1937494999729,727.1769399601035,727.1770024001598,26.214428800158203,26.314296999946237,,730.1938002998941,730.1938002998941,0.00013039959594607353,0.09766549989581108,760.2102692998014,30.014281399548054,676.5270846001804,10.098815300036222,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,760.3103296002373,0.014828899875283241,0.11426639975979924,766.3103167000227,6.014383799862117,766.410453400109,766.410453400109,0.014571199659258127,0.11399389943107963,space,3.014537800103426,769.4601966999471,769.4601966999471,7.499987259507179e-05,0.09804570022970438,num_9,1.980686199851334,771.493563360069,0.002397699747234583,0.0977055998519063,772.2766921599396,772.5768721001223,773.0767331598327,773.3767216000706,773.4768679998815,781.493511099834,781.493511099834,781.493586959783,2.6099849492311478e-05,0.09794849995523691,782.5101664001122,783.4933398999274,783.6769141000696,784.1768467002548,10.014461899641901,791.5933896000497,4.009995609521866e-05,791.5933896000497,0.09800929995253682,3.0,3.299291300121695,794.9269921998493,0.0015343003906309605,0.09934880025684834,800.9434405998327,801.0935622598045,6.199008000083268,6.299006000161171,802.1101146000437,821.1098926598206,821.0932137002237,26.215492400340736,26.31558920023963,822.1267217998393,824.0933650000952,824.12672629999,-0.000988599844276905,0.09891929989680648,854.1265739002265,30.032184900250286,771.8099897000939,10.097735999617726,,,,,,,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,854.2599400002509,0.032920199912041426,0.1321678999811411,860.2597739999183,6.0154786999337375,860.343251499813,860.343251499813,0.015508799813687801,0.11546689970418811,space,2.713616699911654,863.0933558000252,863.0933558000252,4.2899977415800095e-05,0.09786889981478453,num_9,1.6754504996351898,864.80999305984,0.0026155998930335045,0.09797589993104339,865.5932233599015,865.9098725998774,866.3931845598854,866.7098238002509,866.7932091001421,874.793170500081,874.793170500081,874.7931817602366,0.014636299572885036,0.11476519983261824,875.8099568998441,876.7764710001647,876.9764632000588,877.4932197001763,10.014224199578166,884.9097041999921,0.0012593995779752731,884.9097041999921,0.11435889964923263,6.0,1.9478973997756839,886.8931423001923,0.0010687001049518585,0.09953569993376732,892.9098089998588,893.0597621598281,6.19967250013724,6.299765400122851,894.0763912000693,913.0764094600454,913.0763814998791,26.216269599739462,26.316253900062293,914.0930309998803,916.0930567001924,916.0930567001924,0.0024145999923348427,0.0995993996039033,946.0930484002456,29.999464399646968,865.1097858999856,10.097691299859434,,,,,,30.099452199880034,,9560,Gustatory,2025-02-10_13h26.08.277,Gustatory_Condition_v2,2022.2.5,29.9791734387599,
