Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,taste_sound_1.stopped,spit_sound.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,24.97673665022012,0.0005403999239206314,0.08326800004579127,25.48955822980497,25.755927899852395,25.972601529792883,26.23922779993154,26.23922779993154,0.016651799902319908,0.11697539989836514,41.23932799999602,15.016819299897179,41.3892804000061,0.04110359982587397,0.13346679974347353,6.016782899852842,47.405988899990916,47.47253919998184,47.47253919998184,0.016965899849310517,0.11695909965783358,space,6.330862999893725,53.85599349997938,53.85599349997938,4.579988308250904e-05,0.09755790000781417,num_9,3.567685400135815,57.47291602997575,0.0021945000626146793,0.09744679997675121,58.27274732978549,58.589462499832734,59.072705629863776,59.37266509979963,59.472632999997586,67.47269739978947,67.47269739978947,67.47266822995152,6.600003689527512e-05,0.09739489993080497,69.47265949985012,69.67242109985091,70.18927349988371,10.030898799886927,77.60590859991498,0.03311199974268675,77.60590859991498,0.13093269988894463,2.0,5.331772600067779,82.97303789993748,0.001644599949941039,0.0991516001522541,88.9892940998543,89.15619252983015,6.215826600091532,6.315897800028324,90.15606439998373,109.13941292988602,109.13935429998673,26.199220000067726,26.299228599993512,110.15613189991564,112.13933219993487,112.17274879990146,-0.0007787998765707016,0.09921030001714826,142.1725566999521,30.01576910004951,30.099292300175875,,,,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,142.2730464998167,0.0005721999332308769,0.10082509997300804,5.9990373000036925,148.25589929986745,148.3560189998243,148.3560189998243,0.01643229997716844,0.11594689986668527,space,2.508061399916187,150.90611270000227,150.90611270000227,3.300001844763756e-05,0.09803420002572238,num_9,2.389947099843994,153.3394170299871,0.0021699999924749136,0.09787319996394217,154.1226467298111,154.42259659990668,154.939509629854,155.2561666998081,155.32279719994403,163.32271099998616,163.32271099998616,163.3227299299324,0.014625599840655923,0.1146422999445349,165.33936979994178,165.52267390000634,166.02293539978564,10.014375099912286,173.43933859979734,0.0012655998580157757,173.43933859979734,0.09774699970148504,4.0,5.297722199931741,178.77305069984868,0.0024892999790608883,0.09782980009913445,184.78937049978413,184.9560526298592,6.214347500121221,6.297684299992397,185.9561729999259,204.95600822998676,204.95598419988528,26.21435309993103,26.297786799957976,,207.95617369981483,207.95617369981483,0.014553700108081102,0.11443230020813644,237.97275739978068,30.0312336999923,,6.082426399923861,153.65603079996072,164.3394040998537,10.097961599938571,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,238.10605099983513,0.03179650008678436,0.13111299998126924,6.031100899912417,244.10607199999504,244.20620469981804,244.20620469981804,0.0312347998842597,0.1310889997985214,space,2.425448500085622,246.67284909985028,246.67284909985028,4.770001396536827e-05,0.09815149987116456,num_9,2.031593699939549,248.73943462979514,0.0017877998761832714,0.09804999991320074,249.5227028297959,,250.33945282979403,250.6559319999069,250.72269409988075,258.73934109997936,258.73934109997936,258.7395980298752,0.0016765999607741833,0.09813509997911751,260.7561987999361,260.92272029980086,261.4395702998154,10.031424899818376,268.8726695999503,0.03382339980453253,268.8726695999503,0.1315280997660011,3.0,3.5320572999771684,272.4395969999023,0.0017460000235587358,0.09929040004499257,278.4393912998494,278.6062067298917,6.19906620006077,6.299004400148988,279.62261489988305,298.606123629841,298.60609829984605,26.199129100190476,26.29903900017962,299.6062256998848,301.6228504998144,301.6228504998144,0.0159085001796484,0.11567020020447671,331.6396554999519,29.999107400188223,30.09953250014223,,249.05601329985075,259.7561068998184,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,331.7394112998154,0.00026510003954172134,0.09919750015251338,6.015729600097984,337.75603819987737,337.856006299844,337.856006299844,0.015667199855670333,0.11576820001937449,space,1.3279732998926193,339.22276499983855,339.22276499983855,4.1999854147434235e-05,0.0979159998241812,num_9,7.705526199890301,346.98945822997484,0.002652799943462014,0.09787439997307956,347.7727306300076,348.07261809986085,348.5727350298548,348.87263269978575,348.9727570998948,356.9893292998895,356.9893292998895,356.9895696298918,0.0013503001537173986,0.097941700136289,358.9896334998775,359.1559379999526,359.6726551000029,10.031188900116831,367.10588229983114,0.01657600002363324,367.10588229983114,0.1146229999139905,5.0,2.16562999994494,369.30620789993554,0.0027570000384002924,0.09741679998114705,375.32265099999495,375.4893768298207,6.214042800012976,6.314021100057289,376.50596839981154,395.4893753299257,395.48934089997783,26.214063100051135,26.313986400142312,396.50587939983234,398.4893227999564,398.4893227999564,0.014068300137296319,0.11402039998210967,428.4724207997788,30.013870400143787,30.097246800083667,,347.3060345998965,358.0060541999992,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,428.6059260999318,0.030760199995711446,0.13066760008223355,6.0307297999970615,434.60596739989705,434.73939799983054,434.73939799983054,0.03075359994545579,0.13060179981403053,space,0.8531355001032352,435.63930279994383,435.63930279994383,4.1999854147434235e-05,0.0980358999222517,num_9,1.88878079992719,437.572658029967,0.001775100128725171,0.09836590010672808,438.35606792999897,438.65586850000545,439.15600782993715,,439.57261029980145,447.572613599943,447.572613599943,447.5726318300003,0.0017781001515686512,0.09829460014589131,449.5725563999731,449.77258919994347,450.2892620000057,10.031659499974921,457.70576489996165,0.03441339987330139,457.70576489996165,0.13140229997225106,1.0,1.5647994000464678,459.3062286998611,0.003023599972948432,0.09786279988475144,465.32256399979815,465.48919792997185,6.214541299967095,6.31473460001871,466.5059131998569,485.4893061298644,485.48916899994947,26.214448899962008,26.31441790005192,486.5058730999008,488.4891774998978,488.4891774998978,0.014479999896138906,0.11442980007268488,518.4893666999415,30.014668999938294,,,437.87256990000606,,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.6224641997833,0.014738400001078844,0.11434339988045394,548.6224187999032,30.01444679987617,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,548.7224568999372,0.016185599844902754,0.11427679983898997,6.031021799892187,554.7391354998108,554.8224072998855,554.8224072998855,0.014530999818816781,0.11446089972741902,space,2.1133550000377,556.9724148998503,556.9724148998503,4.1599851101636887e-05,0.09795229998417199,num_9,1.8276038998737931,558.8558266299078,0.002074100077152252,0.09777799993753433,559.6557597297942,559.955671899952,560.4557294299593,560.7556835999712,560.8556882999837,,568.872393499827,568.8725170298712,0.017113300040364265,0.11449649999849498,570.8725310999434,571.0389779999387,571.5560711999424,10.014345400035381,578.9555585999042,0.00066359993070364,578.9555585999042,0.09772189985960722,6.0,1.364629999967292,580.3559008999728,0.0015519000589847565,0.0994486000854522,586.3556307998952,586.5223597298609,6.199096499942243,6.2990010001230985,587.5223269998096,606.5556516299257,606.5556182998698,26.199073600117117,26.2990592001006,,609.5555870998651,609.5555870998651,0.0014133001677691936,0.09906100016087294,639.5555361998267,30.03238380001858,,,559.1557123998646,,10.097701899940148,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,639.6888347999193,0.03317740000784397,0.13243469991721213,6.032290800008923,645.6888241998386,645.7888502997812,645.7888502997812,0.03247529990039766,0.1322949999012053,space,1.5315108001232147,647.3555109999143,647.3555109999143,6.360001862049103e-05,0.09790559997782111,num_9,2.028809400042519,649.4222047299845,0.002030199859291315,0.09826279990375042,650.2053321298445,650.5055890998337,651.0224324298324,,651.4221288999543,659.4221467999741,659.4221467999741,659.4221872299677,0.001946199918165803,0.09819639986380935,661.4387700997759,661.622164899949,662.1389166999143,10.031483399914578,669.5553303000052,0.0343109997920692,669.5553303000052,0.13137019984424114,2.0,1.5647259999532253,671.1557100999635,0.0028586999978870153,0.09800449991598725,677.1721011998598,677.3388170298422,6.214486900018528,6.314512399956584,678.3554073998239,697.3554185299436,697.3554098999593,26.23120479984209,26.331244099885225,698.3553566997871,700.3553438999224,700.3553438999224,0.0004032999277114868,0.09779320005327463,730.355319699971,30.03112219995819,,,649.7388465998229,660.4388288999908,,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,730.4719536998309,0.01520249992609024,0.11422709980979562,6.031024199910462,736.4886189999525,736.5896463999525,736.5896463999525,0.031193599803373218,0.13105769990943372,space,2.0189549999777228,738.6552955999505,738.6552955999505,2.569984644651413e-05,0.09879339998587966,num_9,2.7526926998980343,741.4720147299813,0.001401000190526247,0.0985544000286609,742.2720362298423,742.5886115999892,743.0552133299643,743.3551939998288,743.4553518998437,751.4719466997776,751.4719466997776,751.4720113299554,0.0019521000795066357,0.09854410006664693,753.4719247999601,753.6552402998786,754.1552652998362,10.015068300068378,761.5719550999347,0.00138369994238019,761.5719550999347,0.09862640011124313,6.0,1.331391500076279,762.9388064998202,0.002186099998652935,0.09848479996435344,768.9385871998966,769.1386216297979,6.231768499827012,6.3317424999549985,770.1551775999833,789.121842929977,789.1218211997766,26.215139699866995,26.315048099961132,790.1551582999527,792.1385154000018,792.1385154000018,0.0007720000576227903,0.09840380004607141,822.1384296999313,30.03167219995521,,,741.7887116000056,752.4885226998013,10.098490000003949,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,822.2717094998807,0.03233029996044934,0.1315682998392731,6.031595799839124,828.2716858999338,828.3550160999876,828.3550160999876,0.01491319970227778,0.11493519973009825,space,2.7650401999708265,831.1550745998975,831.1550745998975,3.6300159990787506e-05,0.09818420000374317,num_9,2.5417880001477897,833.7382329298416,0.0035081999376416206,0.09928720002062619,834.5050201298436,834.8049434998538,835.3217121298658,835.6385498999152,835.7051076998468,843.7216916999314,843.7216916999314,843.721732929931,0.016011300031095743,0.11606180015951395,845.7383371999022,845.9052375999745,846.4050260998774,9.999178000027314,853.8215424998198,0.015845400048419833,853.8215424998198,0.11588249984197319,4.0,0.9312020998913795,854.7883040998131,0.0040923000779002905,0.09755209996365011,860.8050579999108,860.9716575298226,6.214200400048867,6.314085700083524,861.9883106998168,880.9714795298642,880.9715600998607,26.214191500097513,26.31419020006433,882.0049227999989,883.9882278998848,883.9882278998848,-0.0004064999520778656,0.09749880013987422,913.9881390999071,30.030761000234634,,,834.0383809998166,844.7383054997772,10.082512499997392,,,,,,9565,Gustatory,2024-08-14_17h40.29.344,Gustatory_Condition_v2,2022.2.5,30.03536063008672,
