loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.677322899922729,0.000834600068628788,0.10405750013887882,14.993557099951431,15.276624840078876,15.576654100092128,15.8767117400188,16.176633100025356,16.476840040041132,16.793560500023887,16.793560500023887,0.020771699957549572,0.12076179985888302,31.810224100016057,15.004050899995491,31.910194399999455,0.004037199774757028,0.10419219988398254,32.376957200001925,space,1.2339209001511335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,33.67698880005628,0.0014615000691264868,0.09831429994665086,39.67682920000516,6.03149459999986,40.0101365998853,40.0101365998853,0.18456689990125597,0.3314199000597,6.031457700068131,46.01023339992389,46.01023339992389,46.01023339992389,0.09511459991335869,0.23139309976249933,51.71031940006651,51.87678429996595,6.031467899912968,6.131437399890274,57.87666819989681,12.031297299778089,58.010142100043595,58.010142100043595,0.03163329977542162,0.13138909987173975,up,2.255678800167516,60.310127899982035,4.029995761811733e-05,0.09764009993523359,66.3267270999495,66.3267270999495,66.3267270999495,0.010633799945935607,0.11443979991599917,5.0,4.937925499863923,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.31023470009677,71.31023470009677,0.017224400071427226,0.11504240008071065,3.0,3.2986095999367535,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.66028479998931,74.66028479998931,0.009894399903714657,0.11382189998403192,6.0,1.9717595998663455,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67697290005162,76.67697290005162,0.011257499922066927,0.1138291999232024,2.0,2.0371621001977473,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7431977998931,78.7431977998931,0.009570699883624911,0.09919300000183284,1.0,1.5907145000528544,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.39362609991804,80.39362609991804,0.011412600055336952,0.11453630006872118,1.0,1.1040590000338852,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.52663700003177,81.52663700003177,0.00957280001603067,0.0975872001145035,3.0,1.8557055999990553,,,,,,,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42685579997487,83.42685579997487,0.0012584999203681946,0.0975109999999404,4.0,4.131196700036526,,,,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,87.59378360002302,0.00013679987750947475,0.09924999997019768,93.61005480005406,6.0160761999432,93.80985369998962,93.80985369998962,0.1154243997298181,0.21598279988393188,6.015771799720824,99.87693860009313,99.87693860009313,99.87693860009313,0.07181369978934526,0.18232899974100292,105.5766680999659,105.77668290003203,6.015785999596119,6.115748999640346,111.79334870004095,11.999055299675092,111.89337889989838,111.89337889989838,0.0001468996051698923,0.0990490997210145,down,1.244775400031358,113.15627419995144,2.350006252527237e-05,0.0838242000900209,119.15989449992776,119.15989449992776,119.15989449992776,0.017154800007119775,0.11720630014315248,6.0,2.29614120000042,,,,,,,111.89337889989838,111.89337889989838,12.09923189971596,,,,9565,Moral,2024-08-14_18h45.47.744,MoralCondition_v2,2022.2.5,29.988802193747507,
