Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.807735730707645,0.0005201008170843124,0.09432540088891983,21.070692099630833,21.304006968811155,21.57070929929614,21.787277569249273,22.053928399458528,22.053928399458528,0.02771950140595436,0.1276946011930704,37.070682199671865,15.011153001338243,37.17068959958851,0.013603800907731056,0.1110335011035204,43.17065449990332,6.0110088009387255,43.2706645000726,43.2706645000726,0.011199301108717918,0.11107420176267624,space,13.713925899937749,57.03730669990182,57.03730669990182,8.11014324426651e-05,0.09780500084161758,num_9,3.739255201071501,60.8373857691884,0.0021262001246213913,0.0978557001799345,61.13721759989858,61.62057566940784,61.9371853005141,62.437353669852016,62.737211398780346,62.837313098832965,70.83730139955878,70.83730139955878,70.8376126691699,0.0016037002205848694,0.09782939963042736,71.83723899908364,72.85396889969707,73.02074440009892,73.52059100009501,10.01438570022583,10.09784589894116,80.93708819895983,0.0013401005417108536,80.93708819895983,0.0976537000387907,3.0,16.280905298888683,97.2542911991477,0.002386299893260002,0.0980479996651411,103.27073870040476,103.4373230703175,6.214689498767257,6.314844699576497,104.43713209964335,123.43728796876967,123.43735919892788,26.21480479836464,26.31458880007267,126.45397019945085,126.45397019945085,0.000726599246263504,0.09794189967215061,156.47047979943454,30.014516899362206,,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,156.57056899927557,0.015292201191186905,0.11454419977962971,162.57050829939544,6.0145674999803305,162.6705040987581,162.6705040987581,0.014643000438809395,0.11444739997386932,space,12.178232500329614,174.8871311005205,174.8871311005205,4.469975829124451e-05,0.09797229990363121,num_9,4.033244201913476,178.9707087699324,0.0023851003497838974,0.09757940098643303,179.27040199935436,179.75385937020184,180.07052239961922,180.55380756892265,180.8704444989562,180.97045790031552,188.97045079991221,188.97045079991221,188.97049467004837,0.0011471007019281387,0.0977804996073246,189.9704064000398,190.97045169956982,191.13704990036786,191.637093199417,10.014395400881767,,199.0869679991156,0.017365001142024994,199.0869679991156,0.11436640098690987,5.0,6.1144739985466,205.23731940053403,0.003684200346469879,0.09720480069518089,211.2370790988207,211.4203459687531,6.213622400537133,6.297076599672437,212.43691309913993,231.43712207041682,231.43704300001264,26.230318799614906,26.33041680045426,,234.4536745995283,0.015317101031541824,0.11371100135147572,264.4705515988171,30.030486799776554,232.4370019994676,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,264.5703381989151,0.031030800193548203,0.13026240095496178,270.58693899959326,6.013651801273227,270.65364019945264,270.65364019945264,0.01374250091612339,0.11372060142457485,space,10.61919030174613,281.3202865999192,281.3202865999192,4.0998682379722595e-05,0.09796589985489845,num_9,3.840622201561928,285.2036703705788,0.0017556007951498032,0.09818769991397858,285.5202712994069,285.98696206994356,286.2869380004704,286.78691507056357,287.08687710016966,287.1869973987341,295.1868907995522,295.1868907995522,295.1869620691985,0.01494779996573925,0.11481820046901703,,297.1868827994913,297.3869205992669,297.90356049872935,10.031437600031495,,305.35405910015106,0.034359799697995186,305.35405910015106,0.148251099511981,6.0,5.981469999998808,311.353466399014,0.0021055005490779877,0.09803230129182339,317.3701574988663,317.5535720691085,6.2312885001301765,6.331330901011825,318.5700324997306,337.53686746880413,337.5368277002126,26.2146569006145,26.31472110003233,340.53678049892187,340.53678049892187,0.014632601290941238,0.11457320116460323,370.55341530032456,30.031269202008843,,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,370.68679600022733,0.031885601580142975,0.13116970285773277,376.6867132000625,6.031145101413131,376.7867254000157,376.7867254000157,0.03126700222492218,0.1311825029551983,space,4.52657850086689,381.3700172994286,381.3700172994286,3.7901103496551514e-05,0.09813049994409084,num_9,5.342321801930666,386.7534391704947,0.0019013993442058563,0.09798489883542061,387.06998340040445,387.536716369167,387.836648600176,388.3365949701518,388.6364906001836,388.7366604004055,396.73664679937065,396.73664679937065,396.7367053695023,0.014697600156068802,0.1146175004541874,,398.73652559891343,398.9366124998778,399.43663479946554,10.031350400298834,,406.869820099324,0.01671599969267845,406.869820099324,0.11454739980399609,5.0,3.765539800748229,410.67024429887533,0.0015447009354829788,0.09949919953942299,416.66993379965425,416.8366196688265,6.19914960116148,6.282362200319767,417.83652029931545,436.83655797056855,436.83654369972646,26.199304100126028,26.315904600545764,439.85328269936144,439.85328269936144,0.01601480133831501,0.115998400375247,469.8696416988969,29.999122301116586,,30.098950400948524,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,469.9697922989726,0.00014700181782245636,0.09907590225338936,475.96973589994013,5.999155702069402,476.0697539001703,476.0697539001703,-0.00011419877409934998,0.09919780120253563,space,5.699542099609971,481.81975490041077,481.81975490041077,4.009902477264404e-05,0.09791629947721958,num_9,9.885418701916933,491.7530905690044,0.0024008993059396744,0.09821389988064766,492.0696869995445,492.5530383691192,492.8696714993566,493.33630106896163,493.6363139990717,493.7363616004586,501.73631710000336,501.73631710000336,501.73634576909245,0.014792699366807938,0.11483119986951351,502.7362190000713,503.7530739996582,503.95292889885604,504.45298190042377,10.014579899609089,,511.869552500546,0.01753079891204834,511.869552500546,0.11494139954447746,2.0,5.898124499246478,517.8031469993293,0.0021519996225833893,0.09826229885220528,523.8029909003526,524.0031691689044,6.231545200571418,6.331548798829317,525.0194880999625,544.0030064705759,544.0030981004238,26.231782699003816,26.331461399793625,,547.019604999572,0.01650089956820011,0.11481450125575066,577.0193811003119,30.014807600528002,545.0194854997098,,6.099027201533318,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.1193822994828,0.014938700944185257,0.11467180028557777,607.1359091997147,30.03122610040009,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,607.2192342001945,0.016565700992941856,0.11472920142114162,613.2359337005764,6.031214401125908,613.3358840998262,613.3358840998262,0.03139970079064369,0.13135560229420662,space,2.9365256018936634,616.336161499843,616.336161499843,4.879944026470184e-05,0.09781210124492645,num_9,2.2802499998360872,618.6526561688631,0.00229019857943058,0.09754609875380993,618.9694196991622,619.4525719705969,619.7692582998425,620.2526102691888,620.5692202989012,620.6358883995563,628.635849699378,628.635849699378,628.6359265699982,0.014251099899411201,0.11424429900944233,,630.6524571999907,630.8192394003272,631.3191550988704,10.014071598649025,,638.7690948005766,0.01654749922454357,638.7690948005766,0.1139869000762701,2.0,7.998681901022792,646.8027208000422,0.0025043990463018417,0.09721649996936321,652.7856157999486,652.9859667692333,6.21371609903872,6.3137490991503,653.9856416005641,672.9856062691658,672.9856390990317,26.213637199252844,26.313655000180006,675.9856192991138,675.9856192991138,0.013647500425577164,0.11365380138158798,705.9857374001294,30.01384999975562,673.9855666998774,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,706.1189450994134,0.014479301869869232,0.11350840143859386,712.1188602987677,6.0135312005877495,712.2189996000379,712.2189996000379,0.013677801936864853,0.11357390135526657,space,5.3821702003479,717.6355741992593,717.6355741992593,3.3799558877944946e-05,0.09771700017154217,num_9,1.6207717005163431,719.3021038688719,0.0013494007289409637,0.09890659898519516,719.6188792996109,720.0854742705822,720.3853977993131,720.9022223699837,721.2189227994531,721.2687321994454,729.2855508998036,729.2855508998036,729.2855283703655,0.01569879986345768,0.11578769981861115,730.2854865994304,731.2856860999018,731.4856308996677,731.9687012005597,10.01548139937222,,739.4188492000103,0.017365699633955956,739.4188492000103,0.11557099968194962,5.0,8.032377000898123,747.4857425000519,0.0023753009736537933,0.09813260100781918,753.4852347988635,753.6686761688441,6.214482801035047,6.297922700643539,754.6686617992818,773.6685746695846,773.6518136989325,26.214448001235723,26.297936599701643,776.6686681993306,776.6686681993306,0.014684801921248436,0.11466310173273087,806.6685063000768,30.014567401260138,774.6686281003058,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,806.8184849992394,0.03189380094408989,0.1311162021011114,812.8185037989169,6.031248701736331,812.9018435999751,812.9018435999751,0.014621401205658913,0.11446080170571804,space,7.907525399699807,820.8684889990836,820.8684889990836,5.359947681427002e-05,0.09812079928815365,num_9,2.0524674002081156,822.9685402691364,0.0021216999739408493,0.0979313999414444,823.2685196995735,823.7685069695115,824.0683807991445,824.5518358696252,824.8684574998915,824.9684613998979,832.9684241004288,832.9684241004288,832.9684840694069,0.0012616012245416641,0.0979458000510931,833.9684461001307,834.9684170000255,835.1518043000251,835.6517296992242,10.014548901468515,,843.0850128997117,0.016880901530385017,843.0850128997117,0.11435360088944435,2.0,6.431989599019289,849.5520858988166,0.0015561990439891815,0.09937379881739616,855.5516633000225,855.7183936696499,6.199115298688412,6.299270000308752,856.7183541003615,875.7350159689784,875.7349442988634,26.215839998796582,26.315718099474907,878.7349233999848,878.7349233999848,0.01577259972691536,0.11574999988079071,908.7515155002475,29.999105900526047,876.7515984997153,30.09894089959562,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,908.8514887001365,0.0003463011234998703,0.09905360080301762,914.8681364990771,6.015522301197052,914.968186000362,914.968186000362,0.015858400613069534,0.11556600034236908,space,5.1687107011675835,920.2014671005309,920.2014671005309,4.149973392486572e-05,0.09806429967284203,num_9,1.9753655008971691,922.2348610695451,0.002175400033593178,0.09808109886944294,922.5514543000609,923.0180587705224,923.3182084988803,923.8181275699287,924.1180176995695,924.2347293999046,,932.2513605989516,932.251883168891,0.017743099480867386,0.11480149999260902,933.2680597994477,934.251406500116,934.4180487003177,934.9013036005199,10.014690600335598,,942.3512954991311,0.01765579916536808,942.3512954991311,0.1145223006606102,5.0,4.697971800342202,947.0850692987442,0.001630399376153946,0.09932810068130493,953.0846595000476,953.2680491704493,6.21586599946022,6.31608109921217,954.2680032998323,973.2679992701858,973.2680542003363,26.215987998992205,26.31597200036049,976.2845005001873,976.2845005001873,0.0014840010553598404,0.09909830056130886,1006.3011328987777,30.015909099951386,,,,,,,,,9647,Gustatory,2024-06-11_17h10.46.507,Gustatory_Condition_v2,2022.2.5,30.001281088905344,
