loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,28.48153643067926,0.0008359011262655258,0.10752080008387566,28.798882799223065,29.082115369476377,29.39892239868641,29.699171269871293,29.998934099450707,30.28226037006825,30.598982099443674,30.598982099443674,0.02443540096282959,0.12442110106348991,45.615584298968315,15.007652001455426,45.71560909971595,0.0076804012060165405,0.10767080076038837,46.1654348988086,space,2.2975066006183624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,48.498930199071765,0.001107100397348404,0.09838959947228432,54.515619199723005,6.015115899965167,54.782169599086046,54.782169599086046,0.14912099950015545,0.28208430111408234,6.015010500326753,60.79891089908779,60.79891089908779,60.79891089908779,0.07597660087049007,0.19852680154144764,66.49892569892108,66.69906739890575,6.031882701441646,6.131670901551843,72.6990946996957,12.031886599957943,72.7988435998559,72.7988435998559,72.83222300000489,72.83222300000489,0.03181710094213486,0.13145630061626434,down,3.6862227022647858,76.58221600018442,4.33996319770813e-05,0.09760629944503307,82.63233529962599,82.63233529962599,0.03555360063910484,0.14771570079028606,6.0,6.76312149874866,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.43246709927917,89.43246709927917,0.012195998802781105,0.11556009948253632,7.0,7.337519301101565,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81553529947996,96.81553529947996,0.012941701337695122,0.11415130086243153,5.0,8.235750999301672,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.09891069866717,105.09891069866717,0.011118199676275253,0.11405319906771183,6.0,3.1373084001243114,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.26540269888937,108.26540269888937,0.008599499240517616,0.09904439933598042,5.0,4.724790899083018,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.048976900056,113.048976900056,0.009900499135255814,0.11489010043442249,6.0,4.072903199121356,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.16573959961534,117.16573959961534,0.009807901456952095,0.11430560052394867,5.0,7.972418200224638,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.16539740003645,125.16539740003645,0.0007457006722688675,0.09894760139286518,2.0,8.39949250034988,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,133.59903880022466,0.0004001986235380173,0.0967634990811348,139.59883239865303,6.030281499028206,139.84854280017316,139.84854280017316,0.14251819998025894,0.24691549874842167,6.013599900528789,145.88210269995034,145.88210269995034,145.88210269995034,0.07920460030436516,0.1803360003978014,151.58214679919183,151.78214409947395,6.013618100434542,6.11351259984076,157.78207929991186,12.013531800359488,157.88216909952462,157.88216909952462,157.9155705999583,157.9155705999583,0.01379540003836155,0.11371480114758015,up,2.3866189010441303,160.3487794995308,6.479956209659576e-05,0.09788359887897968,166.3655648995191,166.3655648995191,0.00980209931731224,0.11457369849085808,2.0,5.472496300935745,,,,,,,166.3655648995191,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.8656318988651,171.8656318988651,0.006632499396800995,0.09914040006697178,1.0,2.460292199626565,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
