Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.00177665930241,0.0005064001306891441,0.11571040004491806,20.517399619962088,20.783903799951077,21.000641819951124,21.283910299884155,0.017615400021895766,0.11553549999371171,36.26717849983834,15.015253799967468,15.098693999927491,36.36727449996397,0.00282990001142025,0.09884059987962246,42.35055089998059,6.015338500030339,6.098806099966168,42.46735499985516,42.46735499985516,-0.000409100204706192,0.09883389994502068,space,5.43287739995867,47.95054439990781,47.95054439990781,1.9899802282452583e-05,0.11008589994162321,num_9,5.358494800049812,53.367384119820784,0.0024574000854045153,0.09819320007227361,53.68405709997751,54.15056531985756,54.45059409993701,54.950760219874795,55.25058489991352,55.35073239984922,63.35073239984922,63.35073239984922,63.35073381981347,0.01476399996317923,0.11470170016400516,64.35059799998999,65.36753929988481,65.56736639980227,66.06736989994533,10.01466660015285,73.48392599984072,0.016888299956917763,73.48392599984072,0.11458879988640547,3.0,3.6322411000728607,77.1506733999122,0.002204699907451868,0.09769849991425872,83.15072289993986,83.35073371992912,6.2310262999963015,6.330957700032741,84.35067699989304,103.35076971997042,103.35073279985227,26.23104460001923,26.33123130002059,104.35068619996309,106.36745979986154,0.015970699954777956,0.11436789995059371,136.38408419978805,30.03098229994066,,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,136.4673843998462,0.014792899833992124,0.11432179994881153,142.48410829994828,6.030977899907157,,142.5840797999408,142.5840797999408,0.03126549976877868,0.13097579986788332,space,2.4842268000356853,145.13433939986862,145.13433939986862,8.239992894232273e-05,0.09806509991176426,num_9,3.470154100097716,148.66740791981573,0.00216330005787313,0.09817770007066429,148.98411969980225,149.4673986199079,149.78405879996717,150.25062921985517,150.55072109983303,150.65074109984562,158.6674331999384,158.6674331999384,158.66744831989052,0.0016002000775188208,0.09818660002201796,159.68411079980433,160.68411159981042,160.85075329989195,161.36765229981393,10.014758000150323,168.8007011997979,0.034343000035732985,168.8007011997979,0.1313316999003291,4.0,2.298198399832472,171.1343655998353,0.0032950001768767834,0.09773080004379153,177.1506984999869,177.3173091199016,6.214192100102082,6.314230400137603,178.33407889981754,197.31745441996026,197.317481999984,26.2143985000439,26.314266600180417,198.33411769988015,200.31745109986514,0.014363800175487995,0.11431140010245144,230.31739359977655,30.014227300183848,200.31745109986514,30.09752310020849,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,230.43424819991924,0.031185399973765016,0.1309533000458032,236.41730779991485,6.014143400127068,6.097731100162491,236.53428969997913,236.53428969997913,0.03184039983898401,0.13098239991813898,space,1.89386530010961,238.48412029980682,238.48412029980682,4.509999416768551e-05,0.0981614999473095,num_9,3.992023800034076,242.5176174199907,0.0019853999838232994,0.0979964998550713,242.83412939985283,243.3008008198114,243.60067159985192,244.11760671988594,244.43407479999587,244.50083909998648,252.50084369978867,252.50084369978867,252.50063191999214,0.014749799855053425,0.11464419984258711,,254.50084299989976,254.7174507000018,255.21745179989375,10.031323899980634,262.6340134998318,0.016896599903702736,262.6340134998318,0.11467519984580576,3.0,1.7986272000707686,264.46770559996367,0.002619100036099553,0.09788840007968247,270.48416439979337,270.65068691985215,6.2145044999197125,6.314512999961153,271.65069699985906,290.6506523198215,290.65080780000426,26.214618799975142,26.31458800006658,291.65067139989696,293.65079819993116,0.014604700030758977,0.11452140007168055,323.65077929990366,30.01455960003659,293.65079819993116,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,323.78413959988393,0.015267400071024895,0.11457380000501871,329.78430339996703,6.014512399910018,,329.884116999805,329.884116999805,0.01460209977813065,0.11453989986330271,space,1.5681497000623494,331.517604699824,331.517604699824,4.160008393228054e-05,0.09823419991880655,num_9,2.750741300173104,334.3341433197958,0.002553399885073304,0.09808789985254407,334.6340701999143,335.11745841980445,335.43404269986786,335.9342995199142,336.23406429984607,336.31744959997013,344.3346455998253,344.3346455998253,344.33437741983215,0.0018789998721331358,0.09810040006414056,345.3340412999969,346.3341356997844,346.51749539980665,347.01745709986426,10.031855399953201,354.4673548999708,0.0344115998595953,354.4673548999708,0.13132279994897544,5.0,2.8979511000216007,357.4010158998426,0.0033331001177430153,0.09738450008444488,363.41741549992,363.6007814199431,6.230732900090516,6.3473325001541525,,383.5839540198678,383.58409979986027,26.214059500023723,26.314148400211707,384.5840847999789,386.60072089987807,-0.0002679999452084303,0.09727280004881322,416.61739199981093,30.01397450012155,386.60072089987807,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,416.7173748000059,0.014626400079578161,0.11394629999995232,422.7173937999178,6.013930300017819,,422.81751029985026,422.81751029985026,0.014090799959376454,0.11395170004107058,space,1.6431974999140948,424.51739709987305,424.51739709987305,4.42001037299633e-05,0.09830960002727807,num_9,4.903087199898437,429.4674066199688,0.002238099928945303,0.09817010001279414,429.78404589998536,430.2507411198923,430.5505881998688,431.0506397198653,431.35069639980793,431.45073339994997,439.46740419999696,439.46740419999696,439.4673608198529,0.0014951999764889479,0.09807890001684427,440.4840673999861,441.4840219998732,441.6506868998986,442.16737689985894,10.0147920998279,449.5840005998034,0.0175329998601228,449.5840005998034,0.11469459976069629,5.0,3.031520399963483,452.65090839983895,0.001543800113722682,0.09929410018958151,458.667315099854,458.834009419824,6.215924700023606,6.3158404000569135,459.85055999993347,478.8340899198549,478.83396609988995,26.215888499980792,26.315816200105473,479.8506687998306,481.83396999980323,0.01594550022855401,0.11579630011692643,511.8339669997804,30.01593410014175,481.83396999980323,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.9673796999268,0.016009800136089325,0.11580269993282855,541.9672193999868,30.015728800091892,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,542.0671925998759,0.016606299905106425,0.11567560001276433,548.0672037999611,6.015670099994168,,548.1671641999856,548.1671641999856,0.01565159996971488,0.11570239975117147,space,2.037500499980524,550.2671595998108,550.2671595998108,4.739989526569843e-05,0.09777550003491342,num_9,2.721592599991709,553.0338938198286,0.002204099902883172,0.0975246001034975,553.33382109995,553.8170671199216,554.1338890998159,554.6171593199717,554.9338588998653,555.0338181999978,,563.0506577999331,563.0504681199557,0.01678370009176433,0.11416790005750954,564.0505146998912,565.0504351998679,565.2337713998277,565.7169722998515,10.010463299928233,573.133745299885,0.030884099891409278,573.133745299885,0.13076749979518354,4.0,1.3020762999076396,574.4675158997998,0.0026644000317901373,0.09773109992966056,580.4503097999841,580.6503285199171,6.21421890007332,6.314168399898335,,600.6503602198093,600.6505294998642,26.214322600048035,26.31408890010789,,603.667093699798,-0.00010339985601603985,0.09745300002396107,633.6669748998247,30.03078330005519,603.667093699798,,,,,,,10.093817800050601,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,633.8003262998536,0.03134189988486469,0.13079659990034997,639.8169924998656,6.014064299874008,,639.8836792998482,639.8836792998482,0.0142319998703897,0.11402199976146221,space,1.5041301001328975,641.4502921998501,641.4502921998501,4.540011286735535e-05,0.09781700000166893,num_9,3.2496720000635833,644.7503167199204,0.002486700192093849,0.09808320016600192,645.0502521998715,645.5503076197813,645.8503424997907,646.3335585197667,646.6336027998477,646.7336401999928,654.7502847998403,654.7502847998403,654.7502683197847,0.0014891000464558601,0.11470580007880926,,656.7669392998796,656.9334241999313,657.4502557998057,10.014369300100952,664.8502268998418,-0.0008451000321656466,664.8502268998418,0.11084420001134276,5.0,2.216584099922329,667.1006218998227,0.0025456000585108995,0.09788230014964938,673.0834636997897,673.2835273199482,6.2144798000808805,6.314500299980864,674.2835677999537,693.2834775198019,693.2835749997757,26.214552000164986,26.314440899994224,694.300222299993,696.3002272997983,0.00010410021059215069,0.0978980001527816,726.3168011999223,30.014444300206378,696.3002272997983,,,,,,,10.09774040011689,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,726.4167970998678,0.01513330009765923,0.11437360011041164,732.4168895999901,6.014492999995127,,732.516775299795,732.516775299795,0.014497099909931421,0.11448649992235005,space,1.5752431000582874,734.1501369997859,734.1501369997859,4.610000178217888e-05,0.09799810010008514,num_9,3.0140618002042174,737.2168996198336,0.002210700185969472,0.09799590008333325,737.5334039998706,738.0169144199929,738.3334741999861,738.8000835198211,739.1001045999583,739.200097899884,747.2000933999661,747.2000933999661,747.2000884198817,0.014696300029754639,0.1146329001057893,748.2167165998835,749.2167677998077,749.4000567998737,749.8832643998321,10.031248399987817,757.3499731000047,0.03416420007124543,757.3499731000047,0.1311287998687476,3.0,4.298071300145239,761.6835189999547,0.0025384000036865473,0.0987436999566853,767.6998698997777,767.8665791199776,6.215239399811253,6.315296999877319,768.8833310999908,787.866449119919,787.8498410999309,26.2152470999863,26.31541119981557,788.8832949998323,790.8833021000028,0.031956200022250414,0.13204870000481606,820.899954199791,30.01517040003091,790.8499603997916,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,820.9998648997862,0.015832999954000115,0.11517619993537664,826.9998650997877,6.015193299856037,,827.0998830997851,827.0998830997851,0.015306699788197875,0.11529439967125654,space,1.6170291001908481,828.7498507997952,828.7498507997952,4.0800077840685844e-05,0.09767950000241399,num_9,3.934417799813673,832.7332509198925,0.002549199853092432,0.09804429998621345,833.0331344997976,833.5165266198339,833.8331966998521,834.3164422199363,834.6331832997967,834.7334080999717,842.7331622999627,842.7331622999627,842.7332262198208,0.0013893998693674803,0.09794120001606643,843.7332263998687,844.7498401999474,844.8997565999161,845.4165863997769,10.014685199828818,852.8497318997979,0.01752399979159236,852.8497318997979,0.11457939981482923,4.0,1.5314587999600917,854.4166109999642,0.0025647999718785286,0.09791629994288087,860.4164564998355,860.6164462197805,6.2310728000011295,6.330950800096616,861.6163415999617,880.5996988198488,880.5997221998405,26.21442460012622,26.314360399963334,881.616509599844,883.616362700006,0.00017460016533732414,0.09796770010143518,913.6162797999568,30.030980200041085,883.616362700006,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
