Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_18.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,28.082421135157347,0.0005223993211984634,0.09151539951562881,28.347920900210738,28.581356439739466,28.848172100260854,29.083521040156484,29.364646000787616,0.023257000371813774,0.12485979869961739,15.0081597995013,44.381317300722,44.4480850007385,0.010512700304389,0.10813429951667786,50.44783169962466,6.024984199553728,50.548072600737214,50.548072600737214,0.008096499368548393,0.10823049955070019,space,10.365187900140882,60.96461690030992,60.96461690030992,4.360079765319824e-05,0.09766699932515621,num_9,11.115927901118994,72.13132403977215,0.0019668005406856537,0.09796090051531792,72.44782800041139,72.93139543943107,73.264953000471,73.73127764090896,74.04794399999082,74.11466580070555,82.11462409980595,82.11462409980595,82.11461973935366,0.014499399811029434,0.11442100070416927,83.13129319995642,84.11463900096714,84.31456799991429,84.81461350061,10.031089801341295,92.26454010047019,0.03386770002543926,92.26454010047019,0.13101630099117756,2.0,6.548009600490332,98.84824389964342,0.0024865996092557907,0.09914209879934788,104.86481259949505,105.01455794088542,6.199132299050689,6.298992399126291,125.01457514055073,125.01452990062535,26.199168199673295,26.299141800031066,126.0311296004802,128.0312240999192,128.0312240999192,0.01596209965646267,0.11579390056431293,158.04784229956567,29.999059800058603,30.099073400720954,,,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,158.14783770032227,0.0004377998411655426,0.09886679984629154,164.16451350040734,6.015727700665593,164.24763059988618,164.24763059988618,0.015658600255846977,0.09908150136470795,space,5.080913199111819,169.38120429962873,169.38120429962873,3.979913890361786e-05,0.09808809868991375,num_9,6.820029400289059,176.26450324058533,0.0021845996379852295,0.09809679910540581,176.58114590123296,177.04765254072845,,177.84783364087343,178.14792350120842,178.24781060032547,186.26447680033743,186.26447680033743,186.26450284011662,0.0013088006526231766,0.09813909977674484,187.29785280115902,188.2481091003865,188.44796300120652,188.96449940092862,10.031412899494171,196.39776830002666,0.034265199676156044,196.39776830002666,0.1314257998019457,5.0,4.864753698930144,201.29810569994152,0.0038534998893737793,0.09723339974880219,207.2976104002446,207.49779473990202,6.230631800368428,6.347237000241876,227.4809620399028,227.46422250010073,26.21374410018325,26.31389190070331,228.49788830056787,230.46450939960778,230.4977334998548,0.030619701370596886,0.1305681001394987,260.5143208000809,30.013816500082612,,,,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,260.61436700075865,0.014132600277662277,0.11400540173053741,266.6311467010528,6.030650500208139,266.7310108002275,266.7310108002275,0.03059680201113224,0.13071920163929462,space,2.9735252000391483,269.764420799911,269.764420799911,4.580058157444e-05,0.1149560995399952,num_9,6.316185500472784,276.1143975406885,0.0022293999791145325,0.09769969992339611,276.43100020103157,276.8976010400802,,277.69756104052067,,278.0976503994316,286.11431819945574,286.11431819945574,286.11432954110205,0.000736800953745842,0.09748169966042042,287.1310837008059,288.11433480121195,288.31430299952626,288.81436970084906,10.01397250033915,296.21420950070024,0.0005511008203029633,296.21420950070024,0.09758299961686134,6.0,3.598164999857545,299.8478075005114,0.0022321008145809174,0.09919990040361881,305.8475094996393,306.04759613983333,6.199085200205445,6.29932969994843,326.0307561401278,326.03087620064616,26.215758100152016,26.315514899790287,327.03078580088913,329.0308919996023,329.0308919996023,0.015829700976610184,0.11576070077717304,359.0474609006196,29.99906329996884,,10.097297200933099,,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,359.16430890001357,0.01644670031964779,0.11577890068292618,365.1641560997814,6.015842501074076,365.26416520029306,365.26416520029306,0.015924900770187378,0.11563320085406303,space,5.67283290065825,370.980809699744,370.980809699744,3.200024366378784e-05,0.09857100062072277,num_9,5.924534298479557,376.96423144079745,0.00237479992210865,0.09791820123791695,377.28072030097246,377.7473245393485,,378.5474490392953,,378.9640990011394,,386.98073229938745,386.98077083937824,0.017324700951576233,0.11446700058877468,387.9806730002165,388.980693500489,389.1640591006726,389.68088730052114,10.014427401125431,397.080578699708,0.017415599897503853,397.080578699708,0.11442720144987106,2.0,4.431355599313974,401.5477515012026,0.0030468013137578964,0.09916660003364086,407.5640523005277,407.7474729400128,6.199182201176882,6.2990357000380754,427.7472920399159,427.7473310008645,26.23245340026915,26.332351000979543,428.747405000031,430.7472713012248,430.7472713012248,0.0010664016008377075,0.09900840185582638,460.74719160050154,30.032277401536703,,,408.7473154012114,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,460.8805496003479,0.033000800758600235,0.13226430118083954,466.8971529006958,6.015663601458073,466.9638617001474,466.9638617001474,0.015666402876377106,0.11552680283784866,space,3.725100100040436,470.7304878011346,470.7304878011346,3.410130739212036e-05,0.09803890064358711,num_9,5.2386428993195295,476.03048304095864,0.002483198419213295,0.09828269854187965,476.330450899899,476.8136589396745,477.1304372996092,477.61378964036703,477.9303697012365,478.0304522998631,486.0304597001523,486.0304597001523,486.0304776392877,-0.00040120072662830353,0.09814490005373955,487.03041359968483,488.0305825006217,488.21415149979293,488.7139737997204,10.014714200049639,496.1469021998346,0.017703300341963768,496.1469021998346,0.11473819985985756,4.0,5.932458899915218,502.113786701113,0.0023331008851528168,0.09680519998073578,508.1305059995502,508.2970485407859,6.213331300765276,6.3133959006518126,528.2968671396375,528.2970588002354,26.213402699679136,26.313287001103163,529.2968594003469,531.3136139009148,531.3136139009148,-0.0006201993674039841,0.09672750160098076,561.3301766999066,30.013210302218795,,,509.29695700109005,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.4302035011351,0.013474700972437859,0.11326730251312256,591.4300724007189,30.013045901432633,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,591.5300622005016,0.015097402036190033,0.11304470151662827,597.5300182010978,6.013005001470447,597.6300588995218,597.6300588995218,0.013187902048230171,0.11325880326330662,space,4.795075599104166,602.463349500671,602.463349500671,3.0299648642539978e-05,0.09848389960825443,num_9,5.7291740998625755,608.2299296408892,0.0009042993187904358,0.09933319874107838,608.5300546009094,608.9966129399836,,609.8133270405233,610.1300037000328,610.196752499789,618.1966495011002,618.1966495011002,618.1966796405613,-0.0006015002727508545,0.0992892999202013,619.1967338006943,620.2132831010967,620.4132899995893,620.9133343007416,9.999352099373937,628.3297879993916,0.0005492996424436569,628.3297879993916,0.09902999922633171,7.0,2.2329208999872208,630.5966627001762,0.0024884995073080063,0.09817880019545555,636.5965471994132,636.7966053411365,6.214825600385666,6.315057499334216,656.7965163402259,656.7965395003557,26.231647500768304,26.331358499825,,,659.8131684996188,0.01576939970254898,0.11487369984388351,689.8297651000321,30.031474700197577,,10.099190698936582,,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,689.9297195002437,0.032078901305794716,0.13165130093693733,695.9463622011244,6.014766100794077,696.0129129998386,696.0129129998386,0.014887901023030281,0.11472200229763985,space,3.859722301363945,699.9131467994303,699.9131467994303,3.639981150627136e-05,0.09797229990363121,num_9,6.208192098885775,706.1627946402878,0.0007932987064123154,0.09944939985871315,706.4797450006008,706.9295303393155,707.2296083010733,707.7295890394598,708.0462274998426,708.1465579010546,716.1629999000579,716.1629999000579,716.1629468407482,0.003130899742245674,0.09936429932713509,717.1795840002596,718.1795816998929,718.3295889999717,718.8294888995588,10.016232799738646,726.2794755995274,0.019604699686169624,726.2794755995274,0.11636630073189735,1.0,2.5309295989573,728.8464455995709,0.0016746986657381058,0.09908539988100529,734.8293308001012,735.0293208397925,6.215599399060011,6.298869099467993,755.0293257404119,755.0294461995363,26.21579839847982,26.315744498744607,756.0460605993867,758.0293790008873,758.0293790008873,0.01576470024883747,0.11586249992251396,788.0460368003696,30.03235620073974,,,736.0426668003201,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,788.1793578006327,0.03289340063929558,0.13217430002987385,794.1959655005485,6.015609201043844,794.262672599405,794.262672599405,0.01563980057835579,0.11533920094370842,space,2.298963898792863,796.6126138009131,796.6126138009131,2.969987690448761e-05,0.09828720055520535,num_9,5.092853499576449,801.7626489400864,0.0021470990031957626,0.09780550003051758,802.0792338997126,802.5458141397685,,803.3459553401917,,803.7626221012324,,811.7792536001652,811.7792454399168,0.017485199496150017,0.11445599980652332,812.779238300398,813.762672200799,813.9459461998194,814.4625528007746,10.031063599511981,821.895761501044,0.03364980034530163,821.895761501044,0.13127929903566837,4.0,1.8985238000750542,823.8292009010911,0.002851400524377823,0.09757500141859055,829.8458364997059,830.0125170405954,6.2139474004507065,6.314112601801753,850.0290808398277,850.0290814004838,26.23073980025947,26.330781200900674,851.0290642008185,853.0290684010834,853.0290684010834,0.00014250166714191437,0.0973668023943901,883.0458096005023,30.013928001746535,,,831.0290799997747,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,883.1456662006676,0.014638502150774002,0.11394260264933109,889.1623337995261,6.030695501714945,889.2622864004225,889.2622864004225,0.03071790188550949,0.1305449027568102,space,2.2990211006253958,891.5956395994872,891.5956395994872,3.6699697375297546e-05,0.09763729944825172,num_9,6.381537100300193,898.0289566405118,0.001910300925374031,0.09755570068955421,898.3287455011159,898.8293257392943,899.1624475996941,899.6121346410364,899.9289232995361,900.0122753996402,908.0122101008892,908.0122101008892,908.0122238397598,0.01431640051305294,0.11428810097277164,909.0288289003074,910.0288664996624,910.2288393005729,910.7289899010211,10.014237700030208,918.1453636009246,0.016971901059150696,918.1453636009246,0.11418680101633072,6.0,3.264930199831724,921.4458921011537,0.004012499004602432,0.09766219928860664,927.4621310997754,927.6287890393287,6.21432220004499,6.314309099689126,947.6453580409288,947.6454933006316,26.231080800294876,26.330909799784422,948.6452671997249,,950.662013201043,0.016011400148272514,0.11424300074577332,980.6619191002101,30.01410460099578,,,928.6287111993879,,,,,,,9978,Gustatory,2024-07-01_17h52.16.301,Gustatory_Condition_v2,2022.2.5,30.005403892131383,
