loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.40924401469529,0.0009039007127285004,0.11741719953715801,23.71091039851308,24.011027229204775,24.310974799096584,24.594477928429843,24.92792509868741,25.194352728500963,25.54438049905002,25.54438049905002,0.0015195012092590332,0.1174171008169651,15.000685701146722,40.56108140014112,40.627845499664545,0.0008739009499549866,0.10071430169045925,41.11109829880297,space,2.417017102241516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,43.56098559871316,0.007343100383877754,0.09777829982340336,49.57772129960358,6.014435600489378,49.84466119855642,49.84466119855642,0.12551419995725155,0.2812627013772726,6.014392601326108,55.87789439968765,55.87789439968765,55.87789439968765,0.07832310162484646,0.2144594006240368,61.57772249914706,61.74456749856472,6.014639200642705,6.114467201754451,67.74438989907503,12.014445800334215,67.87777119874954,67.87777119874954,0.014584101736545563,0.11437440104782581,down,2.0103136003017426,69.92761999927461,3.629922866821289e-05,0.08696769922971725,75.944246198982,75.944246198982,75.944246198982,0.0010972004383802414,0.10375759936869144,4.0,5.936850801110268,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.91110789962113,81.91110789962113,0.009697198867797852,0.09712749905884266,2.0,7.438631199300289,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.41133379936218,89.41133379936218,0.017070401459932327,0.1162062007933855,5.0,3.899947199970484,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.34424799866974,93.34424799866974,0.008409399539232254,0.09893839992582798,1.0,5.291634699329734,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.67765679955482,98.67765679955482,0.008168099448084831,0.0993248000741005,2.0,7.5587166007608175,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.27755919843912,106.27755919843912,0.010040398687124252,0.09759159944951534,5.0,4.88845600001514,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.22781599871814,111.22781599871814,0.0111324992030859,0.11434770002961159,2.0,2.7377001997083426,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.99429919943213,113.99429919943213,0.0015030000358819962,0.0977621991187334,2.0,6.430881900712848,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,120.46110959909856,0.00024800002574920654,0.09787379950284958,126.47765529900789,6.014548800885677,126.69468399882317,126.69468399882317,0.11554630100727081,0.23130310140550137,6.03125880099833,132.77763309888542,132.77763309888542,132.77763309888542,0.11301380023360252,0.2147729005664587,138.47769009880722,138.6444197986275,6.0146006010472775,6.114501401782036,144.64439819939435,12.014562100172043,144.77770089916885,144.77770089916885,0.014824101701378822,0.11448870226740837,down,1.0782916005700827,145.89434099942446,2.32011079788208e-05,0.1119781993329525,,151.9276588987559,151.9276588987559,0.028392300009727478,0.13231969997286797,2.0,2.9382077995687723,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.89430169947445,154.89430169947445,0.007924100384116173,0.09764309972524643,5.0,2.2907204013317823,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.2446826994419,157.2446826994419,0.008430000394582748,0.11442070081830025,2.0,1.940293300896883,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.21107560023665,159.21107560023665,0.0067808013409376144,0.09919970110058784,1.0,3.060273800045252,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.31100889854133,162.31100889854133,0.008241400122642517,0.09775799885392189,5.0,3.223979299888015,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.57791639864445,165.57791639864445,0.00642940029501915,0.0985288005322218,2.0,2.7269898001104593,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.34427809901536,168.34427809901536,0.006284799426794052,0.09896389953792095,2.0,3.52709829993546,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.91101939976215,171.91101939976215,0.0017638001590967178,0.09738250076770782,2.0,9.996884798631072,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
